name1,name2,score
wood teri s,stanzione dominick,0.009777156636118889
clark m,thomas hardeman,0.0115757305175066
hans lange,scott autrey,0.010104556567966938
thomas david jones,brandon richards,0.012848703190684319
marianne monson,bhakti ziek,0.00970342569053173
edward weston,robert w ewing i,0.012148085981607437
charles waterhouse,bruce goodwin,0.011943752877414227
betsy lewin,sastre maria,0.009629708714783192
cortes wesley randell,judith margolis,0.01057454477995634
william green stewart,lacy norris j,0.010374954901635647
schiffmann erich,barry shipman,0.010998721234500408
john woodsides hutchinson,silverstein murray,0.011141318827867508
john s herrington,lawrence wasden,0.013950251042842865
isabel ely lord,michelle borth,0.013539278879761696
shannon grove,john j rehr,0.011190012097358704
deane r beman,george amos dorsey,0.010609699413180351
delugach al,silvio bedini,0.009753257967531681
g d baum,jacob young,0.01083772350102663
burton hatlen,frank porter graham,0.013201461173593998
robert boone,john lynch phillips,0.012359483167529106
erin levy,ed morse,0.009825531393289566
bert greene,john shaft,0.009493825025856495
murray peter,countess vaughn,0.009344031102955341
preacher moss,kelly flood,0.009581935591995716
oneal rodney,eric m davis,0.011964699253439903
patrick nagle,leng charles william,0.010669264011085033
robert king,david b sarwer phd,0.0097391027957201
cindy agidius,ronald ellis  ron  simmons,0.009849210269749165
stacy schiff,kevin christopher ou,0.01094562467187643
don moody,paul lewis abrams,0.011638839729130268
brian j blume,kortney clemons,0.010694151744246483
alex cross,canavan christine,0.010430409573018551
lesa f kennedy,larry valencia,0.012148904614150524
herman leonard,kevin rose,0.01134776882827282
grant harriet,stix gary,0.010039843618869781
jay bell,george calvin kern jr,0.011571923270821571
gene h golub,dirk mai,0.011234036646783352
carl williams,elana amsterdam,0.009785419330000877
charles henry turner,elman service,0.012836992740631104
kathy ahern,alice mclellan birney,0.012248311191797256
middlekauff robert,matt zunic,0.011514220386743546
eugene george key,dean cornwell,0.010480320081114769
billows richard,baker i,0.009873080998659134
muriel hazel wright,sally mason,0.015628531575202942
marie louise bottineau baldwin,mark labberton,0.010510344058275223
helen m french,john stasko,0.009995737113058567
michael a sullivan,butch hartman,0.011965899728238583
bruce harlan,caleb crain,0.042842231690883636
marc pachter,bart rowland,0.012393387965857983
leslie dewan,john paul sr,0.009989510290324688
lemuel m wiles,douglas d  doug  green,0.009576167911291122
brian tennyson,john owen hobens,0.012438162229955196
wood marquis lafayette,moore nathaniel,0.010652400553226471
david trott,lucy hanna,0.010070763528347015
alan hoffman,george w clute,0.01122708898037672
robert s cottle,beech time,0.009611167944967747
danny morgan,thomas hayes,0.011303788982331753
richard two elk,bec stupak,0.009594623930752277
gerardo compos sandoval,macphee kevin,0.010792190209031105
arango tim,sheikh akbar,0.009810039773583412
reginald hall sayre,john tantillo,0.010481827892363071
blake john miguez,lucretia van horn,0.010389775037765503
donald edward jones,william stephens smith,0.011524108238518238
edward zorinsky,edwin albert link,0.030191143974661827
jean donovan,ron preston,0.010250517167150974
mike fitzgerald,rex britten,0.014078650623559952
helen levitov sobell,carrie l lukas,0.009971215389668941
daniel kleppner,vera kistiakowsky,0.024776369333267212
frank armi,david sean branshaw,0.010306786745786667
hirsch foster,sean mclean,0.009981011040508747
frederick f russell,allen johnson,0.011025912128388882
andre anderson,charles f gillette,0.015002229250967503
benjamin leon jr,c allen foster,0.011822883039712906
steven r hall,helen morgenthau fox,0.011209291405975819
francis p blair,ted lowry,0.012058419175446033
tom short,malo ron,0.010713585652410984
j j sedelmaier,strauss carolyn,0.011605126783251762
james l easton,carl kruger,0.011667896993458271
kyle yamashita,lester germer,0.010542209260165691
gene rodemich,rick moye,0.010454888455569744
michael page,mike senica,0.015388964675366879
doak sloan,gary janetti,0.009863011538982391
emil truog,james stewart polshek faia,0.009294622577726841
janie geiser,newman ivey white,0.00972001813352108
paul edwin zimmer,chagmion antoine,0.009528841823339462
michael hastings,johnathan loyd,0.015123894438147545
ferrell haile,zevitas steven,0.009847843088209629
dawn white,jerry titus,0.00943402573466301
george william guess,verpoorten john,0.011603627353906631
loftes alvin,george otis smith,0.010758542455732822
young betty,billy hurley iii,0.009354975074529648
paul nyquist,auseklis ozols,0.011101258918642998
brian hyde,amanda pasdon,0.010032827965915203
ian fried,tj gottesdiener,0.00971275009214878
johnson alfred e,virginia beatrice smith,0.010351710952818394
l charles taylor,agnes baldwin,0.010703032836318016
ruth renshaw bascom,mande joe,0.00953732430934906
robert d cooter,carl buell close sr,0.011049157939851284
theodore y tso,nora espinoza,0.009685096330940723
bruce l benson,ed chau,0.012284384109079838
kelso nathaniel vaughn,peter golfinopoulos,0.011167462915182114
tarek al eryan,kyle thompson,0.009629372507333755
pat hennen,stephen melamed,0.013764576986432076
stanley tigerman,edith marie flanigen,0.01048127468675375
nisi shawl,samuel bowles,0.009703723713755608
randel jr john,burns breehn,0.011006390675902367
peter andrew corning,paulette jordan,0.01623210869729519
hauck herman j,david brody,0.0104965316131711
ben unger,dorian mcmenemy,0.014198425225913525
john willard clawson,goerke oscar,0.010535158216953278
gwendolyn audrey foster,cathy-lynn song,0.009513854049146175
elliott wilson,anil k bera,0.010742857120931149
jeffrey jordan,jim snyder,0.028323769569396973
ralph dorn hetzel,keene thompson,0.011903361417353153
wilkinson ann biddle,cherry ann murray,0.11414413899183273
scott flemming,charles r tanner,0.011786247603595257
leonard h bolick,mark patterson,0.014116181060671806
michael mcphail,catherine wiley,0.011599790304899216
jimmy ernst,paul ray,0.012878014706075191
clayton m christensen,jim scheer,0.032821882516145706
edmund graves brown jr,li fang-kuei,0.009813226759433746
don naylor,erik wolpaw,0.010849185287952423
armato antonina,carlos ismael noriega,0.009739433415234089
edward wilson merrill,gus lesnevich,0.010114534758031368
matt davis,george conrad westervelt,0.010538160800933838
aidan gould,philip wayne  phil  stephenson,0.009756413288414478
waáno-gano,maria elana astrologes combs,0.009396463632583618
fawn johnson,george edward logg,0.010057371109724045
poynton-hill dorothy,james cuffey,0.012375506572425365
james stevens,marion crecco,0.010007171891629696
shakin ken,harrison frazar,0.01024585496634245
alfred john markiewicz,wes cowan,0.010003266856074333
beale lewis,tevis clyde smith jr,0.0096975676715374
jim towey,heman edward drummond,0.009994849562644958
leonard treash,tom sturges,0.00975789688527584
david giorgio mendes nassi,eva louise rausing,0.009591927751898766
edward charles jeffrey,edward ernst kleinschmidt,0.17859193682670593
duvall samuel,juan vargas,0.009937933646142483
elsie bernice washington,robin fleming,0.013177863322198391
jeffrey jackson wedgwood julian,shirley huffman,0.009456662461161613
john harsanyi,cal niday,0.009790248237550259
frederick augustus tritle,charles thorn,0.01036609336733818
stewart ernest cink,william ury,0.009973300620913506
kathrine taylor,morgan grace jones,0.01197570189833641
chase wright,millmandebbie,0.010360067710280418
john freeman,nixon doris ryer,0.009636464528739452
naficy mariam,blackann trevor,0.010052017867565155
elizabeth callahan,obea moore,0.01107137743383646
henry norris russell,milton glaser,0.010903854854404926
amanda carpenter,robert oleary,0.009578624740242958
boyd eric l,clarence kea,0.012944924645125866
dustin berg,jay h greene,0.010435936972498894
murray feingold,elvin charles stakman,0.010977702215313911
koichi barrish,soucy stephen,0.010390392504632473
debeljak erica johnson,john rennie,0.0414484404027462
david demarest,oneal gear kathleen,0.011230897158384323
sarah e goode,renee cleary,0.0126310670748353
john ellis,palmer richard n,0.012913638725876808
sozen mete,wood graeme c a,0.010149440728127956
jeffrey a miron,michael storm,0.020289462059736252
huggins james byron,johnny anderson,0.020454782992601395
victoria morrow,cathleen h nash,0.011276701465249062
alice frost,prashant v kamat,0.010290544480085373
m brewster smith,david mark hillis,0.010911443270742893
delina filkins,thornton walter f,0.01007762923836708
giovanni folcarelli,don moody,0.01008306909352541
abrahamlarry h,ralph steiner,0.011410429142415524
chris gorsek,daniel wakefield smith,0.011124493554234505
harold varner iii,philip enquist,0.01101861521601677
geiger john,tracy kraft-tharp,0.01259569637477398
alicia mills,eric schechter,0.010852358303964138
doug kovacs,driscoll ed,0.009207473136484623
august kleinzahler,jill bolte taylor,0.009651297703385353
frederick funk,gibson ted,0.010082126595079899
rosen edward,charles logasa,0.010417926125228405
gloria morgan vanderbilt,gilbert stork,0.009820216335356236
buddy parriott,paul noworyta,0.01039147563278675
marvin willis claxton iii,kevin siembieda,0.08712492138147354
joe jimenez,william pigott cronan,0.010168846696615219
rosenthal howard,justin francis rigali,0.011124650947749615
don cazayoux,julio arnoldo garcia sr,0.009618518874049187
william derwood cann jr,guy-sheftall beverly,0.009740546345710754
louis b rosenberg,michael hayes thompson,0.01005343534052372
demiko goodman,jim stacy,0.011497815139591694
william armstrong,tim montgomery,0.010305941104888916
elmer keith,george bishop,0.009774488396942616
marco glorious,rita rotten,0.009211876429617405
frank nelson,patrick e haggerty,0.013607299886643887
tell david,asa andrew,0.014024157077074051
evan caminker,maclean george edwin,0.010972660966217518
russell henley,margaret rose henry,0.29870373010635376
rogers charles,hart crane,0.009736292995512486
john quincy adams ward,bruce beutler,0.011421164497733116
leo warren jenkins,jeannemarie devolites davis,0.01146068423986435
parks malcolm,jonathan moore,0.009932339191436768
bobby carter,winston zeddemore,0.012446294538676739
rodney carrington,walter dorwin teague,0.014175336807966232
michael h mealling,joseph wood krutch,0.010722236707806587
guy warren ballard,kasriel hirsch sarasohn,0.010566729120910168
madonna gilbert,bob eggleton,0.010226290673017502
ennis edward,richard iaquinta,0.01218472234904766
jeff coston,rodney martin,0.013524353504180908
gornick vivian,professornalin kulatilaka,0.011010999791324139
thomas alexander tefft,paul f markham,0.010179271921515465
lynch dorethea jean,hemmingson michael,0.010566101409494877
andrew stevenson murr,bruce w white,0.014529502019286156
stanley keleman,kevin warren sloan,0.03886435553431511
jessie willcox smith,samuel thomas alexander,0.009583348408341408
mickey cohen,larry rosen,0.012384478934109211
chuck arnold,jesse ferguson,0.011941930279135704
paul davidson,isaac mayo,0.012172888033092022
blake bailey,susan t woodhouse,0.010656164959073067
john m mckeon,harold jacoby,0.015424118377268314
j k ralston,ella ewing,0.010623477399349213
michael wendl,morrill donald,0.012037815526127815
melissa de sousa,linda medley,0.010128996334969997
preston glass,lavery emmet,0.009394564665853977
alison lee,george crompton,0.010132267139852047
travis walton,george able sprague,0.009982193820178509
bert andrews,charles ezra greene,0.011482227593660355
justin bamberg,mercedes matter,0.009468108415603638
annette dagostino lloyd,robert lawson vaught,0.009921700693666935
cosma shalizi,allison williams,0.01014056894928217
john decatur messick,donna pence,0.010549493134021759
marr phebe,thomas edward moore,0.01067719329148531
hassan bawab,rick dyer,0.009865601547062397
lee de forest,alexander  alex  steinweiss,0.010446595028042793
mary hayashi,john harris,0.011641428805887699
ronald d rotunda,sherrie levine,0.010245845653116703
philip v bohlman,weber elke u,0.010777431540191174
dennis r glass,mary augusta dickerson,0.011109664104878902
john h tippets,jose olvera,0.011748148128390312
benjamin smith lyman,babette josephs,0.009560144506394863
brenda novak,white nancy,0.009786851704120636
nicole lindroos,joseph rago,0.011456288397312164
richard zoglin,george pickow,0.010590790770947933
judy blunt,lisa yuskavage,0.011561799794435501
charles ruthven denny jr,stacy schiff,0.011898254044353962
wyatt gooden,richard harned,0.012350540608167648
william stanford  bill  heatly jr,mark vallen,0.009863841347396374
sarah robles,friedman adena,0.009585782885551453
ray harroun,benjamin harvey hill,0.03127996250987053
laurie blalock vanzura,christopher thornberg,0.010643187910318375
orange phelps,don figlozzi,0.011098328046500683
dr james i robertson jr,steve lambert,0.009813699871301651
charles f buddy,jonathan currie byrd,0.012693512253463268
lois kleinsasser,j alden weir,0.011538826860487461
james j jeffries,brady jeff,0.28635525703430176
thomas meredith,bill monning,0.010090524330735207
jared carpenter,henry spence turpie,0.009401275776326656
peter a luukko,jimmy baker,0.009497050195932388
joseph gregory *greg  rice,frances baldwin,0.009576882235705853
ken cliffe,madeline porter and shannon harper,0.010178431868553162
cliff walsh,casey grice,0.011259488761425018
benjamin p cornelius,ada vorhaus gabriel,0.009989718906581402
edmund white,lewis elmer worsham jr,0.010252191685140133
william c davis jr,charles burns,0.010137256234884262
parker tom,chief yowlachie,0.009801396168768406
juan vargas,bruce russell ellingwood,0.00970338936895132
cole sand,roxanne swentzell,0.010893008671700954
vincent dunn,henry helm clayton,0.010577337816357613
fleming,jules boykoff,0.011095952242612839
debbie green-vargas,marc brown,0.01901848241686821
kurt gottfried,dossie easton,0.009866979904472828
gay kernan,devin michael graham,0.010761476121842861
hepokoski james,john randall nelson,0.011356075294315815
jon sciambi,monica gesue,0.011492070741951466
woodbury robert,lawrence c f horle,0.0113843884319067
jeff greenstein,porter arthur kingsley,0.011460911482572556
sidney d drell,mark bunker,0.010531743988394737
thomas grady,john moore,0.011452740989625454
leon j cole,ryland darcy blackinton,0.011698520742356777
rudy coby,brenda burnside,0.011816945858299732
wint winter sr,donna horton white,0.00936252623796463
george anderson low jr,daniel richard crissinger,0.009746449068188667
bob ewing,frederick robertson mcleod,0.01060446072369814
macbride thomas huston,kyle robinson,0.015033151023089886
don coram,carmella decesare,0.009618809446692467
regan chris,takashi ohno,0.009786967188119888
eben s stearns,merszei geoffery,0.012269420549273491
pam byrnes,tim finin,0.013027098029851913
jami gong,bill harbach,0.010042831301689148
li-young lee,laura wexler,0.012332882732152939
harlow shapley,william baird,0.010782318189740181
christopher j harper,marcus brunson,0.018315967172384262
betts jack,jonathan winder,0.00995609350502491
birney imes,scott page,0.011595153249800205
joan brown,leotis martin,0.01005206536501646
ronnie ash,wu nelson,0.011965601705014706
keith andrews,roswell g ham,0.010326939634978771
jerome kohlberg jr,riley woodbridge,0.011129342019557953
karen kohanowich,bill ernest,0.010550211183726788
zac blair,ira j deen,0.010564770549535751
rusty hevelin,andy andrist,0.010726830922067165
odabash melissa,gary shteyngart,0.012028570286929607
cecil bothwell,ryka aoki,0.010363481007516384
chih ree sun,anne truitt,0.010063135996460915
jordan carlton schaul,burgwyn mebane holoman,0.009876087307929993
de pillis mario,francis cecil sumner,0.01010214351117611
boyce courtney williams,james arnold colescott,0.009833365678787231
rory markas,saraju mohanty,0.010395793244242668
thelma pressman,samuel s wilks,0.011773591861128807
gerald r shields,jennifer klemetsrud puhl,0.011021005921065807
george dayton,mullaly john,0.01079661026597023
jhane barnes,julia glass,0.02541603147983551
dustin watten,frank p bennett jr,0.010164820589125156
suz andreasen,terisa greenan,0.012794241309165955
robert e eberly,philip-lorca dicorcia,0.010459822602570057
anthony g kiritsis,richard pelzer,0.013006733730435371
william milligan sloane,arieh osullivan,0.020604921504855156
sheldon brown,edward fitzgerald,0.010261925868690014
paul baumbach,justin bolli,0.021502096205949783
michael lynton,lynn caine,0.056175652891397476
john lewis krimmel,jeanette c takamura,0.009866706095635891
kenneth gould,karel deleeuw,0.014695463702082634
carol anthony,freddie stone,0.013651827350258827
davey moore,colin michael foale,0.010749340988695621
rao john,seiling william,0.01189374178647995
barbara radding morgan,tileston jackie,0.009952887892723083
daniel j bernstein,nick hodge,0.010478139854967594
edward francis delong,chris cottrell,0.012773028574883938
frederick henry kaiser,gorman h candace,0.012358348816633224
schriffen john,david n farr,0.011211685836315155
robert a zarnoch,richard kennelly,0.01364640798419714
parmelee james,spencer hawley,0.012051894329488277
nina easton,mildred j hill,0.01132285688072443
tara grinstead,gross robert a,0.00954843033105135
dave kerpen,michael mcphail,0.013478048145771027
sloane citron,vahan kurkjian,0.01128972414880991
william joseph patton,thomas forester,0.012222470715641975
sellaro vincenzo,kent whealy,0.010693873278796673
penelope l peterson,david lester,0.016775663942098618
martin jenkins crawford,tony blankley,0.011913040652871132
kevin gage,bultman james e,0.011426053941249847
john kaplan,christina hammock koch,0.011334077455103397
brian flemming,dwight nevil,0.011794103309512138
debbie lesko,isham randolph,0.011005175299942493
carol colatrella,lonette mckee,0.011938094161450863
matthew centrowitz jr,tiefenthaler gustav,0.009953861124813557
michelle thomas,milton william cooper,0.01312787365168333
john r phythyon jr,vaafuti tavana,0.009427218697965145
youngblood betty,cohen sande,0.009668946266174316
seymour chwast,may melissa s,0.01123054139316082
scott myers,cameron ron,0.013290785253047943
william john wilgus,gary nelson holloway,0.016689736396074295
joe h engle,gene luen yang,0.009427432902157307
tommy johnagin,justin michael jenkins,0.014058994129300117
robinson eric w,koch jim,0.011397715657949448
cameron reid beckman,jeffrey m smith,0.011712289415299892
kelly keisling,otto schmitt,0.012125355191528797
norman geschwind,robert colville,0.011233809404075146
barnas sears,kenneth judd,0.011653565801680088
judith hunt,orlando lightfoot,0.009617256000638008
adams linda hunter,phoebe snetsinger,0.014594019390642643
albert robinson,neil everett,0.01268010400235653
joseph alden,calvin northrup mooers,0.009499863721430302
pien lark,bill keightley,0.010225850157439709
gage froerer,unger irwin,0.010347998701035976
devon mathis,david faber,0.011083182878792286
sares mike,jerry craft,0.012825367972254753
floyd allport,maynard clemons,0.010717230848968029
tony deyo,pauline marcelle,0.011094738729298115
pfeuffer alan j,lawrence kestenbaum,0.015649503096938133
rachel lachowicz,patricia b osullivan lucey,0.01172558218240738
roland la starza,allan sproul,0.010947592556476593
ricardo williams jr,d j grothe,0.01483177300542593
joel shapiro,ellen lupton,0.0117565942928195
lafayette emmett,henry calvert simmons,0.011985354125499725
nathaniel jeremiah bradlee,sydney bristow,0.010333939455449581
joe deloach,john pendleton kennedy,0.013947051018476486
melissa linda martin,thiene paul,0.011914932169020176
elizabeth charleston,salvatore ronald matano,0.009626717306673527
sage sohier,mike wells,0.010039778426289558
mather frank jewett,greene benjamin franklin,0.056377630680799484
chris thomas mcallister,ed blankenheim,0.011400347575545311
kippy diggs,ben wilson,0.010761730372905731
mary brooks,agnes gund,0.01145209837704897
owen chamberlain,adams milward,0.010809944942593575
stanley j watts,longstreet stephen,0.009755795821547508
connie chung,ada patterson,0.009811013005673885
ryan born,carl paganelli,0.011186097748577595
convers francis,martin nesbitt,0.011788681149482727
anna tunnicliffe,kin w moy,0.011768605560064316
david hare,james c christensen,0.010883149690926075
e porter hatcher jr,jack curry,0.009487129747867584
michael rexford nicolette,andrea duran,0.010760024189949036
notestein frank w,kevin williamson,0.01179862953722477
robert hunter morris,kia goodwin,0.010911427438259125
larry grant,joel chasnoff,0.010326417163014412
rhonda keenum,william c bradford,0.010138084180653095
stanton katie jacobs,timothy joseph  tim  greening,0.009673216380178928
mitchell jamieson,cooper grant,0.00975675880908966
c w post,mike morley,0.011432983912527561
dennis algiere,red grooms,0.009399011731147766
rodger krouse,miranda uhl,0.01356681901961565
deborah butterfield,ben clifford curtis,0.01203878503292799
john maginnes,michael roukes,0.017161935567855835
sullivan jack,jesse james,0.01571858860552311
natalie hagglund,christian t petersen,0.011260890401899815
chuck orear,london breed,0.00944150984287262
phillip walter katz,demetria mckinney,0.01065764855593443
paul martin andrews,coats nathan b,0.010423767380416393
dodge bill,roger lowenstein,0.010100088082253933
john palmer parker,george leon nattin sr,0.009578297846019268
anne goldthwaite,carr aaron albert,0.010866387747228146
matt zunic,bruce charles heezen,0.01410302147269249
ricky wells,james h cromartie,0.011294318363070488
j darius bikoff,roscoe drummond,0.010540398769080639
david jerome porter,alexandra gouldie,0.010723703540861607
william r sweatt,samuel heyman,0.012901416048407555
bryan niven,todd breitenstein,0.015266782604157925
tileston jackie,garcia frankowski,0.009909122250974178
patterson james t,mather frank jewett,0.010882748290896416
lawrence kimble,adam senn,0.011153560131788254
leann lemberger,richard thacker morris,0.0123524134978652
edwin henry nevin,ariel williams holloway,0.010675007477402687
kenny roberts jr,karen finley,0.027874760329723358
leroy chiao,jcc mckinsey,0.013004481792449951
william wister haines,edith hirsch luchins,0.009924824349582195
robert graysmith,daniel goldstein,0.012725600972771645
roberto  robbie  pecorari,michael connell,0.010287486016750336
phillip lim,peter madden,0.01335196290165186
elizabeth strong worthington,albert sacco jr,0.010241929441690445
bodine larry,natalie burgener,0.012035485357046127
wesley bad heart bull,nichola d gutgold,0.009568342939019203
jonathan hirtle,nolte dorothy,0.01045011542737484
william harlan haas,kenneth marshall,0.01418145652860403
mary matalin,raymond carver,0.00960818212479353
sol kahoohalahala,margaret smith,0.009968796744942665
kevin john sutherland,sanford kadish,0.39233750104904175
michelle borth,arvind varma,0.009923011995851994
hollod chris,dave u hall,0.01227521151304245
greg gorden,john pasta,0.009399136528372765
lonette mckee,william mcmillan,0.07260066270828247
bob bowlsby,hale s irwin,0.010252603329718113
buttenwieser helen lehman,sonia altizer,0.009714506566524506
danica novgorodoff,catherwood mary hartwell,0.0095151886343956
stephen smale,paul david goydos,0.011743160896003246
frederick steven couples,dick boushka,0.01061070617288351
elmer f jacobs,ambrose j burke,0.015576854348182678
harvey akio itano,jim pallas,0.010407704859972
chris sander,clarke b millikan,0.011396764777600765
asa and lucy goodale thurston,weiberger caspar,0.00996446330100298
karen drogin,hugh jackson morgan,0.010232885368168354
coyne michael l,daniel elias garcia,0.010856674052774906
seeber ronald,heilbrunn jacob,0.013352752663195133
louis tompkins wright,laura thweatt,0.021898489445447922
jud larson,elizabeth murray,0.010350439697504044
corinne a manogue,joel dobris,0.010436750948429108
robert carmody,howland eliza,0.01037003006786108
thom merrick,matt vogel,0.011440864764153957
william ralph  bill  keffer,dr leland patouillet,0.009753162041306496
george dodge,joe stephens,0.011223343200981617
anthony shriver,david nohe,0.011082733981311321
daniel mccay,madhulika guhathakurta,0.009842989966273308
jeff r leason,gregory f rayburn,0.014092199504375458
ed blankenheim,richard wayne smith,0.010930526070296764
russell earl cochran,staci wilson,0.01093535777181387
spander art,cary leibowitz,0.011733181774616241
allan h meltzer,ward david,0.01281633973121643
james alger fee,steven zucker,0.00998944416642189
gene carl feldman,george cope,0.019774097949266434
michael forster rothbart,deaver richard,0.013020134530961514
ludovici laurence james,david sills,0.011340657249093056
leroy gardner jr,terrence m  terry  pegula,0.00986294262111187
michael spence,david ruder,0.01078345812857151
norwood stephen h,spencer ross,0.01750488206744194
harry adams,blake robert p,0.011324618011713028
marlene bauer hagge,e b bensell,0.01983334682881832
gayle goldin,giddens paul henry,0.010710285976529121
franz kline,mary schepisi,0.0119084557518363
joel iskowitz,john ottis adams,0.011322926729917526
ryan spencer reed,joy lusco,0.010266625322401524
thiene paul,florence howell barkley,0.01077624224126339
barbara dawson smith,julius hatofsky,0.009837284684181213
vincent colyer,clayton crain,0.012792090885341167
cummings jeanne,bratton christopher,0.010070735588669777
james dipaola,james russell ahern,0.24184072017669678
kraus joe,richard sala,0.01139114610850811
john buttencourt avila,elizabeth parrish,0.013799400068819523
steven j brams,meany helen,0.0111545966938138
patti davis,brill ann,0.009592689573764801
hm rowe,ai,0.014408166520297527
clawson augusta h,john w krakauer,0.011009255424141884
arthur laurents,murray sabrin,0.01663699559867382
lawrence hogan mize,robert b wilson,0.013256717473268509
bosco ronald a,heather mchugh,0.011016422882676125
jay r kaufman,carleystephen,0.01508369017392397
nora espinoza,kathleen m sutcliffe,0.010310533456504345
shelby cullom davis,sue roberts,0.0134381502866745
william r collins,orange phelps,0.011194908991456032
bill hougland,borisoff norman,0.010218203999102116
timothy sylvester hogan,richard cutts shannon,0.010442828759551048
ken niles,robin freeman,0.01159083191305399
christian stratton couch,brian krebs,0.010854748077690601
hugh q parmer,alex bogusky,0.01124388724565506
ángel cabrera,via elizabeth jane,0.010835070163011551
scott brant,cuthbert victor,0.012742392718791962
lionel delevingne,kantaras michael,0.010800297372043133
washington thomas,kari lizer,0.010110902599990368
duncan macdougall,reilley rankin,0.011205999180674553
