,answer1,answer2,label,berttrained
74,"October 16, 2018","october 17, 2017",1.0,0.540183961391449
75,Indiana,Manarola,0.0,0.14695625007152557
76,Indiana,Indiana State University,0.0,0.8740702867507935
77,Indiana,"terre haute, indiana",2.0,0.3238370716571808
78,Indiana,"Vigo County, Indiana",2.0,0.7809483408927917
79,Father Christmas,A Christmas Carol,0.0,0.7375620603561401
80,Father Christmas,warmth,1.0,0.2824605405330658
81,Father Christmas,peace on Earth and good will toward men,2.0,0.18714630603790283
82,Father Christmas,peace on earth,2.0,0.18822886049747467
83,"Calgary, Alberta",St. Cloud,0.0,0.27859872579574585
84,Oral Torah,the Mishnah,0.0,0.41310685873031616
85,Oral Torah,The Mishnah or Mishna,0.0,0.27402669191360474
86,Oral Torah,Shulchan Aruch,0.0,0.1769896149635315
87,Oral Torah,Deuteronomy,0.0,0.4002319872379303
88,Oral Torah,talmud,2.0,0.5472493171691895
89,The Pacific standard time zone,01:00 LST,0.0,0.18858815729618073
90,The Pacific standard time zone,nine to twelve months,0.0,0.17113730311393738
91,The Pacific standard time zone,2:00 a.m.,1.0,0.10493343323469162
92,The Pacific standard time zone,8 : 00 p. m.,1.0,0.17455214262008667
93,The Pacific standard time zone,6:00 a.m.,1.0,0.10583556443452835
94,The Pacific standard time zone,pacific time zone,2.0,0.7112861275672913
95,The Pacific standard time zone,Pacific Standard Time,2.0,0.8436141014099121
96,2020,as soon as 2019,0.0,0.38415977358818054
97,/,file.txt,0.0,0.29084277153015137
98,/,directory,0.0,0.3892390727996826
99,/,filename,0.0,0.3225284218788147
100,/,payroll,0.0,0.3567383885383606
101,/,EPUB,0.0,0.2792068123817444
102,/,URI,0.0,0.45406705141067505
103,/,/ Payroll / Salaries / Managers,2.0,0.30848073959350586
104,/,/Payroll/Salaries/Managers,2.0,0.23899833858013153
105,France's National Constituent Assembly,1789,1.0,0.20737417042255402
106,France's National Constituent Assembly,Thomas Jefferson,2.0,0.19838958978652954
107,"December 31, 1907",since 1907,2.0,0.6844785809516907
108,"December 31, 1907",1907,2.0,0.7125685811042786
109,Eddie Martinez,Steve Hunter,0.0,0.13652034103870392
110,Eddie Martinez,Eddie Paul Martinez,2.0,0.9432839155197144
111,No taxation without representation,declaration of independence,0.0,0.2662905156612396
112,No taxation without representation,olive branch petition,0.0,0.06576832383871078
113,No taxation without representation,Industrial Revolution,0.0,0.15123502910137177
114,No taxation without representation,Battles of Lexington and Concord,0.0,0.05653207376599312
115,Jean-Jacques Rousseau,Jean - Jacques Rousseau,2.0,0.8905760049819946
116,the governor,the Army National Guard,0.0,0.25888296961784363
117,the governor,state or territorial governor,1.0,0.6958594918251038
118,the governor,the state adjutant general,1.0,0.45598021149635315
119,the governor,adjutant general,1.0,0.2821643650531769
120,the governor,the President,1.0,0.46521809697151184
121,Hermes,Perseus,0.0,0.35608410835266113
122,Hermes,pele,0.0,0.30018165707588196
123,Hermes,Lou,0.0,0.18557342886924744
124,Hermes,Agenor,0.0,0.19922585785388947
125,Lucas Jade Zumann,Jonathan Crombie,0.0,0.23885972797870636
126,Lucas Jade Zumann,James,0.0,0.07368208467960358
127,Lucas Jade Zumann,Miranda de Pencier,0.0,0.08947601169347763
128,Amos 'n Andy,good times,0.0,0.08346838504076004
129,Amos 'n Andy,Generations,0.0,0.06908076256513596
130,Amos 'n Andy,Harris and Company,0.0,0.15586242079734802
131,Amos 'n Andy,The Jeffersons,0.0,0.17971330881118774
132,Amos 'n Andy,the cosby show,0.0,0.14219282567501068
133,Amos 'n Andy,ABC,0.0,0.3243178427219391
134,Amos 'n Andy,The Partridge Family,0.0,0.21151795983314514
135,1969,as early as 1849,0.0,0.2242397665977478
136,1969,since the 1990s,1.0,0.2540600299835205
137,1969,the 1980s,1.0,0.2723114490509033
138,1969,"january 1, 1983",1.0,0.2135736495256424
139,1969,1960s,1.0,0.6002736687660217
140,1969,1979,1.0,0.4429110288619995
141,5th century,c. 400 BCE,0.0,0.2600633203983307
142,5th century,132 bce,0.0,0.024062177166342735
143,5th century,the second century CE,0.0,0.37032008171081543
144,5th century,by the 5th century,2.0,0.9251332879066467
145,1814,francis scott key,1.0,0.14027167856693268
146,1814,1931,1.0,0.29358166456222534
147,1814,rabindranath tagore,1.0,0.0073144822381436825
148,six,seven,0.0,0.5339146852493286
149,"July 26, 2016",2018,0.0,0.2726355791091919
150,"July 26, 2016","April 21, 2018",0.0,0.3032848536968231
151,"July 26, 2016","september 19, 2016",0.0,0.4418668746948242
152,"July 26, 2016","February 18, 2013",0.0,0.237669438123703
153,"July 26, 2016","June 23, 2018",0.0,0.2820444703102112
154,controlling interest,89.5%,0.0,0.13085238635540009
155,controlling interest,$ 32. 5 million,0.0,0.05398622900247574
156,controlling interest,0,0.0,0.14716285467147827
157,controlling interest,100,0.0,0.14362148940563202
158,controlling interest,a minority stake,0.0,0.34292110800743103
159,controlling interest,largely owned,2.0,0.21654079854488373
160,East England,english folklore,0.0,0.4813896715641022
161,East England,irish immigrants,0.0,0.19235211610794067
162,East England,Reverend John Russell,0.0,0.14775490760803223
163,East England,irish legend of stingy jack,2.0,0.11610564589500427
164,East England,Stingy Jack,2.0,0.11347221583127975
165,East England,Irish legend,2.0,0.07822918146848679
166,East England,Ireland,2.0,0.11656999588012695
167,Leto,Joywave,0.0,0.3036181330680847
168,Leto,jared leto,2.0,0.2504189908504486
169,Toby Damon,jack pearson,0.0,0.17184872925281525
170,Toby Damon,Chris Sullivan,0.0,0.14045915007591248
171,Toby Damon,Kevin,0.0,0.23568964004516602
172,Toby Damon,Casey Hooper,0.0,0.0761428102850914
173,Toby Damon,Kevin Pearson,0.0,0.17274406552314758
174,Toby Damon,bradley whitford,0.0,0.2158861607313156
175,"Five Keys, New Mexico",Georgia,0.0,0.19037263095378876
176,"Five Keys, New Mexico",the United Kingdom,0.0,0.10329893231391907
177,Rose McIver,Stanley Tucci,0.0,0.2228105515241623
178,engraving,drypoint,0.0,0.1882365643978119
179,engraving,Intaglio,0.0,0.29024121165275574
180,engraving,gravure,0.0,0.7029617428779602
181,engraving,aquatint,0.0,0.18108941614627838
182,engraving,engraved,2.0,0.7697613835334778
183,"January 2, 2016",2017,0.0,0.35222327709198
184,"January 2, 2016",2018,0.0,0.3004437983036041
185,"January 2, 2016",2012,1.0,0.2561696469783783
186,"January 2, 2016",2016,1.0,0.512850284576416
187,Marlow in Buckinghamshire,"Vancouver, British Columbia",0.0,0.27640601992607117
188,Marlow in Buckinghamshire,bray studios,2.0,0.23097193241119385
189,Marlow in Buckinghamshire,Bisham in East Berkshire,2.0,0.44950321316719055
190,Marlow in Buckinghamshire,Berkshire,2.0,0.4104812741279602
191,Marlow in Buckinghamshire,"bray studios at water oakley, near windsor in berkshire",2.0,0.2820174992084503
192,Marlow in Buckinghamshire,Water Oakley,2.0,0.20488591492176056
193,Marlow in Buckinghamshire,Oakley Court,2.0,0.205311581492424
194,Lena Horne,Thelma Carpenter,0.0,0.30933481454849243
195,Lena Horne,Catherine Disher,0.0,0.25406116247177124
196,life,animal,0.0,0.41664642095565796
197,life,Cenozoic,0.0,0.2524978518486023
198,life,Paleozoic,0.0,0.2695341110229492
199,life,old life,1.0,0.7074783444404602
200,Boston Red Sox,los angeles dodgers,0.0,0.04300335794687271
201,Boston Red Sox,Dodgers,0.0,0.23374493420124054
202,"Somebody, presumably Thespis",aeschylus,0.0,0.33838215470314026
203,"Somebody, presumably Thespis",ancient greece,0.0,0.17743653059005737
204,"Somebody, presumably Thespis",John Mitchell,0.0,-0.05946526676416397
205,"Somebody, presumably Thespis",Thespis,2.0,0.6757203340530396
206,1664,pondicherry,0.0,-0.017217693850398064
207,1664,Pondich\u00e9ry,0.0,0.13606810569763184
208,1664,chandernagore,0.0,0.06746026128530502
209,1664,the East Indies,0.0,0.05224992334842682
210,1664,Surat,2.0,0.12975594401359558
211,shoulder blade,humerus,0.0,0.1909439116716385
212,shoulder blade,femur,0.0,0.21235226094722748
213,shoulder blade,scapula,2.0,0.2893236577510834
214,a designated junior senator,vice president,1.0,0.22361795604228973
215,a designated junior senator,President,1.0,0.1779467612504959
216,Martha Graham,Kelly Clarkson,0.0,0.16706357896327972
217,Martha Graham,Isadora Duncan,1.0,0.19352853298187256
218,Martha Graham,Dai Ailian,1.0,0.06928899139165878
219,a gender-neutral honorific,my dear,0.0,0.014525307342410088
220,a gender-neutral honorific,sita ram ji,0.0,0.22081923484802246
221,a gender-neutral honorific,freedom or liberty,0.0,0.07289009541273117
222,a gender-neutral honorific,Sh\u00f4rot,0.0,0.19430874288082123
223,a gender-neutral honorific,respect,1.0,0.15461261570453644
224,a gender-neutral honorific,honorific,2.0,0.5291021466255188
225,Nyle DiMarco,shannon elizabeth,0.0,0.05445127561688423
226,Nyle DiMarco,gerrard gosens,0.0,0.2050217241048813
227,Nyle DiMarco,Jennie Finch Daigle,0.0,0.26134681701660156
228,Ashtavakra,arjuna,0.0,0.34168606996536255
229,Ashtavakra,Yama,0.0,0.155604749917984
230,Ashtavakra,Bhishma,0.0,0.451205849647522
231,Ashtavakra,Yay\u0101ti,0.0,0.20717306435108185
232,Ashtavakra,Parashurama,0.0,0.46770238876342773
233,Ashtavakra,Duryodhana,0.0,0.33402830362319946
234,Ashtavakra,apsara,0.0,0.5113759636878967
235,Ashtavakra,Abhimanyu,0.0,0.31520846486091614
236,Ashtavakra,Samvarana,0.0,0.3883728086948395
237,Ashtavakra,Krishna,0.0,0.39766356348991394
238,Bachman–Turner Overdrive,Lisa Marie Presley,0.0,0.06712512671947479
239,Bachman–Turner Overdrive,the blues magoos,0.0,-0.0033573952969163656
240,Bachman–Turner Overdrive,Poison,0.0,0.0037192918825894594
241,Bachman–Turner Overdrive,Bachman\\u2013Turner Overdrive,0.0,0.9078397750854492
242,Bachman–Turner Overdrive,bachman -- turner overdrive,2.0,0.8751809000968933
243,Bachman–Turner Overdrive,Randy Bachman,2.0,0.5302501320838928
244,Raymond Wallace Bolger,Ray Bolger,2.0,0.8536729216575623
245,Raymond Wallace Bolger,ray bolger raymond wallace bolger,2.0,0.5119168162345886
246,Surendra Pal,samaresh basu,0.0,0.24037420749664307
247,Surendra Pal,Dulquer Salmaan,0.0,0.3032393157482147
248,Surendra Pal,mukesh khanna,2.0,0.32991400361061096
249,Star World India,a Disney Channel India,0.0,0.53160160779953
250,Star World India,Star One,2.0,0.5299153327941895
251,"September 27, 2018","september 28, 2017",1.0,0.6889903545379639
252,1995,2011,0.0,0.2713879942893982
253,Indira Gandhi,Morarji Desai,0.0,0.1294601559638977
254,Indira Gandhi,jawahar lal nehru,0.0,0.20620448887348175
255,Indira Gandhi,Jawaharlal Nehru,0.0,0.28766706585884094
256,55 calories,55,0.0,0.8501800894737244
257,55 calories,355 calories,0.0,0.633146345615387
258,55 calories,375,0.0,0.22724026441574097
259,55 calories,450,0.0,0.21971040964126587
260,55 calories,carbohydrate,0.0,0.2527012526988983
261,55 calories,22,0.0,0.10507556796073914
262,55 calories,13961316,0.0,0.07455035299062729
263,55 calories,34 calories,2.0,0.45777571201324463
264,the spirit of perverseness,fiend,0.0,0.18717624247074127
265,the spirit of perverseness,The Imp of the Perverse,0.0,0.3210025131702423
266,the spirit of perverseness,irritation,0.0,0.2809937298297882
267,the spirit of perverseness,the impression of pluto,0.0,0.17927877604961395
268,the spirit of perverseness,nervousness,0.0,0.2866962254047394
269,the spirit of perverseness,Necromancer,0.0,0.2461746782064438
270,the spirit of perverseness,the spirit,1.0,0.6199676990509033
271,the spirit of perverseness,alcoholism,2.0,0.2619861960411072
272,"2,300,000,000",1.6 billion,0.0,0.21190311014652252
273,"2,300,000,000",800 to 1000 million,0.0,0.3246895372867584
274,"2,300,000,000",1.2 billion,0.0,0.45751553773880005
275,"2,300,000,000","8, 615, 245",0.0,0.08722678571939468
276,"2,300,000,000",three billion,0.0,0.4214968681335449
277,"2,300,000,000",6 billion,0.0,0.11207178980112076
278,"2,300,000,000",16643120,0.0,0.08076843619346619
279,2005,"february 5, 2006",0.0,0.566774308681488
280,2005,2016,0.0,0.3047066926956177
281,2005,1988,0.0,0.3366437256336212
282,2005,2015,1.0,0.5829307436943054
283,036,123,0.0,0.26501402258872986
284,036,10600,0.0,0.3405047357082367
285,036,94,0.0,0.250662624835968
286,036,838,0.0,0.40145841240882874
287,036,ilankai,0.0,0.20095601677894592
288,036,672,0.0,0.4105331003665924
289,036,Colombo,0.0,0.12366919964551926
290,036,6762033,0.0,0.42084330320358276
291,a state run mental hospital,state men's prison,0.0,0.5370206832885742
292,a state run mental hospital,"Trenton, New Jersey",0.0,0.10062941163778305
293,a state run mental hospital,the New Jersey State Lunatic Asylum,0.0,0.44092193245887756
294,town,city,0.0,0.6102083325386047
295,town,metatheatrical,0.0,0.11471283435821533
296,town,Midwestern,0.0,0.34635794162750244
297,town,mining town,0.0,0.5593223571777344
298,town,rural,1.0,0.3731732666492462
299,town,agricultural,2.0,0.2483687400817871
300,town,agricultural region,2.0,0.22004210948944092
301,town,a market and road center,2.0,0.39387255907058716
302,"September 24, 2018",2018,2.0,0.5720655918121338
303,972,981,1.0,0.427168607711792
304,972,about 900,1.0,0.3136868178844452
305,972,981 different manuscripts,1.0,0.3044154644012451
306,the company Faro Automated Solutions,guerrilla games,0.0,0.1076342761516571
307,the company Faro Automated Solutions,Isaac Asimov,0.0,0.29188475012779236
308,the company Faro Automated Solutions,Faro Automated Solutions,1.0,0.9470942616462708
309,the company Faro Automated Solutions,GAIA,1.0,0.1208258718252182
310,2018,2015,0.0,0.5691418051719666
311,2018,2017,0.0,0.5046243667602539
312,2018,2016,0.0,0.6678600907325745
313,2018,"april 4, 2017",0.0,0.20012523233890533
314,Isaac Liev Schreiber,josh robert thompson,0.0,0.2333487570285797
315,Isaac Liev Schreiber,brad williams,0.0,0.15388551354408264
316,Isaac Liev Schreiber,Kiefer Sutherland,0.0,0.394435316324234
317,Isaac Liev Schreiber,Kiefer William Frederick Dempsey George Rufus Sutherland,0.0,0.3339932858943939
318,Isaac Liev Schreiber,Chris Rock,0.0,0.15705636143684387
319,Isaac Liev Schreiber,Larry Wilmore,0.0,0.19907456636428833
320,Isaac Liev Schreiber,Orlando Jones,0.0,0.11752111464738846
321,Isaac Liev Schreiber,Liev Schreiber,2.0,0.8447739481925964
322,the legislature,the proprietor,0.0,0.2221142053604126
323,the legislature,The legislative body,1.0,0.8605861663818359
324,the legislature,the General Court,1.0,0.3576420843601227
325,the legislature,Parliament,1.0,0.6778048872947693
326,the legislature,elected rulers,1.0,0.33528053760528564
327,the legislature,congress,1.0,0.5103656053543091
328,the Portuguese,henry the navigator,0.0,-0.04661452770233154
329,the Portuguese,Christopher Columbus,0.0,0.2739405035972595
330,the Portuguese,Portugal,2.0,0.7408728003501892
331,Frank Sinatra,josh groban,0.0,0.143804132938385
332,Frank Sinatra,Haven Gillespie,0.0,0.151124507188797
333,Frank Sinatra,Eddie Deezen,0.0,0.1544717699289322
334,Frank Sinatra,Tom Hanks,0.0,0.3158876597881317
335,Frank Sinatra,bing crosby,0.0,0.07830285280942917
336,Frank Sinatra,the Kringle family,0.0,0.03135007992386818
337,the Middle East,the Atlas Mountains,0.0,0.2919504940509796
338,the Middle East,Central Asia,0.0,0.3855881094932556
339,the Middle East,South Asia,0.0,0.34827354550361633
340,the Middle East,sahel,1.0,0.1367260217666626
341,the Middle East,the Isthmus of Suez,1.0,0.2220764309167862
342,the Middle East,Asia,1.0,0.321668803691864
343,the Middle East,desert,1.0,0.3059063255786896
344,"November 20, 2018","october 27, 2018",0.0,0.5270876884460449
345,"November 20, 2018","February 10, 2017",0.0,0.40085744857788086
346,Nicki Minaj,Ty Dolla Sign,0.0,0.18822279572486877
347,Nicki Minaj,Rihanna,0.0,0.11214932054281235
348,Nicki Minaj,Danielle Balbuena,0.0,0.15939481556415558
349,Max,Ziggy,0.0,-0.04521219804883003
350,Max,madeline,0.0,0.2927614748477936
351,Max,Adam Scott,0.0,0.16764239966869354
352,Max,Perry,0.0,0.23163294792175293
353,1,6,0.0,0.3308388590812683
354,1,5,0.0,0.3577466607093811
355,1,twice,0.0,0.3509694039821625
356,1,27,0.0,0.2739328444004059
357,1,four,0.0,0.3068220615386963
358,20 July 1969,13 September 1959,0.0,0.2869224548339844
359,20 July 1969,july 1969,2.0,0.7130639553070068
360,20 July 1969,"July 20, 1969",2.0,0.9628405570983887
361,2008,2013,0.0,0.4452878534793854
362,2008,2018,0.0,0.5448093414306641
363,2008,2017,0.0,0.35340583324432373
364,2008,2017\u201318,0.0,0.393043577671051
365,the 1980s,mid - 1990s,0.0,0.5328280925750732
366,the 1980s,1933,0.0,0.31102636456489563
367,the 1980s,1994,0.0,0.17626993358135223
368,the 1980s,1980,1.0,0.8837647438049316
369,the 1980s,During the 1980s,2.0,0.9720417261123657
370,1989,20th July 2018,0.0,0.1897340565919876
371,1989,"January 12, 2018",0.0,0.19747591018676758
372,1989,Thomas & Friends,0.0,0.1994883269071579
373,1989,20 July 2018,0.0,0.19732463359832764
374,1989,2018,2.0,0.34766077995300293
375,the Union Government,the state legislature,1.0,0.43936070799827576
376,the Union Government,the President,1.0,0.34205228090286255
377,the Union Government,central and state government,2.0,0.49441421031951904
378,the Union Government,both the central and state government,2.0,0.39373940229415894
379,Shagun Pandey,saif ali khan,0.0,0.16839659214019775
380,Shagun Pandey,Sushant Singh Rajput,0.0,0.28579360246658325
381,Shagun Pandey,Vikram Singh Chauhan,0.0,0.1888754814863205
382,Shagun Pandey,kriti sanon,0.0,0.29798802733421326
383,Shagun Pandey,Shivangi Joshi,0.0,0.18498098850250244
384,Shagun Pandey,Poorva Gokhale,0.0,0.2797947824001312
385,the spirit world,Edward James Olmos,0.0,0.12300385534763336
386,the spirit world,Rosie Perez,0.0,0.14800600707530975
387,the spirit world,Miguel,0.0,0.22134007513523102
388,the spirit world,Hern\u00e1n Cort\u00e9s,0.0,0.31755468249320984
389,best-of-seven,best - of - seven,0.0,0.9260611534118652
390,best-of-seven,four - of - seven - games,0.0,0.6343657970428467
391,Article 37,part iv,0.0,0.2331114560365677
392,Article 37,Article 41,0.0,0.6946247220039368
393,Article 37,Article 356,0.0,0.49570000171661377
394,Article 37,43A,0.0,0.33272403478622437
395,Team LeBron,Stephen Curry,0.0,0.05489254742860794
396,Team LeBron,LeBron James,2.0,0.6731948256492615
397,Nate Corddry,joel johnstone,0.0,0.23039162158966064
398,Nate Corddry,tony shalhoub,0.0,0.20636096596717834
399,Nate Corddry,kevin pollak,0.0,0.09757262468338013
400,Nate Corddry,Max Casella,0.0,0.18936654925346375
401,Nate Corddry,Eltony Williams,0.0,0.21274332702159882
402,several victims,marlena evans,0.0,0.19414065778255463
403,several victims,Lizzie,0.0,0.03192513808608055
404,several victims,Chad,0.0,0.11149661242961884
405,several victims,Will,1.0,0.19913765788078308
406,several victims,serena mason,2.0,0.15337398648262024
407,several victims,Will Horton,2.0,0.1331861913204193
408,Boston Celtics,los angeles lakers,0.0,0.24896781146526337
409,Boston Celtics,Chicago Bulls,0.0,0.4906466603279114
410,Boston Celtics,Cleveland Cavaliers,0.0,0.40259942412376404
411,M Lamar,laverne cox,2.0,0.2274867296218872
412,the steering mechanism,axle ends,0.0,0.30346962809562683
413,the steering mechanism,the bed,0.0,0.11091706901788712
414,the steering mechanism,suspension,0.0,0.3847348093986511
415,the steering mechanism,loading bay,0.0,0.21856515109539032
416,the steering mechanism,the United States,0.0,0.10799925774335861
417,the steering mechanism,ten,0.0,0.16146039962768555
418,1 December 2018,early 2018,0.0,0.6311385631561279
419,1 December 2018,26 October 2017,0.0,0.2714780271053314
420,1 December 2018,2018,0.0,0.6047360897064209
421,1 December 2018,"April 27, 2018",0.0,0.3592616319656372
422,1 December 2018,"november 11, 2017",0.0,0.32451578974723816
423,1 December 2018,19 October 2015,0.0,0.37722480297088623
424,1 December 2018,TBA,0.0,0.05405976250767708
425,1 December 2018,"August 1, 2017",0.0,0.46734505891799927
426,Numbers 22:28,Numbers 22:22,0.0,0.8459833264350891
427,Numbers 22:28,genesis 30 : 43,0.0,0.2845235764980316
428,Numbers 22:28,Numbers 22\u201324,0.0,0.6827508807182312
429,Numbers 22:28,numbers 22 : 28,2.0,0.8927586674690247
430,Numbers 22:28,Book of Numbers,2.0,0.4476432502269745
431,"January 9, 2018","november 6, 2018",0.0,0.4518173933029175
432,"January 9, 2018","May 1, 2018",1.0,0.44968941807746887
433,The Monuments Men,Rescuing Da Vinci,0.0,0.0416572168469429
434,The Monuments Men,belle epoque,0.0,0.23335768282413483
435,The Monuments Men,"\""Saving Private Ryan\""",0.0,0.11864105612039566
436,The Monuments Men,New York City,0.0,0.17106452584266663
437,2016,2014,0.0,0.6042963862419128
438,2016,"february 5, 2017",0.0,0.20215989649295807
439,2016,2015,1.0,0.6202316284179688
440,2016,2017,1.0,0.5962586998939514
441,María Conchita Alonso,Lupe Ontiveros,0.0,0.2590578496456146
442,María Conchita Alonso,melinda page hamilton,0.0,0.2444673627614975
443,María Conchita Alonso,Lesley Ann Warren,0.0,0.2735087275505066
444,María Conchita Alonso,mar\u00eda conchita,2.0,0.2741210460662842
445,María Conchita Alonso,Maria Conchita Alonso,2.0,0.9434448480606079
446,María Conchita Alonso,Mara Conchita Alonso,2.0,0.918118953704834
447,Jerry Reed Hubbard,jackie gleason,0.0,0.1056632548570633
448,Jerry Reed Hubbard,jerry reed,2.0,0.3078225553035736
449,Jerry Reed Hubbard,Burt Reynolds,2.0,0.3182039260864258
450,for all penalties,delay of game,0.0,0.14683972299098969
451,for all penalties,2020,0.0,0.1523018330335617
452,for all penalties,first stoppage of play,1.0,0.1985255926847458
453,for all penalties,one minute,1.0,0.19638682901859283
454,for all penalties,for a set number of minutes,2.0,0.258428156375885
455,for all penalties,an infringement of the rules,2.0,0.28044918179512024
456,for all penalties,penalty,2.0,0.5831946134567261
457,orchids of the genus Vanilla,vanillin,0.0,0.4449806213378906
458,orchids of the genus Vanilla,the seed pods,0.0,0.28332507610321045
459,orchids of the genus Vanilla,as it dries,0.0,0.15971682965755463
460,orchids of the genus Vanilla,the seeds,0.0,0.2243054062128067
461,orchids of the genus Vanilla,orchids,1.0,0.622690737247467
462,amino acid,nucleic acids,0.0,0.6030998229980469
463,amino acid,Plant hormones,0.0,0.26759058237075806
464,amino acid,Vitamin C,0.0,0.15700663626194
465,amino acid,amino acids,2.0,0.9480159282684326
466,"Plymouth, Massachusetts","Provincetown, Massachusetts",0.0,0.7374018430709839
467,"Plymouth, Massachusetts",Provincetown Harbor,0.0,0.3462669253349304
468,"Plymouth, Massachusetts",Plymouth Colony,0.0,0.7286056876182556
469,"Plymouth, Massachusetts","plymouth, england",0.0,0.6309067010879517
470,"Plymouth, Massachusetts",Colony of Virginia,0.0,0.25606635212898254
471,"Plymouth, Massachusetts",plymouth rock,1.0,0.4482463002204895
472,"Plymouth, Massachusetts",Cape Cod,1.0,0.3647206127643585
473,"January 1, 2019","March 30, 2018",1.0,0.13308700919151306
474,"January 1, 2019",early 2019,2.0,0.7525811791419983
475,14,two,0.0,0.22199484705924988
476,14,fourteen,2.0,0.8107162117958069
477,the British government,Pakistan,0.0,0.26269954442977905
478,the British government,sir cyril radcliffe,1.0,0.14222517609596252
479,the British government,parliament of the united kingdom,1.0,0.47993820905685425
