,answer1,answer2,label,sas,f1,berttrained,bertvanilla,bi_encoder
67,"270,000","121,200",0.0,0.310833215713501,0.0,0.2512577176094055,0.7040148973464966,0.2500142455101013
68,warmest regions,semi-deserts,0.0,0.0109420586377382,0.0,0.2134351283311844,0.3151742815971374,0.2127386033535004
69,2009,7 February 2009,1.0,0.3899961411952973,0.5,0.665343165397644,0.6538216471672058,0.6304848194122314
70,major car brands,car,1.0,0.5543820261955261,0.5,0.5741438269615173,0.5877045392990112,0.5119716525077821
71,October 2016,2013,0.0,0.0122489752247929,0.0,0.40422603487968445,0.587356686592102,0.4647738039493561
72,government-owned,several private and public railway operators,0.0,0.0264244582504034,0.0,0.3402535319328308,0.4011152982711792,0.3515979647636413
73,sevenfold,"76,000 to 540,000",1.0,0.0227178744971752,0.0,0.2300567477941513,0.3549287617206573,0.224750354886055
74,Premier,Premier of Victoria,1.0,0.3924857378005981,0.5,0.6423201560974121,0.6870538592338562,0.6177960038185121
75,$8.7 billion,24%,0.0,0.0109555246308445,0.0,0.13084618747234344,0.4178819060325623,0.1224196553230285
76,tourism,big,0.0,0.0092914095148444,0.0,0.13882561028003693,0.3154254257678985,0.1730496883392334
77,regional cities,Phillip Island,0.0,0.0095299575477838,0.0,-0.06206681206822395,0.2644718885421753,-0.0896457061171531
78,the southern and central parts of France,about one-eighth,0.0,0.0094158528372645,0.0,0.07659463584423065,0.3327825665473938,0.0420559309422969
79,some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0,0.2676485180854797,0.0,0.08274484425783157,0.3008389174938202,0.0346523970365524
80,economic separation,worked as weavers,0.0,0.0093013392761349,0.0,0.08947665244340897,0.3437322378158569,0.0684900656342506
81,surnames,names,1.0,0.9460007548332214,0.0,0.6903032064437866,0.4959779977798462,0.7568175792694092
82,Prussia,Great Elector Frederick William,0.0,0.009791076183319,0.0,0.2085215300321579,0.3668453395366669,0.2045425176620483
83,Parris Island,Southeastern U.S.,1.0,0.0090165631845593,0.0,0.11353466659784317,0.2444271296262741,0.0928132236003875
84,1562,1564,0.0,0.2653370201587677,0.0,0.70875483751297,0.9058880805969238,0.7055824398994446
85,William the Silent,Pierre L'Oyseleur,0.0,0.0096749849617481,0.0,0.12115955352783203,0.3132683336734772,0.1098919734358787
86,Calvinist,Walloon,0.0,0.0104662748053669,0.0,0.3038555383682251,0.2637420892715454,0.3531023263931274
87,1530,1523,0.0,0.3366517126560211,0.0,0.6159406304359436,0.7515578269958496,0.6174499988555908
88,Corliss,patent valve,0.0,0.0097573716193437,0.0,0.0033607876393944025,0.234280988574028,-0.0049013625830411
89,increase in the land available for cultivation,farm tractors,0.0,0.1634923964738845,0.0,0.4691336750984192,0.4234755337238312,0.479298323392868
90,steam turbines,internal combustion engines,0.0,0.4936853647232056,0.0,0.39445582032203674,0.445916086435318,0.3855637311935425
91,Reciprocating piston,steam turbines,0.0,0.3015370070934296,0.0,0.33385756611824036,0.2740837931632996,0.3109085261821747
92,turbine,electric motors,0.0,0.2806403338909149,0.0,0.45336365699768066,0.4289624094963074,0.4720921516418457
93,water pump,vacuum,0.0,0.0221200473606586,0.0,0.21191540360450745,0.3404844105243683,0.2645051181316376
94,cotton spinning,operations requiring constant speed,0.0,0.0121873570606112,0.0,0.1197231113910675,0.2909021377563477,0.0989830046892166
95,Advanced Steam,cogeneration processes,0.0,0.0095053203403949,0.0,0.08656361699104309,0.2456510812044144,0.0645585507154464
96,pollution,Advanced Steam movement,0.0,0.0093886647373437,0.0,0.1067374125123024,0.3198536038398743,0.1109605357050895
97,injector,condensers,0.0,0.0096791936084628,0.0,0.19394159317016602,0.3360828161239624,0.2151278406381607
98,stoking,Mechanical stoker,1.0,0.6813884377479553,0.0,0.46194466948509216,0.2826684117317199,0.424924910068512
99,electrical generator,a turbo generator set with propulsion provided by electric motors,2.0,0.6835110783576965,0.1818181818181818,0.5983404517173767,0.5575502514839172,0.5969418883323669
100,liquid,gaseous,0.0,0.0837916061282157,0.0,0.39411860704421997,0.4203838706016541,0.4667279720306397
101,oxides,oxide compounds,1.0,0.3453982770442962,0.0,0.8024289011955261,0.7059290409088135,0.8208006024360657
102,dioxygen,diatomic gas,1.0,0.4212187826633453,0.0,0.39549586176872253,0.3104843199253082,0.4130174517631531
103,high-altitude ozone layer,ozone,1.0,0.7394605278968811,0.5,0.7016695737838745,0.4995755851268768,0.6970816254615784
104,water,organic molecules,0.0,0.0168281961232423,0.0,0.11390919238328934,0.3308220207691193,0.1461990475654602
105,photosynthesis,living organisms,0.0,0.0141385495662689,0.0,0.4106387495994568,0.2708954215049744,0.4412009119987488
106,nitroaereus,spiritus nitroaereus,1.0,0.6936960220336914,0.6666666666666666,0.842584490776062,0.8459728956222534,0.8421741724014282
107,Joseph Priestley,Priestley,2.0,0.8037286996841431,0.6666666666666666,0.8703532814979553,0.8409693837165833,0.8824477791786194
108,Philo of Byzantium,Philo,1.0,0.7371867895126343,0.5,0.7026885151863098,0.6570582389831543,0.6697150468826294
109,heat or a spark,oxygen,0.0,0.0090391729027032,0.0,0.05800757184624672,0.3552271127700805,0.0639516711235046
110,compounds of oxygen,"peroxides, chlorates, nitrates, perchlorates, and dichromates",1.0,0.0642997771501541,0.0,0.3686465919017792,0.3671875,0.3286654651165008
111,storage vessels,fire,0.0,0.0096335476264357,0.0,0.16637122631072998,0.3228083848953247,0.1994134783744812
112,Earth's crustal rock,Earth's crust,2.0,0.8873999118804932,0.4,0.8484845161437988,0.8448385000228882,0.8457396030426025
113,Avogadro's law,the correct interpretation of water's composition,0.0,0.0100534697994589,0.0,0.0955454632639885,0.4453631937503815,0.0313973650336265
114,non-combustible,wood,0.0,0.0995141193270683,0.0,0.1251068264245987,0.2551591396331787,0.1209431737661361
115,Air,a substance like wood gains overall weight in burning,0.0,0.0173169504851102,0.0,0.11361993849277496,0.289160430431366,0.1171981245279312
116,chemically,a covalent double bond,0.0,0.0173071976751089,0.0,0.11838844418525696,0.292842835187912,0.0888171046972274
117,triplet oxygen,O,1.0,0.4389385879039765,0.0,0.22228863835334778,0.2987391650676727,0.2113560140132904
118,weight,that increase was the same as the weight of the air that rushed back in,0.0,0.1393280029296875,0.1538461538461538,0.3158714771270752,0.5653083920478821,0.270357608795166
119,ozone,Trioxygen,2.0,0.0101067796349525,0.0,0.41308143734931946,0.2602789103984833,0.4322359561920166
120,UV,ultraviolet,2.0,0.7997602224349976,0.0,0.7679905891418457,0.6590283513069153,0.7877116799354553
121,seawater,sea water,2.0,0.9694707989692688,0.0,0.8161121606826782,0.8265942931175232,0.8485066890716553
122,twice,50% more,0.0,0.01001603808254,0.0,0.14194363355636597,0.259532481431961,0.1343451291322708
123,world's oceans,"in the Earth's biosphere, air, sea and land",0.0,0.2485572397708893,0.0,0.45756155252456665,0.5627354383468628,0.4254662096500397
124,compressing and cooling,cascade method,0.0,0.0091203525662422,0.0,0.2743068337440491,0.2888175249099731,0.2592264413833618
125,climate,temperatures,0.0,0.5323547720909119,0.0,0.50840163230896,0.608505129814148,0.5964871644973755
126,oxygen-18,oxygen-16,0.0,0.4610132277011871,0.0,0.7491740584373474,0.9257268905639648,0.7567450404167175
127,lower global temperatures,lower temperatures,2.0,0.8943499326705933,0.8,0.8320237398147583,0.8172807097434998,0.8301362395286559
128,carbon cycle,plant health status,0.0,0.0093368748202919,0.0,0.08874587714672089,0.2830464839935303,0.1099035143852234
129,satellite platform,satellites,2.0,0.8135968446731567,0.0,0.7380664348602295,0.6651507019996643,0.7066099643707275
130,Liquid oxygen,liquid oxygen,2.0,0.96857488155365,1.0,0.9514794945716858,0.9999998211860656,0.9645557403564452
131,magnetic field,magnetic,2.0,0.9037211537361144,0.6666666666666666,0.9097261428833008,0.7808451652526855,0.9189586639404296
132,dangerous by-products,the immune system,0.0,0.0377042256295681,0.0,0.08073819428682327,0.3365709185600281,0.0265050269663333
133,major method,increasingly,0.0,0.1586423367261886,0.0,0.22197917103767395,0.3664361536502838,0.2477827966213226
134,oxygen and hydrogen,Oxygen gas,1.0,0.6293727159500122,0.4,0.6702538728713989,0.6886507272720337,0.6676637530326843
135,Chemical,chemical oxygen generators or oxygen candles,1.0,0.4569354951381683,0.2857142857142857,0.3728736937046051,0.5547398924827576,0.3125786185264587
136,Hyperbaric (high-pressure) medicine,special oxygen chambers,1.0,0.2808237969875336,0.0,0.2857760190963745,0.2952287197113037,0.2897797226905823
137,Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0,0.0089290374889969,0.0,0.1485050767660141,0.2879722118377685,0.1049894914031028
138,oxygen supplementation,Oxygen therapy,2.0,0.7419541478157043,0.5,0.6974918246269226,0.6147217154502869,0.7373335361480713
139,organic compounds,solvents,0.0,0.1432302594184875,0.0,0.33075252175331116,0.4156890213489533,0.3500577509403229
140,Acute oxygen toxicity,seizures,0.0,0.0091941272839903,0.0,0.07365359365940094,0.3285594284534454,0.0243540592491626
141,mechanical ventilators,oxygen masks,0.0,0.0089780092239379,0.0,0.25827762484550476,0.2805686593055725,0.2827624380588531
142,first oil shock,shock,1.0,0.5019416809082031,0.5,0.4891481101512909,0.5899425745010376,0.4405044913291931
143,members of the Organization of Arab Petroleum Exporting Countries,OAPEC,2.0,0.5841178894042969,0.0,0.3605496287345886,0.2800967991352081,0.3687123656272888
144,They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.,multilateral,0.0,0.0102157443761825,0.0,0.10364080220460892,0.2774744927883148,0.0731101557612419
145,After 1971,1973–1974,1.0,0.1902889460325241,0.0,0.4905158281326294,0.60927814245224,0.4742055535316467
146,ten times more,a hundred,0.0,0.2245600521564484,0.0,0.27051809430122375,0.39487025141716,0.2916519641876221
147,renewal of hostilities in the Arab–Israeli conflict,.,0.0,0.046651005744934,0.0,0.15195654332637787,0.4056829810142517,0.0454121716320514
148,until their economic and political objectives were met,In response to American aid to Israel,0.0,0.0094553139060735,0.0,0.12480466812849045,0.3521149456501007,0.092753067612648
149,American aid to Israel,Nixon requested Congress to appropriate $2.2 billion in emergency aid to Israel,1.0,0.2998681366443634,0.375,0.42606768012046814,0.5521548986434937,0.3223141431808472
150,shrinking Western demand,economies had been caught between higher oil prices and lower prices for their own export commodities,0.0,0.015990987420082,0.0,0.14075808227062225,0.3353387415409088,0.0535218976438045
151,distribution and price disruptions,reduced productivity,0.0,0.0089835440739989,0.0,0.2810557782649994,0.3436917960643768,0.2924509942531585
152,Germany,Italy,0.0,0.0191794876009225,0.0,0.3678741157054901,0.6627973318099976,0.4305782318115233
153,encourage investment,"The system limited the price of ""old oil""",0.0,0.0089933164417743,0.0,0.0947616696357727,0.3554512858390808,0.0483261942863464
154,Price controls,promote oil exploration,0.0,0.0095338970422744,0.0,0.17798763513565063,0.3025113642215729,0.1766257882118225
155,"last week of February 1974,",20%,0.0,0.0091160740703344,0.0,-7.240836566779763e-05,0.2874679565429687,-0.0307851526886224
156,British Prime Minister Edward Heath,British,1.0,0.3568600416183472,0.3333333333333333,0.3874145448207855,0.5175280570983887,0.3085629940032959
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.0091688688844442,0.0,0.07864473760128021,0.2708607017993927,0.0476439148187637
158,USSR's invasion,Afghanistan,0.0,0.0092584947124123,0.0,0.12567180395126343,0.3281153440475464,0.1342582404613495
159,January 1979,1979,1.0,0.6274672150611877,0.6666666666666666,0.8558184504508972,0.7317421436309814,0.8784887194633484
160,Japanese imports,Japanese,1.0,0.5260684490203857,0.6666666666666666,0.7188132405281067,0.7189956307411194,0.6928590536117554
161,Japan,Japanese,1.0,0.9391255974769592,0.0,0.8649572730064392,0.7387168407440186,0.88625568151474
162,A decade after the 1973,1981,1.0,0.1109247729182243,0.0,0.22707030177116394,0.5462020039558411,0.2325423061847687
163,power steering,air conditioning,0.0,0.0097689563408494,0.0,0.23309902846813202,0.3196852803230285,0.2438052892684936
164,Lexus,Acura,0.0,0.0161020215600729,0.0,0.13914281129837036,0.2577987015247345,0.185538113117218
165,"Lincoln Continental,",Cadillac DeVille,0.0,0.0581548735499382,0.0,0.2857701778411865,0.3289389610290527,0.2955814003944397
166,Chevrolet Bel Air,lower price models,0.0,0.0165152307599782,0.0,0.08385840058326721,0.2428818643093109,0.0597692355513572
167,Treaties establishing the European Union,"primary law, secondary law and supplementary law",0.0,0.0106390314176678,0.0,0.13163383305072784,0.3239113688468933,0.1040741503238678
168,European Parliament and the Council of the European Union,the Treaties establishing the European Union,0.0,0.4438616037368774,0.3636363636363637,0.6097993850708008,0.7046545147895813,0.5838679671287537
169,international law,case law by the Court of Justice,0.0,0.2013816088438034,0.25,0.39628365635871887,0.4968309104442597,0.3781340122222901
170,Following the Nice Treaty,2004,0.0,0.0097553580999374,0.0,0.18893899023532867,0.3348614275455475,0.2071291208267212
171,the Commission,The European Commission,1.0,0.6671727895736694,0.6666666666666666,0.7798700332641602,0.7574520111083984,0.7820451259613037
172,Federica Mogherini,Jean-Claude Juncker,0.0,0.0097924629226326,0.0,0.14621871709823608,0.2194864749908447,0.1301205307245254
173,at least 55 per cent of the Council members (not votes) representing 65 per cent of the population of the EU,"74 per cent, or 260 of the 352 votes",0.0,0.252934604883194,0.3076923076923076,0.30014467239379883,0.6645563840866089,0.2429833710193634
174,a majority,a Commission proposal,0.0,0.0280250422656536,0.0,0.18781577050685883,0.5727883577346802,0.187427669763565
175,qualified majority,a majority,2.0,0.8172842264175415,0.6666666666666666,0.813117265701294,0.6525635123252869,0.8273261189460754
176,"legislation can be blocked by a majority in Parliament, a minority in the Council, and a majority in the Commission",unanimity,0.0,0.1473472863435745,0.0,0.36938831210136414,0.2791800498962402,0.3451067209243774
177,"by assuming the task of interpreting the treaties, and accelerating economic and political integration",has the ability to expand and develop the law according to the principles it deems to be appropriate,0.0,0.107437752187252,0.074074074074074,0.2213950902223587,0.4634045362472534,0.1859668493270874
178,the Court of Justice,The Italian Constitutional Court,0.0,0.1691632866859436,0.3333333333333333,0.41392940282821655,0.6369102597236633,0.3645310699939728
179,article 30,TFEU article 30,1.0,0.6560264229774475,0.8,0.7692249417304993,0.6596607565879822,0.771278977394104
180,Treaty provisions,they are ‘directly applicable in all Member States’,0.0,0.0750192254781723,0.0,0.22465495765209198,0.3223264813423157,0.2123235166072845
181,"a citizen or company can invoke a Directive, not just in a dispute with a public authority, but in a dispute with another citizen or company","a citizen may rely on the Directive in such an action (so called ""vertical"" direct effect)",1.0,0.7245258688926697,0.1764705882352941,0.5645356774330139,0.5220381617546082,0.573687732219696
182,in Article 5,the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued,0.0,0.4214971363544464,0.0,0.16393834352493286,0.3334635198116302,0.1515901684761047
183,member states,the European Convention on Human Rights,0.0,0.0904486775398254,0.0,0.19917787611484528,0.3324905931949615,0.1975589841604232
184,the Charter of Fundamental Rights of the European Union,the Charter of Fundamental Rights of the European Union of 7,2.0,0.7296578884124756,0.8750000000000001,0.8796566128730774,0.9544825553894044,0.849105179309845
185,to enable people to pursue their life goals in any country through free movement,Since its foundation,0.0,0.0153370006009936,0.0,0.11451645940542221,0.3545443713665008,0.0598401315510273
186,Jean-Marc Bosman,the Belgian Football Association v Bosman,1.0,0.2794324159622192,0.2857142857142857,0.5895061492919922,0.4798811972141266,0.59669429063797
187,if they were non-discriminatory,"participate in economic life ""on a stable and continuous basis""",0.0,0.0140348626300692,0.0,0.149986132979393,0.2922101020812988,0.0912000983953476
188,shipping toxic waste,toxic waste,1.0,0.7418552041053772,0.8,0.850803792476654,0.8531626462936401,0.8102617859840393
189,the Daily Mail,Daily Mail,2.0,0.9582874774932858,1.0,0.9612591862678528,0.9085574746131896,0.9686121940612792
190,"creditor protection, labour rights to participate in work, or the public interest in collecting taxes",Denmark's minimum capital law,0.0,0.0097312415018677,0.0,0.15333537757396698,0.3155102729797363,0.1265077292919159
191,moist broadleaf forest,tropical,1.0,0.0099192978814244,0.0,0.2252386510372162,0.2995675504207611,0.2380199730396271
192,Cretaceous–Paleogene extinction event,dinosaurs,0.0,0.011305084452033,0.0,0.3643677830696106,0.4157626926898956,0.3311811089515686
193,the Atlantic,Atlantic,2.0,0.9556101560592652,1.0,0.9492620825767517,0.8570341467857361,0.9600316882133484
194,Amazonas Basin,Andes Mountains,0.0,0.0101837599650025,0.0,0.23557136952877045,0.3678546845912933,0.2327749729156494
195,Purus Arch,along the middle,0.0,0.0096996696665883,0.0,0.07917357236146927,0.2867016196250915,0.0756035447120666
196,explanations are reasonably well supported,by the available data,0.0,0.2674891948699951,0.0,0.19339323043823242,0.3233413696289062,0.1879199743270874
197,the Last Glacial Maximum (LGM) and subsequent deglaciation,rainfall in the basin during the LGM was lower than for the present,0.0,0.2397744208574295,0.1176470588235294,0.5174271464347839,0.4746094346046448,0.508452832698822
198,data sampling is biased away from the center of the Amazon basin,practical limitations of working in the rainforest,1.0,0.0538444630801677,0.125,0.29740408062934875,0.4533829987049103,0.2502042055130005
199,one in five,"2,200",0.0,0.0108010210096836,0.0,-0.025119541212916374,0.4472823441028595,-0.0619269907474517
200,"40,000",tens of thousands,1.0,0.5549298524856567,0.0,0.333526074886322,0.4964565634727478,0.3466988205909729
201,One in five,"1,294",0.0,0.0546258017420768,0.0,0.12848293781280518,0.4675781726837158,0.1106189489364624
202,62 acres,quarter square,1.0,0.0201328750699758,0.0,0.10907984524965286,0.3034530878067017,0.0811488404870033
203,10% of the carbon stores,10%,1.0,0.4581508338451386,0.4,0.6931045651435852,0.7213735580444336,0.6878475546836853
204,to help strengthen their territorial claims,map out their ancestral lands,0.0,0.3155765533447265,0.1818181818181818,0.4139847159385681,0.4375671148300171,0.4101541340351105
205,phylum of animals that live in marine waters,comb jellies,1.0,0.0091532217338681,0.0,0.23453836143016815,0.257513552904129,0.1989985257387161
206,‘combs’ – groups of cilia,cilia,1.0,0.4236300885677337,0.3333333333333333,0.6179269552230835,0.7263827919960022,0.5757176876068115
207,water flow through the body cavity,κτείς kteis 'comb' and φέρω pherō 'carry',0.0,0.0100920917466282,0.0,0.17467689514160156,0.2692987322807312,0.1381621956825256
208,colloblasts,retractable tentacles fringed with tentilla,2.0,0.0913997590541839,0.0,0.22092805802822113,0.2479321956634521,0.2159948199987411
209,sequential,simultaneous,0.0,0.1395684629678726,0.0,0.6574081778526306,0.6007716655731201,0.6757146120071411
210,planktonic plants,a vital part of marine food chains,1.0,0.1522506177425384,0.0,0.12581373751163483,0.3096904158592224,0.0989615842700004
211,66 million years ago,515 million years ago,0.0,0.391943484544754,0.75,0.28591814637184143,0.8572244644165039,0.2193588614463806
212,515 million years,66 million years ago,0.0,0.4053872227668762,0.5714285714285715,0.21764028072357178,0.7292609214782715,0.1499621868133545
213,515 million years,66 million years,0.0,0.4242528080940247,0.6666666666666666,0.22718626260757446,0.828016996383667,0.1553026586771011
214,cnidarians,Ctenophores,1.0,0.1295494884252548,0.0,0.4507536292076111,0.3032459318637848,0.4727778136730194
215,diploblastic,ctenophores,0.0,0.0094400076195597,0.0,0.2512235939502716,0.225192591547966,0.2381239980459213
216,"sponges and cnidarians, ctenophores",cnidarians and ctenophores,1.0,0.6923535466194153,0.8571428571428571,0.8996444344520569,0.894453763961792,0.8982677459716797
217,comb-bearing,"""comb"" and the Greek suffix -φορος meaning ""carrying""",2.0,0.4521183669567108,0.0,0.4391195476055145,0.4788122475147247,0.4469290971755981
218,"a mouth that can usually be closed by muscles; a pharynx (""throat""); a wider area in the center that acts as a stomach; and a system of internal canals.",the gastrodermis,1.0,0.3862836360931397,0.0,0.3128223717212677,0.3215208649635315,0.2974251210689545
219,osmotic pressure,It is uncertain,0.0,0.0095305396243929,0.0,0.10106886923313141,0.2862379848957062,0.0656601935625076
220,pump water out of the mesoglea,pump,1.0,0.6470732092857361,0.3333333333333333,0.30757057666778564,0.5217310190200806,0.2606173753738403
