,answer1,answer2,label,berttrained,f1,sas,bertvanilla,bi_encoder,bleu,rouge_L,meteor,new_berttrained,new_bi_encoder
12,"An der Gletschersohle sowie den Flanken eines Gletschers kann das Eis oft am anstehenden Gestein festfrieren, wodurch hier keine Bewegung möglich ist.",Auf molekularer Ebene besteht Eis aus übereinanderliegenden Molekülschichten mit relativ schwachen Bindungskräften zwischen den einzelnen Schichten,0.0,0.4644119143486023,0.1081081081081081,0.3708415627479553,0.4565753936767578,0.4761382341384888,0.0,0.048780487804878,0.0595238095238095,0.38323602,0.3973429501056671
13,am Golf von Mexiko in der Golfküstenebene,Südküste,0.0,0.2532966136932373,0.0,0.3024840652942657,0.5489984750747681,0.2158038169145584,0.0,0.0,0.0,0.38431785,0.3666284680366516
14,Johads,Johad,2.0,0.7682992815971375,0.0,0.8521178960800171,0.8646899461746216,0.8221288919448853,0.0,0.0,0.5,0.773153,0.7579766511917114
15,die alten traditionellen Methoden des Regenwassersammelns zu dokumentieren und Pilotprojekte aufzubauen,Die Menschen werden jetzt wieder verstärkt in die Wasserversorgung einbezogen,0.0,0.347773939371109,0.0952380952380952,0.3345751166343689,0.5022075176239014,0.3196905553340912,0.0,0.0909090909090909,0.0495049504950495,0.43028292,0.43440482020378113
16,Sheffield United,Brian Deane,0.0,0.1613788306713104,0.0,0.0708735659718513,0.3901084959506989,0.1542451828718185,0.0,0.0,0.0,0.11307632,0.10499632358551025
17,"USA, in Kanada und in Australien (hier nur umgangssprachlich)","in den USA vor allem zum American Football, in Kanada zum Canadian Football und in Australien zum Australian Football",1.0,0.6466575860977173,0.4285714285714285,0.5477564930915833,0.6464542746543884,0.640207052230835,0.0,0.4285714285714285,0.3502338435374149,0.6890301,0.7089325785636902
18,Baktrien,Afghanistan und Pakistan,0.0,0.1129957884550094,0.0,0.1095199510455131,0.4069781601428985,0.0877971351146698,0.0,0.0,0.0,0.09892072,0.06551085412502289
19,Die Anzahl der Einwohner wird in unterschiedlichen Quellen nicht einheitlich angegeben.,"Für das Jahr 2017 wird die Einwohnerzahl bei den Vereinten Nationen mit 5,1 Millionen, im CIA World Factbook mit 5,9 Millionen
und bei Statista mit 6,7 Millionen angegeben",1.0,0.2429976463317871,0.1538461538461538,0.402774304151535,0.5428010821342468,0.1641107499599456,0.0,0.0930232558139534,0.0549450549450549,0.2718871,0.2166043072938919
20,Im internationalen Vergleich ist die Versorgungsquote mit Verhütungsmitteln in Eritrea schlecht.,nur 7 % der verheirateten Frauen Zugang zu modernen Verhütungsmitteln,1.0,0.3063995242118835,0.1,0.4421506524085999,0.6191198229789734,0.1659851521253585,0.0,0.1818181818181818,0.0490196078431372,0.36372894,0.2554161846637726
21,Das Betreten – außer zum Be- und Entladen – sowie die Mitfahrt sind verboten.,"Ein Güteraufzug ist nach der bisherigen deutschen Aufzugsverordnung eine Aufzugsanlage, die ausschließlich zum Transport von Gütern ohne die Begleitung von Personen gedacht ist.",1.0,0.4686027765274048,0.1081081081081081,0.3671028316020965,0.524857223033905,0.5035668015480042,0.0,0.1025641025641025,0.0625,0.4704653,0.5117397308349609
22,durch die jahrelange öffentliche Abwesenheit,"Für viele Untertanen wurde die „Witwe von Windsor“ („Widow of Windsor“) zu einer etwas wunderlichen Einsiedlerin im Witwenkleid, einer entrückten Gestalt, ehrfurchtgebietend und über ein weltumspannendes Imperium herrschend",0.0,0.0676876828074455,0.0606060606060606,0.3310172855854034,0.4383783340454101,-0.0068829106166958,0.0,0.0571428571428571,0.0151975683890577,0.10944012,0.03211205452680588
23,-lijer,op,0.0,0.423265278339386,0.0,0.2459391355514526,0.4116208553314209,0.4658680856227875,0.0,0.0,0.0,0.118562534,0.10516311973333359
24,Neben Krankheiten basiert der pejorative Wortschatz vor allem auf Geschlechtsteilen und Sexualität.,Krankheiten,1.0,0.3567599058151245,0.1538461538461538,0.3120727241039276,0.5782455205917358,0.3371913731098175,0.0,0.1428571428571428,0.2272727272727273,0.32026353,0.2512688934803009
25,500 MB/s,5 Gbit/s,0.0,0.5662476420402527,0.0,0.2178570330142974,0.6677072644233704,0.5678842067718506,0.0,0.3333333333333333,0.0,0.4962137,0.4953204393386841
26,23 Uhr,23.00 Uhr,2.0,0.9038873314857484,0.5,0.7861263155937195,0.9008858799934388,0.9293213486671448,0.0,0.8,0.25,0.8215984,0.8391625881195068
27,„Last Order“,eine Glocke,0.0,0.1880365759134292,0.0,0.0679830387234687,0.4986930787563324,0.1909813284873962,0.0,0.0,0.0,0.095805354,0.07629641890525818
28,1897,23. September 1896,0.0,0.5227436423301697,0.0,0.2562076449394226,0.6806877851486206,0.5532206892967224,0.0,0.0,0.0,0.52388537,0.5632138252258301
29,"Indianerstämmen der Muskogee, der Seminolen, der Cherokee, der Choctaw und der Chickasaw zu (den „Fünf zivilisierten Nationen“), die aus den östlichen Staaten vertrieben wurden. Etwa 50.000 Menschen wurden nach Oklahoma getrieben, wo sie auf bereits ansässige andere Indianerstämme trafen.",Umsiedlung,1.0,0.3844684362411499,0.0,0.318958431482315,0.3931271731853485,0.3606145977973938,0.0,0.0,0.0,0.17360571,0.15404948592185974
30,Großer Schneesturm,wegen eines Unwetters,1.0,0.3226907551288605,0.0,0.3270385861396789,0.4727484285831451,0.2884357571601868,0.0,0.0,0.0,0.16753843,0.1402866095304489
31,Nationalstaatsidee,einem vereinten deutschen Staat,1.0,0.3731987774372101,0.0,0.3523668646812439,0.4628446698188782,0.3431785702705383,0.0,0.0,0.0,0.17516723,0.143742173910141
32,Pädagogen Friedrich Fröbel,Fröbel,2.0,0.6612228155136108,0.5,0.7016562223434448,0.7728303074836731,0.6621343493461609,0.0,0.5714285714285715,0.4166666666666667,0.8201727,0.8388799428939819
33,Meyers Konversations-Lexikon,Brockhaus Enzyklopädie,0.0,0.2660122215747833,0.0,0.5967026948928833,0.4200862050056457,0.2169774919748306,0.0,0.0,0.0,0.069368474,-0.00027747824788093567
34,für höhere Organismen nur relativ schwach giftig,"So kann ein Mensch täglich 0,04 Gramm Kupfer zu sich nehmen, ohne Schaden an seiner Gesundheit zu erleiden",1.0,0.2143492698669433,0.0,0.1802637577056884,0.392916589975357,0.1583337634801864,0.0,0.0,0.0,0.17787437,0.13706490397453308
35,unter 2 %,"nahe, aber unter 2 %",2.0,0.7950205206871033,0.6666666666666666,0.8421996235847473,0.8218407630920409,0.8098882436752319,0.0,0.6666666666666666,0.5165692007797271,0.69287026,0.6541956067085266
36,vis viva,lebendigen Kräfte,2.0,0.496273398399353,0.0,0.2374069988727569,0.3818831443786621,0.4540885984897614,0.0,0.0,0.0,0.26764637,0.21815672516822815
37,Behandlung der elastischen Deformation,Lösung der Bewegungsgleichungen vor allem in der Himmelsmechanik,0.0,0.309728056192398,0.1666666666666666,0.1003224328160286,0.4596480131149292,0.2917257249355316,0.0,0.1538461538461538,0.0657894736842105,0.32415342,0.33242446184158325
38,das Funktionsprinzip der Dampfmaschine,"Der Physiker Nicolas Carnot erkannte, dass beim Verrichten von mechanischer Arbeit eine Volumenänderung des Dampfs nötig ist. Außerdem fand er heraus, dass die Abkühlung des heißen Wassers in der Dampfmaschine nicht nur durch Wärmeleitung erfolgt",1.0,0.5493389368057251,0.1025641025641025,0.4130518734455109,0.5571054220199585,0.5407041907310486,0.0,0.0888888888888888,0.0541907514450867,0.53657246,0.5478655695915222
39,Thayendanegea,Joseph Brant,2.0,0.2214183509349823,0.0,0.0279418602585792,0.3610248267650604,0.2282657623291016,0.0,0.0,0.0,0.061917506,0.02795988693833351
40,die junge weiße Frau Mayella vergewaltigt zu haben,Vergewaltigung,1.0,0.4469979107379913,0.0,0.5312483906745911,0.5016919374465942,0.3961645364761353,0.0,0.0,0.0,0.57629293,0.5488373637199402
41,der Verurteilte wird kurz nach dem Prozess bei einem Fluchtversuch erschossen,Am Ende des Romans begleitet Scout ihren Nachbarn Boo wieder zurück in sein Haus,0.0,0.1233061701059341,0.0,0.0285826753824949,0.4170540869235992,0.0840913951396942,0.0,0.0,0.0,0.12686968,0.07314366102218628
42,"veredelte, geschmückte und verzierte, oft aufwendig bearbeitete Papiererzeugnisse die von etwa 1820/1860 bis 1920/1930 hergestellt wurden, als es eine eigene Luxuspapierindustrie gab","Andachts- und Fleißbildchen, viele Ansichts- (Leporello), Gelegenheits- (Glückwunsch-, Weihnachts- und Neujahrskarten) und Bildpostkarten (Motivkarten), verzierte Briefbogen, Etiketten, allerlei Papierspielzeug (Papiertheater), Reklamemarken und Sammelbilder und vieles mehr",0.0,0.3904811143875122,0.0833333333333333,0.5294197201728821,0.4969480931758881,0.3555189669132233,0.0,0.0754716981132075,0.0634517766497461,0.39769152,0.3802565634250641
43,Die Partei der Demokratischen Revolution,Movimiento Progresista,1.0,0.4824088811874389,0.0,0.2429572641849517,0.374481737613678,0.5114433765411377,0.0,0.0,0.0,0.3324083,0.36368680000305176
44,"Die Sprachwahl war, neben den stilisierbaren Protagonisten des „Wettrennens ins All“, den „Helden“, einer der Gründe für die Popularität der Raumfahrt in den 60ern. Durch diese Sprachwahl konnte ein breiteres Publikum angesprochen werden, ein hochpolitisches Thema wurde für breite Massen dadurch „lesbar“, beziehungsweise damit aufbereitet.",Politik und Medien glorifizierten in den 1960ern das Ringen um kosmische Überlegenheit und allgemeine Begeisterung für den Schauplatz und seine Akteure,2.0,0.4760240018367767,0.1212121212121212,0.6162370443344116,0.4978551864624024,0.5041090250015259,0.0,0.1126760563380281,0.0809716599190283,0.4410691,0.4581465721130371
45,Das objektive Jagdrecht,Jagdrecht,2.0,0.7923817038536072,0.5,0.6625402569770813,0.7508417963981628,0.7828754782676697,0.0,0.5,0.4166666666666667,0.7911722,0.7551101446151733
46,Generell bilden Regelungen zum rechtlichen Status des Wildes und zum Inhaber des subjektiven Jagdrechts,Frankfurter Reichsverfassung vom 28. März 1849,0.0,0.1339714527130127,0.0,0.0648916587233543,0.4360501170158386,0.0660340338945388,0.0,0.0,0.0,0.19621734,0.15044131875038147
47,weitergehende Regelungen,"z. B. Restriktionen zu den jagdbaren Wildarten, Jagd- und Schonzeiten für das jagdbare Wild, Verbote bestimmter Jagdwaffen und -methoden, Voraussetzungen für Ausstellung eines Jagdscheins, Meldepflichten für erlegtes Wild, Vorschriften zum Umgang mit Wildbret und zahlenmäßige oder qualitative Begrenzungen beim Erlegen von jagdbaren Wild",1.0,0.4064803123474121,0.0,0.5016377568244934,0.414132297039032,0.3257696032524109,0.0,0.0,0.0,0.39630696,0.3441871106624603
48,"Zum einen können die Genprodukte der Chromosomen direkt in den Zellen wirken, in denen sie exprimiert werden. Zum anderen bedingen die Gonosomen die Entwicklung der Gonaden, die die Geschlechtshormone bilden.","Geschlechtshormone, wie Testosteron und die Östrogene, wirken nicht nur auf die Keimdrüsen, sondern in vielfältiger Weise auf das gesamte Nervensystem: auf Nervenzellen, Synapsen, Genexpression",0.0,0.6587672233581543,0.1851851851851852,0.5311794281005859,0.6112768650054932,0.6918614506721497,0.0,0.1052631578947368,0.1151315789473684,0.63293177,0.6759522557258606
49,die NATO,syrischen Geheimdienst,0.0,0.3012556433677673,0.0,0.089538924396038,0.5016201734542847,0.3464708626270294,0.0,0.0,0.0,0.11519623,0.056221503764390945
50,Nintendo Advanced Video System,Famicom,0.0,0.158310666680336,0.0,0.1712323129177093,0.3347146809101105,0.1624450981616974,0.0,0.0,0.0,0.1855614,0.1999664157629013
51,"Bei Allergien, auch als Überempfindlichkeitsreaktion bezeichnet",so genannten Autoimmunerkrankungen,1.0,0.4293593764305115,0.0,0.323746919631958,0.3903844058513641,0.3702099919319153,0.0,0.0,0.0,0.32282457,0.27154719829559326
52,"Der Berstwiderstand gibt den benötigten Druck an, um ein Papier zum Bersten zu bringen.","Druck, der zum Durchstoßen des Papiers erforderlich ist",2.0,0.709382951259613,0.2857142857142857,0.8259740471839905,0.6096182465553284,0.7435668110847473,0.0,0.1666666666666666,0.2577319587628866,0.59444666,0.5770288705825806
53,das Fehlen des vokalisierten «L»,die Übernahme einiger Wörter aus dem früheren Unterschichtsquartier Matte,0.0,0.1901756674051284,0.0,0.1421442776918411,0.4408275783061981,0.1511435508728027,0.0,0.0,0.0,0.211195,0.17452087998390198
54,am 24. November 1859,1859,1.0,0.7885786294937134,0.4,0.5889602303504944,0.7253018617630005,0.7860342264175415,0.0,0.4,0.3571428571428571,0.7874159,0.7900300025939941
55,derjenigen anderer früher indogermanischer Völker ähnlich,"In den Naturerscheinungen, besonders den Phänomenen des Himmels, sahen die Slawen wirkliche Wesen, die sie sich mit Denken und Empfinden ausgestattet vorstellten, einige wohltätig, andere zerstörend wirkend",0.0,0.2617264091968536,0.0,0.2042796462774276,0.4011175334453583,0.2314730584621429,0.0,0.0,0.0170068027210884,0.19453742,0.13434146344661713
56,bog,"Svarog (der ''Schöpfer''), als Urheber des Donners heißt er Perun (balt. ''Perkunas'')",0.0,0.2181659042835235,0.0,0.1710054278373718,0.4692647755146026,0.167291909456253,0.0,0.0,0.0,0.2700162,0.19465915858745575
57,Erich Wolfgang Skwara,Raoul Schrott,0.0,0.4183611869812011,0.0,0.1387114375829696,0.3325916826725006,0.4340288341045379,0.0,0.0,0.0,0.25925392,0.2688522934913635
58,"Friedrich II. die österreichische Provinz Schlesien erobert und versuchte, sie mittels eines Bündnissystems gegen eine mögliche Rückeroberung zu behaupten.
* Österreich unter Mar",den preußischen König Friedrich II. (1712–1786) außenpolitisch zu isolieren,0.0,0.3496133983135223,0.1935483870967742,0.4140476882457733,0.5198708772659302,0.3641755282878876,0.0,0.1578947368421052,0.2355410447761193,0.39178288,0.41516008973121643
59,die zahlreichen Brunnen in der Stadt rund um den See,dieser künstliche See mit Namen Gadisar,0.0,0.4238658845424652,0.125,0.2808182537555694,0.4963535070419312,0.4207432270050049,0.0,0.1176470588235294,0.078125,0.38463283,0.35838818550109863
60,"die Hauptgruppen sind: die Einsicht in die Lehre, ihre ethischen Grundlagen und die Schwerpunkte des geistigen Trainings (Meditation/Achtsamkeit)",dreigeteilt,1.0,0.1332054585218429,0.0,0.0950973406434059,0.4046026170253753,0.0480994768440723,0.0,0.0,0.0,0.16777581,0.12032076716423035
61,"da im Gegensatz zu anderen Materialien bei Blei keine Wirkschwelle benannt werden kann, unter der die Aufnahme von Blei gesundheitlich unbedenklich ist.",aus Gründen des Umweltschutzes (siehe Bleibelastung der Umwelt) und gesundheitlichen Gründen (siehe Bleivergiftung),1.0,0.5261311531066895,0.0571428571428571,0.5695198178291321,0.5158802270889282,0.5100024342536926,0.0,0.054054054054054,0.0282485875706214,0.39965722,0.357357919216156
62,vorzugsweise bei Sendern hoher Leistung,bei großen hochfrequenten Strömen und Spannungen im Kilovolt-Bereich,0.0,0.5472865700721741,0.1538461538461538,0.4057726562023163,0.4813556671142578,0.5267248749732971,0.0,0.125,0.0649350649350649,0.34810632,0.2751183807849884
63,bei großen hochfrequenten Strömen und Spannungen im Kilovolt-Bereich,vorzugsweise bei Sendern hoher Leistung,0.0,0.5472865700721741,0.1538461538461538,0.3906343877315521,0.4813556671142578,0.5267248749732971,0.0,0.125,0.0943396226415094,0.34810632,0.2751183807849884
64,51. Bundesstaat,Democrats Abroad,0.0,0.1582618504762649,0.0,0.1002264767885208,0.4309549331665039,0.1474189758300781,0.0,0.0,0.0,0.16533251,0.16515424847602844
65,"die dann unter der Bezeichnung „Rationalismus“ zusammengefasst werden. Diese Positionierung dient vor allem der Distanzierung des Empirismus von traditionellen, scholastisch-rationalistischen Auffassungen.
Diese Auffassungen gehen davon aus, dass Weltwissen auch aus reinem Denken möglich ist oder dieses reine Denken sogar die primäre oder ausschließliche Erkenntnisquelle ausmache.",Rationalismus,1.0,0.4231462478637695,0.0,0.530964195728302,0.5717628002166748,0.3747745156288147,0.0,0.0399999999999999,0.0819672131147541,0.44019327,0.4055728316307068
66,"Unter Einhaltung dieser Bedingungen weicht sie möglichst wenig von der örtlichen Sonnenzeit ab. Die Differenz zwischen der örtlichen Sonnenzeit und der Zonenzeit eines Ortes ist östlich des Mittelmeridians negativ und westlich davon positiv, und sofern die Grenzen der Zeitzonen in etwa mit ihrer natürlichen Lage übereinstimmen – was heute oft nicht mehr zutrifft –, ist der Betrag dieser Differenz im Jahresmittel nirgends wesentlich größer als eine halbe Stunde.",Die Sommerzeit ist damit gleich der Zonenzeit der östlich benachbarten Zeitzone,1.0,0.5502324104309082,0.1518987341772152,0.4435476362705231,0.6032732129096985,0.5558188557624817,0.0,0.1,0.1754385964912281,0.5519297,0.569288969039917
67,die Zonenzeit in der Mitteleuropäischen Zeitzone mit dem Bezugsmeridian der geographischen Länge 15° Ost,die Mitteleuropäische Zeit,2.0,0.4997098743915558,0.1176470588235294,0.7305824160575867,0.641183614730835,0.4143475592136383,0.0,0.2,0.1219512195121951,0.62133646,0.5930719375610352
68,"eingeschleppte Krankheiten, Strafexpeditionen, Umsiedlungen und Zwangsarbeit",Krankheiten,1.0,0.3537930846214294,0.2857142857142857,0.3986989259719849,0.5797321796417236,0.318726122379303,0.0,0.2857142857142857,0.2941176470588236,0.39177972,0.32886025309562683
69,Downtown Houston,Houston,1.0,0.860406219959259,0.6666666666666666,0.7115951180458069,0.6089031100273132,0.8602398633956909,0.0,0.6666666666666666,0.4545454545454545,0.87617433,0.8808369636535645
70,Gewaltenteilung,die fehlende Trennung zwischen Exekutive (ausübende) und Legislative (gesetzgebende Gewalt),2.0,0.496030330657959,0.0,0.4971066415309906,0.4316609799861908,0.5237684845924377,0.0,0.0,0.0,0.4250451,0.46261972188949585
71,Eine anhaltende erhöhte Zinkzufuhr kann zu Kupfermangel und Störungen in der Blutbildung führen.,"ab 200 mg können Symptome wie Übelkeit, Erbrechen oder auch Durchfall auftreten. Beim Menschen führt die Aufnahme von Zink ab etwa 2 g zu akuten Vergiftungserscheinungen",1.0,0.4980183243751526,0.0512820512820512,0.4313510954380035,0.5229090452194214,0.4361326396465301,0.0,0.0454545454545454,0.037593984962406,0.53939795,0.5567222237586975
72,Außenrufe und Innenkommandos,Eingabe eines Fahrtwunsches über die Außentableaus (Ruf) oder vom Kabinentableau (Kommando),2.0,0.565843403339386,0.0,0.66000896692276,0.5509670376777649,0.5584980249404907,0.0,0.125,0.0,0.49904904,0.4839131236076355
73,einer ca. 200.000 Jahre alten Fundstelle aus der Zeit des Neandertalers an einem ehemaligen Seeufer bei Frankleben in Sachsen-Anhalt,Hinweis auf das Gerben von Tierhäuten,0.0,0.2835468351840973,0.0,0.0645383074879646,0.4138998091220856,0.1705564558506012,0.0,0.0,0.0,0.3271633,0.2962021827697754
74,Die Effektivität als Kleidung wurde durch die Erfindung des Nähens erheblich gesteigert,da Kleidung nun geschlossen und dem menschlichen Körperbau angepasst werden konnte,0.0,0.4621036052703857,0.0869565217391304,0.5047837495803833,0.4865071475505829,0.460835337638855,0.0,0.0769230769230769,0.045045045045045,0.48158395,0.4875481426715851
75,Haus Oranien,von Oranien,2.0,0.778107762336731,0.5,0.6728819608688354,0.8070505261421204,0.8045037984848022,0.0,0.5,0.25,0.7157721,0.6590990424156189
76,"dass sich der Vater, als er bei der Meldung der Geburt zurückrechnete, eine Woche zu viel zählte und fälschlicherweise den 22. Februar als Geburtstag seines Sohnes eintragen ließ","Die beiden Urkunden verzeichnen als Geburtsdatum den 22. Februar 1810, aber sowohl Chopin als auch seine Mutter gaben als Geburtstag den 1. März 1810 an",0.0,0.5575963854789734,0.2307692307692307,0.4652686715126038,0.5928146839141846,0.5433583855628967,0.0,0.2105263157894736,0.2063429743052829,0.5661139,0.5543851256370544
77,durch Schlafmangel und Dehydrierung ausgelösten temporären Psychose,wegen eines Nervenzusammenbruchs,1.0,0.46119025349617,0.0,0.2750480473041534,0.4098696708679199,0.4679713249206543,0.0,0.0,0.0,0.38719043,0.3990207314491272
78,etwas über einer Million Einwohnern,659.433 Einwohnern (2009),0.0,0.1696345061063766,0.25,0.3225673139095306,0.5365516543388367,0.0653333589434623,0.0,0.2222222222222222,0.1,0.2622689,0.15665510296821594
79,acht,acht Stadtbezirke,2.0,0.6965609192848206,0.6666666666666666,0.606830894947052,0.7534583210945129,0.6858015656471252,0.0,0.6666666666666666,0.2631578947368421,0.4917928,0.4346432387828827
80,Eklogen,''Eklogen'' oder ''Bucolica'',1.0,0.5479220151901245,0.5,0.5800716876983643,0.6339291334152222,0.5311672687530518,0.0,0.5,0.0,0.5693908,0.5133780241012573
81,"nur bis eine Gigawattstunde pro Jahr die EEG-Umlage in voller Höhe berechnet. Für den Energieanteil zwischen einer und 10 Gigawattstunden sind 10 % der EEG-Umlage zu bezahlen, zwischen 10 und 100 Gigawattstunden nur noch 1 % der EEG-Umlage.","Die Deutsche Bahn AG sah sich bei deren Umsetzung mit Mehrausgaben von jährlich 500 Millionen Euro belastet, von denen 137 Millionen Euro durch den möglichen Entfall der geminderten EEG-Umlage entstehen würden und 350 Millionen Euro durch die mögliche Einführung der EEG-Umlage für selbsterzeugten Strom",0.0,0.4836786389350891,0.2,0.3625709414482117,0.5786679983139038,0.4175103902816773,0.0,0.1935483870967741,0.1309306316780158,0.48178902,0.4584420919418335
82,"Männer, denen das Wahlrecht zustand, waren automatisch registriert, Frauen mussten einen besonderen Antrag stellen, um ihre politischen Rechte ausüben zu können","Für Männer bestand Wahlpflicht, für Frauen nicht",0.0,0.5469032526016235,0.1428571428571428,0.467729777097702,0.5856885313987732,0.5143439173698425,0.0,0.1764705882352941,0.1546391752577319,0.570384,0.5665508508682251
83,muslimische Gemeinden,"Kimbanguisten, sowie neuapostolische Christen",0.0,0.1777196824550628,0.0,0.1458771675825119,0.4311921894550324,0.1507455110549926,0.0,0.0,0.0,0.19316535,0.1609731912612915
84,"Im Gegensatz zu den meisten anderen Religionen und zum Synkretismus führte der wachsende Ausschließlichkeitsanspruch des Christentums zur Verweigerung gegenüber dem Kaiserkult und damit der römischen Autorität,","Dies führte zu Maßnahmen gegen die beiden Religionen, die mit dem Polytheismus unvereinbar zu sein schienen",0.0,0.4786964654922485,0.1904761904761905,0.3350213766098022,0.553818941116333,0.4640059769153595,0.0,0.1632653061224489,0.1388888888888888,0.514036,0.5270018577575684
85,313 n. Chr.,311 n. Chr.,0.0,0.8492916226387024,0.6666666666666666,0.4462697803974152,0.9615815877914428,0.8424123525619507,0.0,0.6666666666666666,0.7361111111111112,0.8308722,0.8175935745239258
86,da diese immer nur einen Einzelfall repräsentierten,"Klassischerweise schränken viele Empiristen die intuitiv-deduktive Form des Wissens auf die Verhältnisse zwischen den Begriffen ein, die bestenfalls die Operationen des eigenen Verstandes repräsentieren",0.0,0.2549483180046081,0.0,0.2453690320253372,0.4450585246086121,0.1839151680469513,0.0,0.0555555555555555,0.021551724137931,0.2592025,0.19031096994876862
87,durch das Metrum,die Schwingung selbst und jede denkbare praktische Involvierung,0.0,0.3080680966377258,0.0,0.1931488066911697,0.4550250470638275,0.257281482219696,0.0,0.0,0.0,0.12293594,0.08107303082942963
88,als elementare Voraussetzung der Musik,Musik ist von den Künsten der Zeit am nächsten,0.0,0.5109453797340393,0.2857142857142857,0.4186878204345703,0.5451595187187195,0.4722965955734253,0.0,0.125,0.1162790697674418,0.4806166,0.42047736048698425
89,besonders flüchtig,Medium in der Zeit,0.0,0.31293585896492,0.0,0.2182586789131164,0.3993967175483704,0.2696243226528168,0.0,0.0,0.0,0.21405189,0.22159993648529053
90,Goring House,Buckinghams Haus,2.0,0.365006536245346,0.0,0.2916310429573059,0.442882090806961,0.3534085750579834,0.0,0.0,0.0,0.23503102,0.21884262561798096
91,1703,etwa 1633,0.0,0.4508379697799682,0.0,0.2911072075366974,0.7603589296340942,0.4460536241531372,0.0,0.0,0.0,0.44422737,0.44737952947616577
92,nach seinem Kurzfilm ''Amblin'',Amblin Entertainment,0.0,0.5868728160858154,0.3333333333333333,0.5574025511741638,0.6291543245315552,0.5662755966186523,0.0,0.3333333333333333,0.2083333333333333,0.6244212,0.6211477518081665
93,16. Dezember 2015,1982,0.0,0.1231576651334762,0.0,0.047075193375349,0.5281572341918945,0.1543067246675491,0.0,0.0,0.0,0.061031763,0.038476914167404175
94,Anthony Porter,Porter,1.0,0.7328138947486877,0.6666666666666666,0.8472438454627991,0.8329391479492188,0.7318539619445801,0.0,0.6666666666666666,0.4545454545454545,0.8630118,0.874503493309021
95,die klassische Periode der japanischen Literatur,"Am Hof von Heian wurden die japanische Kultur, Kunst und Sitten zu außerordentlicher Verfeinerung geführt",0.0,0.3718394935131073,0.0952380952380952,0.3335282206535339,0.5308896899223328,0.3477636277675629,0.0,0.0869565217391304,0.0333333333333333,0.38468847,0.3759803771972656
96,Hiragana,onna-de,0.0,0.2815907597541809,0.0,0.1239854842424392,0.3929043710231781,0.3007577061653137,0.0,0.0,0.0,0.1742291,0.1479414999485016
