,answer1,answer2,label,bi_encoder
660,SVR RF,Mossad,0.0,-0.036004308611154556
206,1664,pondicherry,0.0,-0.03583419322967529
2724,modified for faster speed,southern California,0.0,-0.03467830643057823
3124,the U.S. Senate,President Andrew Jackson,2.0,-0.03329683467745781
2272,"""support our troops""",a close family member is abroad,1.0,-0.03251119330525398
3047,Frances Sternhagen,cleo king,0.0,-0.03225567191839218
3125,the U.S. Senate,Andrew Jackson,2.0,-0.032060667872428894
3282,92,arsene wenger,0.0,-0.03153323382139206
1950,"Sail Rock, Maine",cape flattery,0.0,-0.030502380803227425
240,Bachman–Turner Overdrive,Poison,0.0,-0.030135683715343475
514,All 14 districts,Chengannur,1.0,-0.029656939208507538
1955,Lazarus Muoka,jesus,0.0,-0.026566291227936745
1159,Elizabeth II,george washington,0.0,-0.02599170245230198
3544,Talia Shire,Ethan Embry,0.0,-0.025948211550712585
819,Fast & Furious 6,"November 30, 2013",0.0,-0.025653304532170296
1216,Mariska Magdolna Hargitay,brooke shields,1.0,-0.02564440853893757
1093,the father of the radio,Les Garland,0.0,-0.02494361251592636
2128,ten,"approximately 70,800 juveniles were incarcerated",0.0,-0.024006130173802376
3462,minimum wage laws,an indie roguelike video game,1.0,-0.023801740258932114
3509,lack of protein and calories,Matilda Wormwood,0.0,-0.02342829294502735
219,a gender-neutral honorific,my dear,0.0,-0.02314196527004242
530,Stephen Perry,sean combs,0.0,-0.022210929542779922
3152,104,1776447,0.0,-0.022117743268609047
3119,the U.S. Senate,president george washington,0.0,-0.02108888328075409
1277,50 First Dates,Thom,0.0,-0.020633358508348465
2255,mutations in the LRP2 gene,Donnai-Barrow syndrome,0.0,-0.019719600677490234
1351,boxing,composer scott gayle,0.0,-0.019595293328166008
2644,Brazil,La Brea Tar Pits in Los Angeles,2.0,-0.019385211169719696
1088,"March 25, 2018",Universe Survival Saga,1.0,-0.019084462895989418
1904,Philip Parris Lynott,Raul Malo,0.0,-0.017834816128015518
1292,main antagonist of the story,brain,2.0,-0.017392463982105255
3187,up to 16Â megapixels,three,0.0,-0.017340512946248055
1101,"""Highway of Tears""","Oh Captain, My Captain",0.0,-0.01702466979622841
2237,Nikki Haley,u.s. president,0.0,-0.016262326389551163
2757,TGRI,Siliceous ooze,0.0,-0.016085969284176826
691,Miguel Hidalgo y Costilla,Wat Tyler,0.0,-0.016000056639313698
1834,Vince Gill,Mormon Tabernacle Choir,0.0,-0.015273649245500565
3514,"""Coda""",18 Miles Out,0.0,-0.015256674960255623
1229,"Ramstein AB, in Germany","Fort Bragg, North Carolina",2.0,-0.01429464016109705
3527,Reeve Jefferson Carney,max martin,0.0,-0.01391035970300436
3543,Talia Shire,brooklyn decker,0.0,-0.01390941720455885
1954,Lazarus Muoka,Daniel Wilson,0.0,-0.013715175911784172
336,Frank Sinatra,the Kringle family,0.0,-0.01332006137818098
1226,"Ramstein AB, in Germany",Fort Lewis,0.0,-0.012367606163024902
926,the current domestic posting rate,h\u00c9ireann,0.0,-0.012294275686144829
1001,"""The Two Students""",ultimate ninja storm 2,0.0,-0.01138628926128149
1018,70-85 million people,419400,0.0,-0.011335523799061775
2175,Albuquerque,"Saga Prefecture, Japan",0.0,-0.010510889813303947
935,Archie Griffin,doak walker,0.0,-0.00982515886425972
2449,Jason Bateman,James Vincent McNichol III,0.0,-0.009771736338734627
3084,obsessive–compulsive disorder,amnesia,0.0,-0.009093592874705791
1219,using rotating calipers,the smallest such distance,0.0,-0.008904039859771729
1220,using rotating calipers,2:3,0.0,-0.00861506350338459
2902,Ryan Tedder,america the beautiful,0.0,-0.008292729035019875
3449,Óscar Arnulfo Romero y Galdámez,"March 24, 1980",0.0,-0.008092112839221954
1232,Taraji P. Henson,Jane Lynch,0.0,-0.00802728720009327
1128,3,fifty-six,0.0,-0.007784506306052208
815,Bovine spongiform encephalopathy,CSE,0.0,-0.00755581259727478
2467,Full Metal Jacket,Carolina,0.0,-0.007237577810883522
2230,Robert MacArthur Crawford,Jack London,0.0,-0.007091790437698364
1209,Molly Qerim Rose,peyton manning,0.0,-0.006589870899915695
1667,"$2,500",university scholarships,0.0,-0.0060283164493739605
1914,Cage the Elephant,Matt Shultz,0.0,-0.0058820853009819984
793,Brian Gerald Snitker,Alex Anthopoulos,0.0,-0.004990619607269764
2258,mutations in the LRP2 gene,Russian,0.0,-0.004576941020786762
1812,Six Feet Under,sweet fanny adams,0.0,-0.0045526959002017975
142,5th century,132 bce,0.0,-0.004406064748764038
1811,Six Feet Under,High Voltage,0.0,-0.004243641160428524
1244,a typewriter ribbon,Deep Blue Something,0.0,-0.004200093448162079
1533,Larry Smith,Bridgette Doremus,0.0,-0.00416531041264534
3122,the U.S. Senate,the Greensboro Grasshoppers,0.0,-0.003561675548553467
3144,"Jackson ""Jack"" Maine",Bradley Cooper,1.0,-0.0023420415818691254
1049,The Fury in the Jury,during the second series,0.0,-0.001677027903497219
433,The Monuments Men,Rescuing Da Vinci,0.0,-0.00022998545318841934
3478,Heart shaped peepal leaves,europe,0.0,0.00029631657525897026
2067,George and Ira Gershwin,Charlie Puth,0.0,0.0006817430257797241
542,EMI Studios,october 1963,1.0,0.001018064795061946
2004,Alison Pill,uma thurman,0.0,0.001932729035615921
1939,NC State,the Texas Longhorns,1.0,0.002167072147130966
564,"22,970",five,0.0,0.0022571049630641937
2995,54,Michael Jordan,0.0,0.002894315868616104
2668,Sugar maple,Rockefeller Center,0.0,0.0036006011068820953
800,sign language,Muteness or mutism,2.0,0.0036275130696594715
1059,the British,incursion by russian fur traders,1.0,0.0052184052765369415
2815,Has a material bilateral mistake,counteroffer,0.0,0.005277521908283234
1335,None,hk $ 34. 50 per hour,0.0,0.0054603805765509605
998,"""The Two Students""",478,0.0,0.005482940003275871
1293,main antagonist of the story,a disembodied brain,2.0,0.006271008402109146
976,"Ashland, Virginia","covent garden fruit, vegetable and flower market",0.0,0.00634877011179924
1648,Unhappily Ever After,Hit the Road Jack,0.0,0.006643634755164385
2452,Jason Bateman,victor french,0.0,0.0071446895599365234
3453,1965,the fourth season,0.0,0.007653318345546722
225,Nyle DiMarco,shannon elizabeth,0.0,0.008148549124598503
2822,Harriet Ann Jacobs,addy,0.0,0.008921194821596146
3171,April,dr. meredith grey,0.0,0.009050644002854824
2903,Ryan Tedder,Pink,0.0,0.009105730801820755
1810,Six Feet Under,rocker,0.0,0.009761113673448563
1797,of Precambrian,some 1.85 billion years ago,1.0,0.009785261005163193
914,Nicole Scherzinger,little mix,0.0,0.009966081939637661
1561,Andrée Bernard,tamzin outhwaite,0.0,0.011032333597540855
1481,Cassie Jo Stoddart,skylar annette neese,0.0,0.011062553152441978
2260,mutations in the LRP2 gene,hair growth on the forehead,1.0,0.011655480600893497
744,southern and east coasts,Great Britain,2.0,0.011812466196715832
1806,ancient Greek and Roman theatre,joseph grimaldi,0.0,0.012430045753717422
1863,2256–2257,roughly a decade before,0.0,0.012499095872044563
1790,38 Special,Yardbirds,0.0,0.013155674561858177
1136,While in the Dark Castle,the fourth season,1.0,0.01317173708230257
3078,McLean,Julia Ward Howe,0.0,0.014008214697241783
114,No taxation without representation,Battles of Lexington and Concord,0.0,0.014587627723813057
741,southern and east coasts,around the year 410,0.0,0.014953356236219406
828,in regions of new growth,nervous system,0.0,0.015033161267638206
936,Archie Griffin,cam newton,0.0,0.015463748946785927
1649,Unhappily Ever After,Ray Charles,0.0,0.016146190464496613
1831,Captain George Thatcher Balch,Francis Julius Bellamy,2.0,0.016570013016462326
1792,38 Special,Max Carl Gronenthal,2.0,0.016836408525705338
1865,2256–2257,orbit around Saturn's moon Iapetus,0.0,0.01698325388133526
1188,Virginia Bruce,Cole Porter,0.0,0.017422612756490707
1176,a Coven of Salem witches,2013,0.0,0.017614897340536118
566,"22,970",63467,0.0,0.017863884568214417
2515,Glenn Close,Meryl Streep,1.0,0.017924614250659943
1584,O(n),24 hours or less,0.0,0.01806459203362465
3331,volcanic,a normally inaccessible mini-game,0.0,0.01845599338412285
2588,F. Scott Fitzgerald,African and European music,0.0,0.018804680556058884
1825,"May 17, 2015",The Funny Things You Do,0.0,0.01887110248208046
1095,the father of the radio,Starship,0.0,0.019484417513012886
112,No taxation without representation,olive branch petition,0.0,0.01989184133708477
2431,20–40 million,705,0.0,0.020161904394626617
3181,Christopher Meloni,fred willard,0.0,0.02028518170118332
129,Amos 'n Andy,Generations,0.0,0.02030438557267189
2016,Pat Upton,Spiral Starecase,0.0,0.02051890641450882
2150,"""Somber News""",Part II,0.0,0.020686892792582512
2225,Robert MacArthur Crawford,travis nichols,0.0,0.021308302879333496
997,"""The Two Students""",372,0.0,0.02159333974123001
2936,"January 5, 2019","October 22, 2016",1.0,0.021607952192425728
3482,Heart shaped peepal leaves,indus valley civilization,1.0,0.02194627933204174
1560,Andrée Bernard,Vas Blackwood,0.0,0.02236679010093212
3340,Mike Dunleavy,Bill Walker,1.0,0.02295500785112381
1224,"Ramstein AB, in Germany",washington,0.0,0.023278800770640373
2905,Miranda Richardson,morgan le fay,0.0,0.023672539740800858
2292,"39,250",17069592,0.0,0.024335967376828194
1002,"""The Two Students""",8,0.0,0.02437445893883705
2269,"""support our troops""",Epilepsy awareness,0.0,0.024631934240460396
3335,10 lords a-leaping,Partridge in a pear tree,1.0,0.025315189734101295
1915,Perdita Weeks,jay hernandez,0.0,0.025754790753126144
3483,Bring It On,2000 film,0.0,0.025788819417357445
3481,Heart shaped peepal leaves,the 1250s,0.0,0.02599494531750679
2270,"""support our troops""",thirteen British colonies,0.0,0.02607729099690914
1279,50 First Dates,Bonnie and Clyde,0.0,0.02656964212656021
713,"""Counterfeit""",Mikasa,0.0,0.027445076033473015
1948,"Sail Rock, Maine",West Quoddy Head Light,0.0,0.02758299931883812
221,a gender-neutral honorific,freedom or liberty,0.0,0.027873285114765167
1127,3,50 ft,0.0,0.02808377891778946
1094,the father of the radio,bologna,0.0,0.028162751346826553
3520,"7,236","between 4,000 and 5,000 m",1.0,0.028308596462011337
238,Bachman–Turner Overdrive,Lisa Marie Presley,0.0,0.028421903029084206
1134,While in the Dark Castle,firebird,0.0,0.028584426268935204
2817,Has a material bilateral mistake,Algol68,0.0,0.028752826154232025
2400,25,"\""The Last Day\""",0.0,0.028911568224430084
1545,John Rzeznik,Carlotta Campion,0.0,0.029180362820625305
1832,Captain George Thatcher Balch,Francis Bellamy,2.0,0.029533501714468002
1453,Klondike Kat,defeating,0.0,0.029786907136440277
1970,up to 25 players,11,0.0,0.030229676514863968
403,several victims,Lizzie,0.0,0.03054003417491913
262,55 calories,13961316,0.0,0.030578656122088432
570,Roger Labon Jackson,Stu Macher,0.0,0.030906621366739273
1689,10,14\u201319 named storms,0.0,0.03112771362066269
2991,Ogor Okuweh,Nancy Pelosi,0.0,0.0319749191403389
2650,Health information technology,BLS,0.0,0.03203457221388817
2012,second century AD,"December 4, 1967",0.0,0.032298337668180466
209,1664,the East Indies,0.0,0.03251056373119354
2555,Ken Block,cathy lewis,0.0,0.032574478536844254
2754,TGRI,the fictional superhero team,0.0,0.03278442844748497
3587,Stuart Townend,carl boberg,0.0,0.033419057726860046
1743,Buckhead area of Atlanta,"Palos Verdes, California",0.0,0.03383464366197586
1662,Cole Porter,Gerald Fried,0.0,0.034011390060186386
2047,more than two hundred,three,0.0,0.034098803997039795
1843,"Central Java, Indonesia","Cholula, Puebla, Mexico",0.0,0.03444638103246689
900,Raul Bova,Francis,0.0,0.03447215259075165
1289,main antagonist of the story,A Wrinkle in Time,0.0,0.03460490703582764
1724,Artie,Jesse St. James,0.0,0.03487090393900871
2961,quantitative research methods,illiteracy,1.0,0.03491472452878952
1288,main antagonist of the story,tesseract,0.0,0.03588585555553436
1753,Norma Koch,best costume design,0.0,0.03646513819694519
896,Raul Bova,dustin hoffman,0.0,0.036947645246982574
2716,50 to 100Â million,two,0.0,0.03708864748477936
2554,Ken Block,Cathy Connor,0.0,0.03709482029080391
3485,Blake Shelton,vanilla ice,0.0,0.03717302903532982
3255,43,over 1000,0.0,0.037201814353466034
804,"15,589 sq mi",1.2,0.0,0.037243835628032684
3553,Priyanka Chopra,selena gomez,0.0,0.03755287081003189
2698,McDonald v. Smith,Petition Clause,0.0,0.03770528733730316
1685,Worcester Wreath Company,German Lutherans,0.0,0.037924498319625854
1003,"""The Two Students""",377,0.0,0.038386471569538116
1815,Six Feet Under,Shoot to Thrill,0.0,0.038481250405311584
690,Miguel Hidalgo y Costilla,andrew mcnair,0.0,0.0388106144964695
2220,1100ml,Two,0.0,0.038922861218452454
1291,main antagonist of the story,an evil disembodied brain,2.0,0.03905336931347847
2736,spatial resolution,Gaussian blur,0.0,0.03907891362905502
548,size,antibiotic resistance,0.0,0.03908833488821983
3299,Vanessa Hudgens,adrienne monique jordan,1.0,0.039538949728012085
1958,at all stages of pregnancy,24 weeks,0.0,0.03992154449224472
862,the Negro Act of 1740,executed,1.0,0.04030414670705795
550,size,amino acid sequences,0.0,0.04042778164148331
2251,"near Tully, Queensland",Kruger National Park,0.0,0.04073662683367729
1651,Unhappily Ever After,rise up,0.0,0.0410543717443943
2346,The discovery of hyperbolic geometry,Two,0.0,0.041112158447504044
2040,Phillip Danault,bob gainey,0.0,0.041234321892261505
126,Lucas Jade Zumann,James,0.0,0.04126181825995445
2816,Has a material bilateral mistake,comma-shaped,0.0,0.041278667747974396
2022,Nick Sager,humphrey bogart,0.0,0.04144071787595749
2405,Royal Automobile Club,retriever activities center,0.0,0.04154856130480766
3069,The Living Daylights,Dr. No,0.0,0.04187745228409767
1959,at all stages of pregnancy,20 weeks,0.0,0.04188207536935806
1577,16 March 2019,Old Trafford,0.0,0.04190545156598091
3358,General Sweet Mayhem,Rosa Diaz,0.0,0.04230262339115143
2678,John Langstaff,The Exciters,0.0,0.04287691041827202
3109,Lucas Bersamin,Teresita Leonardo-de Castro,1.0,0.04311692714691162
1813,Six Feet Under,TNT,0.0,0.04319315776228905
2804,Sodium acetate,Chronic obstructive pulmonary disease,0.0,0.04332181066274643
2425,in the season finale,The Hybrid,0.0,0.04341888800263405
2357,stone tools,CGI,0.0,0.04393025487661362
399,Nate Corddry,kevin pollak,0.0,0.04413075000047684
3585,622 AD/CE,the Hijra,0.0,0.04413962364196777
1364,E. Hamilton Lee,CBS,0.0,0.04421749338507652
2837,Portuguese explorer Diogo Cão,Henry Morton Stanley,0.0,0.04427330940961838
1664,Cole Porter,Fiona Shaw,0.0,0.04456189647316933
2556,Ken Block,Leslie Wilson,0.0,0.044808823615312576
513,All 14 districts,south Indian state,1.0,0.04518631845712662
2345,The discovery of hyperbolic geometry,three,0.0,0.04550367593765259
933,Georgia May Foote,Julie Foy,0.0,0.045963943004608154
703,Paul O'Keefe,Charles Herbert,0.0,0.04610089585185051
3455,Hayley McFarland,Joey King,0.0,0.04612879827618599
3426,control access to a resource,VISA,0.0,0.04619687423110008
3248,Harry Redknapp,"Georgia \""Toff\"" Toffolo",0.0,0.04622670263051987
335,Frank Sinatra,bing crosby,0.0,0.046415045857429504
2182,actual testing of each processor,hertz,0.0,0.04685879871249199
2305,Kristian Kordula,nicholas james,0.0,0.04740917682647705
3510,lack of protein and calories,pulmonary hypoplasia,0.0,0.04765401780605316
2617,Eric Swaffer,Jack Lowden,0.0,0.04767154902219772
3085,obsessive–compulsive disorder,bulimia,0.0,0.04804862290620804
801,"15,589 sq mi",30 ft,0.0,0.04844002425670624
1260,Racial tensions,worldwide economic recession,1.0,0.04860924184322357
1512,none,2084 men,0.0,0.04899238422513008
1106,American Express Company,Houghton Mifflin,0.0,0.049036264419555664
3515,"""Coda""","April 15, 2018",0.0,0.04904282093048096
817,Fast & Furious 6,the last one '',0.0,0.04956761747598648
1442,Richardson,rita skeeter,0.0,0.049847185611724854
1686,Worcester Wreath Company,Illinois,0.0,0.04986204206943512
1920,Morarji Desai,Sardar Gian Singh Rarewala,0.0,0.04994294047355652
687,Miguel Hidalgo y Costilla,John Brown Bell,0.0,0.05008638650178909
2888,Clayton Kershaw,alex rodriguez,0.0,0.05030279979109764
1397,Solomon,Arthur S. Maxwell,0.0,0.050393637269735336
2660,135 minutes,four - day frame,0.0,0.050407372415065765
1365,E. Hamilton Lee,Oscar,0.0,0.05045102536678314
2430,20–40 million,543,0.0,0.050484806299209595
2514,Glenn Close,Julie Andrews,1.0,0.05072002857923508
1086,"March 25, 2018",Piccolo Jr. Saga,0.0,0.05083572492003441
127,Lucas Jade Zumann,Miranda de Pencier,0.0,0.051385097205638885
395,Team LeBron,Stephen Curry,0.0,0.05141473561525345
3644,Famine,Black Horse and the Cherry Tree,0.0,0.05154664069414139
1653,49–47 BCE,ptolemaic period,0.0,0.052612751722335815
1415,Stéphanie Szostak,lizzy greene,0.0,0.052723441272974014
3235,naturally replenished,The Piney Woods,0.0,0.05279262363910675
1380,a contest,Red Rider Leg Lamp Company,0.0,0.05290282145142555
565,"22,970",one,0.0,0.05306606367230415
808,"15,589 sq mi",0 to 6 feet,0.0,0.05310158431529999
1925,Morarji Desai,Robert Walpole,0.0,0.053825728595256805
3501,1981 to 1996,no precise dates,0.0,0.05395212769508362
547,size,horizontal gene transfer,0.0,0.05408864468336105
3079,McLean,president woodrow wilson,0.0,0.054392509162425995
1259,Racial tensions,1929,0.0,0.05441015213727951
1807,ancient Greek and Roman theatre,China,0.0,0.05449209362268448
2715,Christopher Columbus,British aviators Alcock and Brown,0.0,0.05450580269098282
3117,Sandra Oh,Matthew Broderick,0.0,0.054774701595306396
827,in regions of new growth,parenchyma,0.0,0.055001430213451385
3393,TLS 1.3,macOS,0.0,0.05500709265470505
738,a T-bone,Steak,0.0,0.05526937544345856
424,1 December 2018,TBA,0.0,0.05555008351802826
2118,"Gloomhaven, Cephalofair Games",RDC,0.0,0.05646421015262604
2901,Ryan Tedder,Angelica Hale,0.0,0.05656689405441284
1382,a contest,Red Ryder gun,0.0,0.05721971392631531
886,James Reynolds,Kyler Mackenzie Pettis,0.0,0.05744887515902519
2384,74,"approximately 36,900 outlets",0.0,0.05765146762132645
23,53-member main roster,11,0.0,0.058331448584795
859,the Negro Act of 1740,killed,0.0,0.05842069163918495
172,Toby Damon,Casey Hooper,0.0,0.05933267995715141
292,a state run mental hospital,"Trenton, New Jersey",0.0,0.059422969818115234
1899,Terry Serpico,mariana klaveno,1.0,0.05981307476758957
1510,none,13 killed,0.0,0.05996952950954437
971,Old John Feather Merchant,"July 28, 1945",2.0,0.06004372239112854
2528,Registered persons,Dionysius Exiguus,0.0,0.060270968824625015
275,"2,300,000,000","8, 615, 245",0.0,0.06066179275512695
3549,Priyanka Chopra,Vin Diesel,0.0,0.06100314483046532
278,"2,300,000,000",16643120,0.0,0.06120097264647484
2302,Janet-Laine Green,alyssa milano,0.0,0.061434101313352585
2620,3m-5m,two,0.0,0.06158486008644104
2989,Conrad,Sally,0.0,0.06160196661949158
1993,The Cliffs of Moher,united kingdom,0.0,0.061728667467832565
3139,Babylonians,medieval era,1.0,0.061832185834646225
1392,1:43 scale,C,0.0,0.061865076422691345
2288,"39,250",63,0.0,0.06208537518978119
1178,Michael Wincott,jim caviezel,0.0,0.06263577193021774
2935,"January 5, 2019","December 30, 2017",1.0,0.06271988898515701
38,not more than four steps,80 minutes,0.0,0.06275809556245804
1045,a jackal,katherine,1.0,0.0629318356513977
3484,Bring It On,2000 film of the same name,2.0,0.06299062073230743
1212,Molly Qerim Rose,field yates,1.0,0.06304089725017548
306,the company Faro Automated Solutions,guerrilla games,0.0,0.06317153573036194
3645,Famine,the Book of Revelation,0.0,0.06345892697572708
1636,Canute the Great,Egbert of Wessex,0.0,0.06347086280584335
3344,Catholic repression,eileen collins,0.0,0.06363005936145782
176,"Five Keys, New Mexico",the United Kingdom,0.0,0.06380191445350647
1294,Prime Minister H. H. Asquith,clement attlee,0.0,0.06436601281166077
1650,Unhappily Ever After,The Killing Stones,0.0,0.06442425400018692
3652,Rome,gaul,1.0,0.06490635126829147
1298,Prime Minister H. H. Asquith,Georges Benjamin Clemenceau,1.0,0.06502982974052429
541,EMI Studios,the Ed Sullivan Show,0.0,0.06525168567895889
1744,Buckhead area of Atlanta,The University of Manchester,0.0,0.0653391033411026
3348,Opposite,phyllotaxis,0.0,0.0653730258345604
218,Martha Graham,Dai Ailian,1.0,0.06542232632637024
2537,James Seay,Edmund Gwenn,0.0,0.06545263528823853
1957,Andy Serkis,woody harrelson,0.0,0.06560438871383667
1084,Garfield Sobers,chris gayle,0.0,0.06563335657119751
16,Hawkeye,Constantine Drakon,0.0,0.06579627096652985
1994,The Cliffs of Moher,England,0.0,0.06580901145935059
1654,49–47 BCE,near the end of the Ptolemaic period,0.0,0.06580950319766998
2290,"39,250",1063,0.0,0.06586356461048126
1478,40 million people,Utah,0.0,0.06628994643688202
1655,49–47 BCE,1509,0.0,0.0664408728480339
3339,Mike Dunleavy,Sarah Palin,1.0,0.06653925031423569
2333,Shantanu Maheshwari,Sunrisers Hyderabad,0.0,0.06664758920669556
20,53-member main roster,eleven,0.0,0.06671014428138733
3405,Vive la révolution,13 vendemiaire,0.0,0.06672903895378113
1708,Jessica,Nurse Ratched,0.0,0.06687008589506149
1956,Lazarus Muoka,Lord Macaulay,0.0,0.06694097816944122
91,The Pacific standard time zone,2:00 a.m.,1.0,0.0672226995229721
2944,A female voice,cameron crowe,0.0,0.06759056448936462
1414,Stéphanie Szostak,Allison Miller,0.0,0.06759887933731079
2104,Recipe No. 21,world-class,0.0,0.06820555031299591
1947,"Sail Rock, Maine",point udall,0.0,0.06843859702348709
689,Miguel Hidalgo y Costilla,John Brown,0.0,0.06849794834852219
1132,3,50 feet,0.0,0.06851766258478165
1388,Annie,Ross Copperman,0.0,0.06872713565826416
2221,Michael Faraday,Guillaume Duchenne,0.0,0.06893345713615417
2268,"""support our troops""",wisdom and intuition,0.0,0.06906954199075699
1449,Max Lloyd-Jones,Erin Krakow,0.0,0.06923185288906097
2283,a brolly,a defense against rain,0.0,0.06959394365549088
2980,professional insolvency and restructuring practitioners,Positioning,0.0,0.06980174779891968
714,"""Counterfeit""",the 50th issue of 2016,0.0,0.0698801726102829
938,Archie Griffin,Ohio State,1.0,0.06991943717002869
3597,Esther 8:9,psalm 119,0.0,0.07001699507236481
1166,155,eighty eight,0.0,0.07012008130550385
2945,A female voice,Keith Whitley,0.0,0.07019113749265671
2759,TGRI,Zetox,0.0,0.07036277651786804
809,"15,589 sq mi",7 \u2013 9 feet,1.0,0.0705355554819107
825,on the reverse,the Denver Mint,0.0,0.07072672247886658
802,"15,589 sq mi",100 m,0.0,0.07089195400476456
2579,Dana Slosar,Sheena Liam,0.0,0.07093916088342667
593,French Algeria,cyprus,0.0,0.07123573869466782
1420,George Ezra,The Sundays,0.0,0.07157333195209503
1333,None,$7.25,0.0,0.07169051468372345
208,1664,chandernagore,0.0,0.07195666432380676
627,Bemis Heights,"south of saratoga, new york",2.0,0.0719795823097229
2438,Oscar Hertwig,Robert Brown,0.0,0.07207232713699341
2946,A female voice,Flora Purim,0.0,0.07261446118354797
5,Alexandria Ocasio-Cortez,29,0.0,0.07290812581777573
3604,Esther 8:9,Psalm 118,0.0,0.07293379306793213
1542,constantly,fight - or - flight response,2.0,0.07320158183574677
2324,1996,15 B.C.,0.0,0.07324375957250595
2791,Heaven,a world-famous tourist site,0.0,0.07336128503084183
2372,Warren G. Harding,NASA,0.0,0.07340317219495773
1606,Texas,alabama crimson tide,0.0,0.07357791066169739
128,Amos 'n Andy,good times,0.0,0.0737345889210701
1862,2256–2257,alpha centauri,0.0,0.07407553493976593
696,Pat Sajak,Vanna White,2.0,0.07426756620407104
3123,the U.S. Senate,President Madison,0.0,0.07428084313869476
51,Daniel Mar,Hazell Mckenzie,0.0,0.07453643530607224
1706,Jessica,trevante rhodes,0.0,0.07462173700332642
2119,"Gloomhaven, Cephalofair Games",Super Smash Bros Ultimate,0.0,0.07490009814500809
1201,Shankar Dayal Sharma,venkaiah naidu,0.0,0.07511365413665771
2050,Nick Palatas,Matthew Lyn Lillard,0.0,0.07520346343517303
2779,the West Point cadet officer,airborne (parachute) organizations,0.0,0.07522889971733093
869,Willie,Stephen Mangan,0.0,0.07571340352296829
