answer1,answer2,label,sas,f1,berttrained
counties,five most populous in the state,0.0,0.15384779870510099,0.0,0.24590809643268585
15,Riverside,0.0,0.00988613534718752,0.0,0.30284249782562256
counties,Riverside,0.0,0.010821540839970112,0.0,0.30633652210235596
music,major record companies,0.0,0.16476929187774658,0.0,0.23031172156333923
southern,the desert,0.0,0.00949045456945896,0.0,0.41034218668937683
northern,the Tehachapi Mountains,0.0,0.010392937809228895,0.0,0.11280003190040588
the Missouri Compromise,the Compromise of 1850,1.0,0.31300142407417303,0.4,0.397628515958786
Imperial,1999,0.0,0.010109045542776585,0.0,0.26630836725234985
regional tourism groups,AAA Auto Clubs,0.0,0.011484160088002682,0.0,0.1900399625301361
Inland Empire,Temecula and Murrieta,0.0,0.010741879232227802,0.0,0.11783041059970856
varied,natural ecosystem,0.0,0.010545660741627216,0.0,0.13788346946239471
1.3 million,San Diego,0.0,0.009467380121350287,0.0,0.042798418551683426
Los Angeles Area,major business,0.0,0.014632347039878368,0.0,0.2257142961025238
Riverside,Downtown Riverside,1.0,0.7238016724586487,0.6666666666666666,0.7199459075927734
Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.009409531019628048,0.0,0.11032561957836151
Port of San Diego,Port of Long Beach,0.0,0.12428981810808185,0.5,0.5136829018592834
NFL,Professional,0.0,0.010358151979744434,0.0,0.36484014987945557
Chivas USA,Chivas,2.0,0.8015461564064026,0.6666666666666666,0.7864734530448914
Sky plc,British Sky Broadcasting Group plc,2.0,0.8338932394981384,0.5714285714285715,0.7473926544189453
£1.3bn,£4.2bn,0.0,0.2725315093994141,0.0,0.401099294424057
Freeview,ITV Digital,0.0,0.2461662143468857,0.0,0.2700712978839874
September 2007,March 2008,0.0,0.1324147880077362,0.0,0.33211445808410645
monthly fee,SkyHD box,0.0,0.009174874052405356,0.0,0.06198675185441971
January 2010,February 2011,0.0,0.09776543825864792,0.0,0.7142060995101929
Sky+,PVR,0.0,0.009342786855995657,0.0,0.21435517072677612
BSkyB,British Sky Broadcasting,2.0,0.6502225399017334,0.0,0.6533949375152588
DVB-S2,DVB-compliant MPEG-2,0.0,0.6268500089645386,0.0,0.8225465416908264
Thomson,STB,0.0,0.010266251862049105,0.0,0.30973079800605774
free-to-view,free-to-air,1.0,0.8764256238937378,0.0,0.6389003396034241
Ku band,9.75/10.600 GHz,0.0,0.0660848319530487,0.0,0.10796581953763962
no,Third-party channels,0.0,0.02517624571919441,0.0,0.13546046614646912
Sky Active,Open,0.0,0.009738486260175705,0.0,0.23064522445201874
Video On Demand,(HDTV),0.0,0.21942828595638275,0.0,0.4858236014842987
25m,36% of households,0.0,0.017131159082055092,0.0,0.12413999438285828
36%,2.4m customers,0.0,0.017664087936282158,0.0,0.17403551936149597
Sky TV bills,claimants,0.0,0.009350513108074663,0.0,0.12036006897687912
a man's presence,mother is wrongly claiming to be living alone,0.0,0.0094489473849535,0.0,0.08039591461420059
Liberal Party,Liberals,1.0,0.8132712841033936,0.0,0.7203706502914429
National Party,Nationals,1.0,0.6359160542488098,0.0,0.6975023150444031
The Greens,Australian Greens,1.0,0.5844908356666565,0.6666666666666666,0.8354679942131042
Labor,Australian Labor Party,1.0,0.501820981502533,0.5,0.6721484065055847
"270,000","121,200",0.0,0.31083321571350103,0.0,0.2500142455101013
warmest regions,semi-deserts,0.0,0.010942058637738228,0.0,0.21273860335350037
2009,7 February 2009,1.0,0.3899961411952973,0.5,0.6304848790168762
major car brands,car,1.0,0.5543820261955261,0.5,0.511971652507782
October 2016,2013,0.0,0.012248975224792956,0.0,0.46477389335632324
government-owned,several private and public railway operators,0.0,0.026424458250403404,0.0,0.35159796476364136
sevenfold,"76,000 to 540,000",1.0,0.022717874497175217,0.0,0.22475022077560425
Premier,Premier of Victoria,1.0,0.3924857378005981,0.5,0.6177960634231567
$8.7 billion,24%,0.0,0.010955524630844593,0.0,0.12241973727941513
tourism,big,0.0,0.009291409514844421,0.0,0.1730497032403946
regional cities,Phillip Island,0.0,0.009529957547783852,0.0,-0.08964569866657257
the southern and central parts of France,about one-eighth,0.0,0.009415852837264538,0.0,0.04205592721700668
some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0,0.2676485180854797,0.0,0.03465240076184273
economic separation,worked as weavers,0.0,0.00930133927613497,0.0,0.06849008798599243
surnames,names,1.0,0.9460007548332214,0.0,0.7568178176879883
Prussia,Great Elector Frederick William,0.0,0.009791076183319092,0.0,0.20454244315624237
Parris Island,Southeastern U.S.,1.0,0.009016563184559344,0.0,0.09281321614980698
1562,1564,0.0,0.2653370201587677,0.0,0.7055822610855103
William the Silent,Pierre L'Oyseleur,0.0,0.009674984961748123,0.0,0.10989190638065338
Calvinist,Walloon,0.0,0.010466274805366993,0.0,0.3531021773815155
1530,1523,0.0,0.3366517126560211,0.0,0.6174501776695251
Corliss,patent valve,0.0,0.009757371619343758,0.0,-0.004901350941509008
increase in the land available for cultivation,farm tractors,0.0,0.16349239647388458,0.0,0.47929826378822327
steam turbines,internal combustion engines,0.0,0.4936853647232056,0.0,0.3855634927749634
Reciprocating piston,steam turbines,0.0,0.3015370070934296,0.0,0.3109084963798523
turbine,electric motors,0.0,0.2806403338909149,0.0,0.4720922112464905
water pump,vacuum,0.0,0.022120047360658646,0.0,0.2645050287246704
cotton spinning,operations requiring constant speed,0.0,0.012187357060611248,0.0,0.09898300468921661
Advanced Steam,cogeneration processes,0.0,0.009505320340394974,0.0,0.06455851346254349
pollution,Advanced Steam movement,0.0,0.009388664737343788,0.0,0.11096053570508957
injector,condensers,0.0,0.009679193608462807,0.0,0.21512790024280548
stoking,Mechanical stoker,1.0,0.6813884377479553,0.0,0.4249250888824463
electrical generator,a turbo generator set with propulsion provided by electric motors,2.0,0.6835110783576965,0.1818181818181818,0.5969419479370117
liquid,gaseous,0.0,0.08379160612821579,0.0,0.4667280614376068
oxides,oxide compounds,1.0,0.34539827704429626,0.0,0.8208008408546448
dioxygen,diatomic gas,1.0,0.4212187826633453,0.0,0.41301751136779785
high-altitude ozone layer,ozone,1.0,0.7394605278968811,0.5,0.6970816850662231
water,organic molecules,0.0,0.016828196123242378,0.0,0.14619894325733185
photosynthesis,living organisms,0.0,0.01413854956626892,0.0,0.44120079278945923
nitroaereus,spiritus nitroaereus,1.0,0.6936960220336914,0.6666666666666666,0.8421739339828491
Joseph Priestley,Priestley,2.0,0.8037286996841431,0.6666666666666666,0.8824477195739746
Philo of Byzantium,Philo,1.0,0.7371867895126343,0.5,0.6697149872779846
heat or a spark,oxygen,0.0,0.009039172902703285,0.0,0.06395168602466583
compounds of oxygen,"peroxides, chlorates, nitrates, perchlorates, and dichromates",1.0,0.06429977715015411,0.0,0.32866543531417847
storage vessels,fire,0.0,0.009633547626435757,0.0,0.19941343367099762
Earth's crustal rock,Earth's crust,2.0,0.8873999118804932,0.4,0.8457397222518921
Avogadro's law,the correct interpretation of water's composition,0.0,0.010053469799458979,0.0,0.03139737620949745
non-combustible,wood,0.0,0.09951411932706833,0.0,0.12094317376613617
Air,a substance like wood gains overall weight in burning,0.0,0.017316950485110283,0.0,0.11719812452793121
chemically,a covalent double bond,0.0,0.01730719767510891,0.0,0.08881708979606628
triplet oxygen,O,1.0,0.4389385879039765,0.0,0.21135610342025757
weight,that increase was the same as the weight of the air that rushed back in,0.0,0.1393280029296875,0.15384615384615385,0.2703576683998108
ozone,Trioxygen,2.0,0.010106779634952543,0.0,0.4322359561920166
UV,ultraviolet,2.0,0.7997602224349976,0.0,0.787711501121521
seawater,sea water,2.0,0.9694707989692688,0.0,0.8485067486763
twice,50% more,0.0,0.010016038082540035,0.0,0.1343451589345932
world's oceans,"in the Earth's biosphere, air, sea and land",0.0,0.2485572397708893,0.0,0.4254659414291382
compressing and cooling,cascade method,0.0,0.009120352566242218,0.0,0.259226530790329
climate,temperatures,0.0,0.5323547720909119,0.0,0.5964868068695068
oxygen-18,oxygen-16,0.0,0.4610132277011871,0.0,0.7567448616027832
lower global temperatures,lower temperatures,2.0,0.8943499326705933,0.8,0.8301363587379456
carbon cycle,plant health status,0.0,0.009336874820291996,0.0,0.10990351438522339
satellite platform,satellites,2.0,0.8135968446731567,0.0,0.706609845161438
Liquid oxygen,liquid oxygen,2.0,0.96857488155365,1.0,0.9645553231239319
magnetic field,magnetic,2.0,0.9037211537361144,0.6666666666666666,0.9189589619636536
dangerous by-products,the immune system,0.0,0.0377042256295681,0.0,0.026505015790462494
major method,increasingly,0.0,0.15864233672618866,0.0,0.24778272211551666
oxygen and hydrogen,Oxygen gas,1.0,0.6293727159500122,0.4,0.6676634550094604
Chemical,chemical oxygen generators or oxygen candles,1.0,0.4569354951381683,0.2857142857142857,0.31257855892181396
Hyperbaric (high-pressure) medicine,special oxygen chambers,1.0,0.2808237969875336,0.0,0.2897796034812927
Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0,0.008929037488996983,0.0,0.10498949140310287
oxygen supplementation,Oxygen therapy,2.0,0.7419541478157043,0.5,0.7373335957527161
organic compounds,solvents,0.0,0.14323025941848755,0.0,0.35005781054496765
Acute oxygen toxicity,seizures,0.0,0.009194127283990385,0.0,0.024354061111807823
mechanical ventilators,oxygen masks,0.0,0.008978009223937988,0.0,0.28276243805885315
first oil shock,shock,1.0,0.5019416809082031,0.5,0.440504252910614
members of the Organization of Arab Petroleum Exporting Countries,OAPEC,2.0,0.5841178894042969,0.0,0.3687122166156769
They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.,multilateral,0.0,0.010215744376182556,0.0,0.0731101930141449
After 1971,1973–1974,1.0,0.1902889460325241,0.0,0.47420552372932434
ten times more,a hundred,0.0,0.2245600521564484,0.0,0.2916520833969116
renewal of hostilities in the Arab–Israeli conflict,.,0.0,0.04665100574493408,0.0,0.045412175357341766
until their economic and political objectives were met,In response to American aid to Israel,0.0,0.00945531390607357,0.0,0.0927530899643898
American aid to Israel,Nixon requested Congress to appropriate $2.2 billion in emergency aid to Israel,1.0,0.2998681366443634,0.375,0.32231417298316956
shrinking Western demand,economies had been caught between higher oil prices and lower prices for their own export commodities,0.0,0.015990987420082092,0.0,0.053521908819675446
distribution and price disruptions,reduced productivity,0.0,0.008983544073998928,0.0,0.29245105385780334
Germany,Italy,0.0,0.019179487600922585,0.0,0.4305780827999115
encourage investment,"The system limited the price of ""old oil""",0.0,0.008993316441774368,0.0,0.04832619056105614
Price controls,promote oil exploration,0.0,0.009533897042274477,0.0,0.1766258180141449
"last week of February 1974,",20%,0.0,0.009116074070334436,0.0,-0.030785171315073967
British Prime Minister Edward Heath,British,1.0,0.3568600416183472,0.33333333333333337,0.30856284499168396
5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.009168868884444237,0.0,0.047643911093473434
USSR's invasion,Afghanistan,0.0,0.009258494712412356,0.0,0.13425827026367188
January 1979,1979,1.0,0.6274672150611877,0.6666666666666666,0.8784888982772827
Japanese imports,Japanese,1.0,0.5260684490203857,0.6666666666666666,0.6928592920303345
Japan,Japanese,1.0,0.9391255974769592,0.0,0.8862560987472534
A decade after the 1973,1981,1.0,0.11092477291822432,0.0,0.23254239559173584
power steering,air conditioning,0.0,0.0097689563408494,0.0,0.24380524456501007
Lexus,Acura,0.0,0.0161020215600729,0.0,0.1855381727218628
"Lincoln Continental,",Cadillac DeVille,0.0,0.0581548735499382,0.0,0.2955814003944397
Chevrolet Bel Air,lower price models,0.0,0.016515230759978294,0.0,0.05976923927664757
Treaties establishing the European Union,"primary law, secondary law and supplementary law",0.0,0.010639031417667866,0.0,0.10407418757677078
European Parliament and the Council of the European Union,the Treaties establishing the European Union,0.0,0.44386160373687744,0.3636363636363637,0.5838679671287537
international law,case law by the Court of Justice,0.0,0.2013816088438034,0.25,0.37813422083854675
Following the Nice Treaty,2004,0.0,0.00975535809993744,0.0,0.20712918043136597
the Commission,The European Commission,1.0,0.6671727895736694,0.6666666666666666,0.7820456027984619
Federica Mogherini,Jean-Claude Juncker,0.0,0.009792462922632694,0.0,0.13012051582336426
at least 55 per cent of the Council members (not votes) representing 65 per cent of the population of the EU,"74 per cent, or 260 of the 352 votes",0.0,0.252934604883194,0.30769230769230765,0.24298344552516937
a majority,a Commission proposal,0.0,0.02802504226565361,0.0,0.18742775917053223
qualified majority,a majority,2.0,0.8172842264175415,0.6666666666666666,0.827326238155365
"legislation can be blocked by a majority in Parliament, a minority in the Council, and a majority in the Commission",unanimity,0.0,0.14734728634357452,0.0,0.34510689973831177
"by assuming the task of interpreting the treaties, and accelerating economic and political integration",has the ability to expand and develop the law according to the principles it deems to be appropriate,0.0,0.10743775218725203,0.07407407407407407,0.18596677482128143
the Court of Justice,The Italian Constitutional Court,0.0,0.1691632866859436,0.3333333333333333,0.36453109979629517
article 30,TFEU article 30,1.0,0.6560264229774475,0.8,0.7712786197662354
Treaty provisions,they are ‘directly applicable in all Member States’,0.0,0.0750192254781723,0.0,0.21232348680496216
"a citizen or company can invoke a Directive, not just in a dispute with a public authority, but in a dispute with another citizen or company","a citizen may rely on the Directive in such an action (so called ""vertical"" direct effect)",1.0,0.7245258688926697,0.17647058823529413,0.5736875534057617
in Article 5,the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued,0.0,0.4214971363544464,0.0,0.15159015357494354
member states,the European Convention on Human Rights,0.0,0.09044867753982544,0.0,0.19755889475345612
the Charter of Fundamental Rights of the European Union,the Charter of Fundamental Rights of the European Union of 7,2.0,0.7296578884124756,0.8750000000000001,0.8491047620773315
to enable people to pursue their life goals in any country through free movement,Since its foundation,0.0,0.015337000600993632,0.0,0.059840112924575806
Jean-Marc Bosman,the Belgian Football Association v Bosman,1.0,0.27943241596221924,0.2857142857142857,0.5966943502426147
if they were non-discriminatory,"participate in economic life ""on a stable and continuous basis""",0.0,0.014034862630069256,0.0,0.09120006114244461
shipping toxic waste,toxic waste,1.0,0.7418552041053772,0.8,0.8102618455886841
the Daily Mail,Daily Mail,2.0,0.9582874774932858,1.0,0.9686120748519897
"creditor protection, labour rights to participate in work, or the public interest in collecting taxes",Denmark's minimum capital law,0.0,0.009731241501867771,0.0,0.1265077143907547
moist broadleaf forest,tropical,1.0,0.009919297881424429,0.0,0.23802006244659424
Cretaceous–Paleogene extinction event,dinosaurs,0.0,0.011305084452033043,0.0,0.33118098974227905
the Atlantic,Atlantic,2.0,0.9556101560592652,1.0,0.9600317478179932
Amazonas Basin,Andes Mountains,0.0,0.010183759965002537,0.0,0.23277492821216583
Purus Arch,along the middle,0.0,0.009699669666588306,0.0,0.07560351490974426
explanations are reasonably well supported,by the available data,0.0,0.2674891948699951,0.0,0.1879199743270874
the Last Glacial Maximum (LGM) and subsequent deglaciation,rainfall in the basin during the LGM was lower than for the present,0.0,0.2397744208574295,0.1176470588235294,0.5084527730941772
data sampling is biased away from the center of the Amazon basin,practical limitations of working in the rainforest,1.0,0.05384446308016777,0.125,0.2502041459083557
one in five,"2,200",0.0,0.010801021009683607,0.0,-0.06192697584629059
"40,000",tens of thousands,1.0,0.5549298524856567,0.0,0.34669893980026245
One in five,"1,294",0.0,0.05462580174207688,0.0,0.11061891168355942
62 acres,quarter square,1.0,0.020132875069975853,0.0,0.08114883303642273
10% of the carbon stores,10%,1.0,0.4581508338451386,0.4,0.687847375869751
to help strengthen their territorial claims,map out their ancestral lands,0.0,0.31557655334472656,0.1818181818181818,0.4101540744304657
phylum of animals that live in marine waters,comb jellies,1.0,0.009153221733868122,0.0,0.19899846613407135
‘combs’ – groups of cilia,cilia,1.0,0.42363008856773376,0.33333333333333337,0.5757176280021667
water flow through the body cavity,κτείς kteis 'comb' and φέρω pherō 'carry',0.0,0.010092091746628284,0.0,0.13816216588020325
colloblasts,retractable tentacles fringed with tentilla,2.0,0.09139975905418396,0.0,0.21599487960338593
sequential,simultaneous,0.0,0.13956846296787262,0.0,0.6757144331932068
planktonic plants,a vital part of marine food chains,1.0,0.15225061774253845,0.0,0.09896156191825867
66 million years ago,515 million years ago,0.0,0.391943484544754,0.75,0.21935902535915375
515 million years,66 million years ago,0.0,0.4053872227668762,0.5714285714285715,0.14996223151683807
515 million years,66 million years,0.0,0.4242528080940247,0.6666666666666666,0.15530262887477875
cnidarians,Ctenophores,1.0,0.12954948842525482,0.0,0.4727779030799866
diploblastic,ctenophores,0.0,0.009440007619559765,0.0,0.23812413215637207
"sponges and cnidarians, ctenophores",cnidarians and ctenophores,1.0,0.6923535466194153,0.8571428571428571,0.8982676267623901
comb-bearing,"""comb"" and the Greek suffix -φορος meaning ""carrying""",2.0,0.4521183669567108,0.0,0.446929007768631
"a mouth that can usually be closed by muscles; a pharynx (""throat""); a wider area in the center that acts as a stomach; and a system of internal canals.",the gastrodermis,1.0,0.3862836360931397,0.0,0.2974250614643097
osmotic pressure,It is uncertain,0.0,0.009530539624392986,0.0,0.06566018611192703
pump water out of the mesoglea,pump,1.0,0.6470732092857361,0.33333333333333337,0.2606172561645508
more or less rounded,egg-shaped,2.0,0.13636460900306702,0.0,0.3052596151828766
"""zip"" the mouth shut",streamlines the front of the animal,0.0,0.010237163864076138,0.0,0.24035856127738953
large pharynx,large cilia,0.0,0.14357495307922366,0.5,0.49470290541648865
Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,0.00927091669291258,0.0,0.16575463116168976
cling to and creep on surfaces,"as a muscular ""foot""",0.0,0.009265107102692129,0.0,0.09918895363807678
Vendobionta,ctenophores,0.0,0.0095108263194561,0.0,0.35851579904556274
all other animals,Bilateria,0.0,0.030310150235891342,0.0,0.18291127681732178
The isolated subdivision,Dogg Pound,0.0,0.009503103792667387,0.0,0.08647775650024414
1885,July 1982 to June 1983,0.0,0.011115276254713535,0.0,0.23747247457504272
"8,525","62,528",0.0,0.2479411214590073,0.0,0.5076562762260437
99,State Route 99,1.0,0.6338543891906738,0.5,0.7655718326568604
Davies is credited with coining the modern name packet switching and inspiring numerous packet switching networks in Europe,Donald Davies,1.0,0.6706869602203369,0.10526315789473684,0.39562663435935974
circuit switching is characterized by a fee per unit of connection time,a method which pre-allocates dedicated network bandwidth specifically for each communication session,0.0,0.2303748428821564,0.0,0.4573696553707123
survivable communications networks,the concept of distributed adaptive message block switching,0.0,0.21813592314720154,0.0,0.1763015240430832
"use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks",ideas,0.0,0.15386943519115448,0.0,0.034836798906326294
delivery of these messages by store and forward switching,decentralized network with multiple paths between any two points,0.0,0.017325090244412422,0.0,0.29397475719451904
"a general architecture for a large-scale, distributed, survivable communications network",briefing B-265,0.0,0.014800633303821087,0.0,0.05392061918973923
"use of a decentralized network with multiple paths between any two points, dividing user messages into message blocks, later called packets","large-scale, distributed, survivable communications network",1.0,0.6804414391517639,0.08000000000000003,0.4467010200023651
by store and forward switching,packets,0.0,0.00946310069411993,0.0,0.10143240541219711
"connection-oriented operations. But X.25 does it at the network layer of the OSI Model. Frame Relay does it at level two, the data link layer",a handshake between the communicating parties before any user packets are transmitted,0.0,0.2567996382713318,0.0,0.21223214268684387
"Frame Relay was used to interconnect LANs across wide area networks. However, X.25 and well as Frame Relay have been supplanted",provide connection-oriented operations,0.0,0.3761314153671265,0.0,0.2494235634803772
User Datagram Protocol,the datagram model,0.0,0.4711888432502746,0.4,0.5966175198554993
as a means to help the state's educational and economic development,to explore computer networking between three of Michigan's public universities,1.0,0.07173631340265274,0.10526315789473684,0.1765962690114975
an interactive host to host connection was made between the IBM mainframe computer systems at the University of Michigan in Ann Arbor and Wayne State,the CDC mainframe at Michigan State University in East Lansing,1.0,0.4040419459342957,0.3870967741935484,0.3968641757965088
"Ethernet attached hosts, and eventually TCP/IP and additional public universities in Michigan join the network",the network was enhanced,1.0,0.4195498824119568,0.1176470588235294,0.3056779205799103
host interface to X.25 and the terminal interface to X.29,ARPANET,0.0,0.06090740859508514,0.0,-0.05780205875635147
A user or host could call a host on a foreign network by including the DNIC of the remote network as part of the destination address,the interconnection of national X.25 networks,0.0,0.21757176518440247,0.08000000000000003,0.23476622998714447
use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion,Dutch PTT Telecom,0.0,0.01726909913122654,0.0,0.2063332498073578
The Computer Science Network,a computer network funded by the U.S. National Science Foundation (NSF),1.0,0.7199065685272217,0.5,0.5977860689163208
"role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet",not be directly connected to ARPANET,0.0,0.15389852225780487,0.07407407407407407,-0.08187185972929001
a partnership with Level 3 Communications to launch a brand new nationwide network,Qwest,0.0,0.009785664267838,0.0,0.08214304596185684
The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF,National Science Foundation,1.0,0.3992576599121094,0.0,0.1395590603351593
merchant ships.,Silk Road,0.0,0.008684791624546051,0.0,0.2605428397655487
That the plague was caused by bad air,great pestilence in the air,1.0,0.8402306437492371,0.18181818181818185,0.466632217168808
100–106 °F,38–41 °C,2.0,0.10163380950689316,0.0,0.14719916880130768
from the tooth sockets in human skeletons,"mass graves in northern, central and southern Europe",0.0,0.009078433737158777,0.14285714285714288,0.07403989136219025
Y. p. orientalis and Y. p. medievalis,Y. pestis,1.0,0.19645175337791448,0.22222222222222224,0.39830803871154785
East Smithfield,England,1.0,0.009812396951019764,0.0,0.3175038993358612
new magma,igneous,0.0,0.009583492763340471,0.0,0.23961196839809418
the convecting mantle,convection of the mantle,2.0,0.9698531627655028,0.4,0.8610932230949402
crust,lithosphere,0.0,0.0092952074483037,0.0,0.2070915400981903
second scale shows the most recent eon with an expanded scale,compresses the most recent era,1.0,0.5590856075286865,0.30769230769230765,0.27438682317733765
younger than the fault,younger,1.0,0.7335175275802612,0.5,0.5037850141525269
older than the fault,younger,0.0,0.11482913047075273,0.0,0.2757900357246399
absolute ages,rock units,0.0,0.00959695316851139,0.0,0.25731080770492554
anticlines and synclines,overturned anticline,1.0,0.3758862912654877,0.0,0.41690024733543396
pressure physical experiments,fluid inclusion data,0.0,0.009269134141504765,0.0,0.12253422290086746
provide better absolute bounds on the timing and rates of deposition,gain information about past climate,0.0,0.009201554581522942,0.0,0.026779303327202797
regulates the practice of pharmacists and pharmacy technicians,governing body for pharmacy health care professionals,1.0,0.5927053689956665,0.14285714285714285,0.7037794589996338
health care professional,pharmacy health care,1.0,0.4808169901371002,0.6666666666666666,0.6447724103927612
the pre-Heian Imperial court,Taihō Code,0.0,0.009162438102066515,0.0,0.17346425354480743
status superior to all others in health-related fields such as physicians and acupuncturists,Ranked positions,0.0,0.12231004238128662,0.0,0.258056104183197
within the dispensary compounding/dispensing medications,communicating with patients,0.0,0.06338540464639664,0.0,0.30352845788002014
pharmacists practicing in hospitals,clinical pharmacists,2.0,0.6819522976875305,0.3333333333333333,0.7421433925628662
patient care rounds drug product selection,interdisciplinary approach,0.0,0.009733203798532486,0.0,0.14528529345989227
all health care settings,drug product selection,0.0,0.009874125011265278,0.0,0.22598643600940704
creating a comprehensive drug therapy plan for patient-specific problems,identifying goals of therapy,1.0,0.40151187777519226,0.16666666666666666,0.6239810585975647
another customer might overhear about the drugs that they take,homebound,0.0,0.009224558249115944,0.0,-0.008699134923517704
dispensing substandard products,potentially dangerous,0.0,0.008631968870759009,0.0,0.10401327162981033
"cancer, hepatitis, and rheumatoid arthritis",chronic and complex disease states,1.0,0.3013432323932648,0.20000000000000004,0.2827109694480896
In some rural areas in the United Kingdom,prescribe and dispense prescription-only medicines to their patients from within their practices,0.0,0.03743255138397217,0.0,0.00966737698763609
in obtaining cost-effective medication and avoiding the unnecessary use of medication that may have side-effects,"the physician has a financial self-interest in ""diagnosing"" as many conditions as possible",0.0,0.20487524569034574,0.08,0.4604027569293976
exaggerating their seriousness,avoiding the unnecessary use of medication that may have side-effects,0.0,0.008707580156624317,0.0,0.1136719137430191
expected to become more integral within the health care system,patient care skills,0.0,0.3388209044933319,0.16666666666666666,0.24829138815402985
apartheid,Singing Revolution to bring independence to the Baltic countries,0.0,0.009372575208544731,0.0,0.07268289476633072
Egyptians,India,0.0,0.0100790373980999,0.0,0.3372626006603241
the British,communist governments,0.0,0.00932837463915348,0.0,0.20047646760940552
nonviolent resistance,unfair laws,0.0,0.009570345282554626,0.0,0.07929368317127228
former King of Thebes,Oedipus,1.0,0.009278382174670695,0.0,0.23718172311782837
Oedipus,Antigone,0.0,0.010485543869435787,0.0,0.44871360063552856
obey her conscience rather than human law,She gives a stirring speech,0.0,0.016697609797120094,0.0,0.05441081151366234
nonviolent,political poem,0.0,0.01008482091128826,0.0,0.17798583209514618
Henry David Thoreau,Gandhi,0.0,0.009489253163337708,0.0,0.15603101253509521
free India,protest and political action,0.0,0.009777608327567577,0.0,0.03132539242506027
unjust forms of authority,Peterloo massacre,0.0,0.009191361255943777,0.0,0.038735177367925644
doctrine of Satyagraha,Satyagraha,1.0,0.5115025043487549,0.5,0.8018980622291565
"muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins",civil disobedience,1.0,0.02505764551460744,0.0,0.10968629270792007
ambiguity,debased,0.0,0.013434188440442084,0.0,0.29498350620269775
utterly debased,everything from bringing a test-case in the federal courts to taking aim at a federal official,0.0,0.009384372271597384,0.0,-0.022244814783334732
Marshall Cohen,President Agnew,0.0,0.009672363288700579,0.0,0.13978563249111176
"code-word describing the activities of muggers, arsonists, draft evaders",utterly debased,0.0,0.009160152636468407,0.0,0.05469784140586853
Vice President Agnew,Marshall Cohen,0.0,0.009546937420964241,0.0,0.12721212208271027
impossible,a maze of semantical problems and grammatical niceties,0.0,0.009414354339241982,0.0,0.12769168615341187
specific,civil disobedience,0.0,0.0773812085390091,0.0,0.15381909906864166
constitutional impasse,her or his capacity as public official,0.0,0.019084826111793518,0.0,0.05877269059419632
