,answer1,answer2,label,bi_encoder,f1
688,poor harvest,allegedly corrupt machinations of François Bigot,0.0,0.03830862417817116,0.5
295,unjust forms of authority,Peterloo massacre,0.0,0.038735177367925644,0.5
13,mathematical models,branching,0.0,0.03994707763195038,0.5
602,a different view,Islam's pivotal turning point as occurring not with the death of Ali,0.0,0.0400690883398056,0.5
665,"from Nova Scotia and Newfoundland in the north, to Georgia in the south",eastern coast of the continent,0.0,0.04079900309443474,0.5
78,the southern and central parts of France,about one-eighth,0.0,0.04205593094229698,0.5
37,1.3 million,San Diego,0.0,0.04279839247465134,0.5
550,Sankt Goarshausen,Lorelei,0.0,0.043514855206012726,0.5
147,renewal of hostilities in the Arab–Israeli conflict,.,0.0,0.04541217163205147,0.5
393,voucher,pupils are free to choose a private school,0.0,0.04601175710558891,0.5
157,5% production cut,"declared Japan a ""nonfriendly"" country",0.0,0.04764391481876373,0.5
482,Ilkhanate,reaching the highest-post in the government,0.0,0.048087261617183685,0.5
153,encourage investment,"The system limited the price of ""old oil""",0.0,0.048326194286346436,0.5
461,after their second year,early 1950s,0.0,0.048916399478912354,0.5
687,"attack on New France's capital, Quebec",one major operation,0.0,0.051984790712594986,0.5
536,Hoek van Holland,(1036.20 km),0.0,0.052365079522132874,0.5
352,"lack of understanding of the legal ramifications,",a suspect's talking to criminal investigators,0.0,0.052462343126535416,0.5
594,assassinated,Islamists came to completely dominate university student unions,0.0,0.052526190876960754,0.5
317,international organizations and foreign governments,a larger challenge to the legal system that permits those decisions to be taken,0.0,0.05283505842089653,0.5
150,shrinking Western demand,economies had been caught between higher oil prices and lower prices for their own export commodities,0.0,0.05352189764380455,0.5
237,"a general architecture for a large-scale, distributed, survivable communications network",briefing B-265,0.0,0.05392061918973923,0.5
291,obey her conscience rather than human law,She gives a stirring speech,0.0,0.05441081523895264,0.5
301,"code-word describing the activities of muggers, arsonists, draft evaders",utterly debased,0.0,0.054697852581739426,0.5
595,gradual,Islamic revolution,0.0,0.057229265570640564,0.5
646,Vistula Valley,geomorphologic,0.0,0.057413727045059204,0.5
305,constitutional impasse,her or his capacity as public official,0.0,0.05877268314361572,0.5
166,Chevrolet Bel Air,lower price models,0.0,0.05976923555135727,0.5
185,to enable people to pursue their life goals in any country through free movement,Since its foundation,0.0,0.0598401315510273,0.5
371,neither conscientious nor of social benefit,any great amount of it would undermine the law,0.0,0.061123598366975784,0.5
48,monthly fee,SkyHD box,0.0,0.06198678910732269,0.5
109,heat or a spark,oxygen,0.0,0.06395167112350464,0.5
397,30% loss,$12 billion,0.0,0.06417381763458252,0.5
95,Advanced Steam,cogeneration processes,0.0,0.06455855071544647,0.5
684,Petitcodiac in 1755 and at Bloody Creek near Annapolis Royal in 1757,deportation of the French-speaking Acadian population from the area,0.0,0.06507841497659683,0.5
603,ended the true Islamic system,working through Turkish modernist Mustafa Kemal Atatürk,0.0,0.06536276638507843,0.5
219,osmotic pressure,It is uncertain,0.0,0.06566019356250763,0.5
585,issues under their jurisdiction,the First Minister,0.0,0.06697822362184525,0.5
508,50–140 cm,9–88 cm,0.0,0.0670291855931282,0.5
442,Gender,ranges from 53% in Botswana to -40% in Bahrain,0.0,0.06794065982103348,0.5
80,economic separation,worked as weavers,0.0,0.06849006563425064,0.5
342,sending an email,Supreme Court case,0.0,0.06894662231206894,0.5
679,Albany Congress,the opening of hostilities,0.0,0.07024438679218292,0.5
721,force,4-momentum in relativity and momentum of virtual particles in quantum electrodynamics,0.0,0.07167533785104752,0.5
285,apartheid,Singing Revolution to bring independence to the Baltic countries,0.0,0.07268291711807251,0.5
515,Christian Goldbach,mathematicians,0.0,0.07296498119831085,0.5
144,They arranged for Israel to pull back from the Sinai Peninsula and the Golan Heights.,multilateral,0.0,0.07311015576124191,0.5
256,from the tooth sockets in human skeletons,"mass graves in northern, central and southern Europe",0.0,0.07403986901044846,0.5
195,Purus Arch,along the middle,0.0,0.07560354471206665,0.5
675,France's claim to the region was superior to that of the British,Sieur de La Salle had explored the Ohio Country nearly a century earlier,0.0,0.07580254971981049,0.5
735,formalism,the relevant cross-sectional area for the volume for which the stress-tensor is being calculated,0.0,0.07596126198768616,0.5
698,the same,a Galilean transformation,0.0,0.07690286636352539,0.5
669,"British merchants or fur-traders, Céloron informed them of the French claims on the territory and told them to leave.",buried lead plates,0.0,0.07744237780570984,0.5
320,must be publicly announced,civil disobedience,0.0,0.07869721949100494,0.5
366,mistreatment from government officials,sentence,0.0,0.07876678556203842,0.5
288,nonviolent resistance,unfair laws,0.0,0.07929368317127228,0.5
62,a man's presence,mother is wrongly claiming to be living alone,0.0,0.08039591461420059,0.5
202,62 acres,quarter square,1.0,0.08114884048700333,0.5
370,general disobedience,great amount of it,0.0,0.08181722462177277,0.5
251,a partnership with Level 3 Communications to launch a brand new nationwide network,Qwest,0.0,0.08214297145605087,0.5
23,the general number field sieve,RSA,0.0,0.08312166482210159,0.5
620,irrational and backward,them,0.0,0.08362635225057602,0.5
489,pH or available iron,balance of microbial populations,0.0,0.08380869776010513,0.5
485,Zhu Yuanzhang,thanks,0.0,0.08456899225711823,0.5
632,pseudo-sciences,British Empire,0.0,0.08516795933246613,0.5
560,5th century,Migration period,0.0,0.08588896691799164,0.5
228,The isolated subdivision,Dogg Pound,0.0,0.08647777140140533,0.5
116,chemically,a covalent double bond,0.0,0.08881710469722748,0.5
592,considerable impact,"experience, ideology, and weapons",0.0,0.08927753567695618,0.5
531,4k + 3,Z,0.0,0.08998491615056992,0.5
362,plea bargain,plead guilty to one misdemeanor count and receive no jail time,1.0,0.09079807251691818,0.5
396,Allston,on a 358-acre (145 ha) campus,0.0,0.09104396402835846,0.5
187,if they were non-discriminatory,"participate in economic life ""on a stable and continuous basis""",0.0,0.0912000983953476,0.5
654,56.20%,35.7,0.0,0.09195655584335327,0.5
519,the Rhind papyrus,Egyptian fraction,0.0,0.09217207133769989,0.5
349,criminal investigations,grant a consent search,0.0,0.09272582828998566,0.5
148,until their economic and political objectives were met,In response to American aid to Israel,0.0,0.09275306761264801,0.5
83,Parris Island,Southeastern U.S.,1.0,0.09281322360038757,0.5
600,vicious and destructive,civil,0.0,0.09326835721731186,0.5
336,entirely symbolic,harassment,0.0,0.09326881170272827,0.5
493,bacteriophages,viral,0.0,0.09377612918615341,0.5
676,"Contrecœur led 500 men south from Fort Venango on April 5, 1754",40,0.0,0.09449097514152527,0.5
210,planktonic plants,a vital part of marine food chains,1.0,0.09896158427000046,0.5
94,cotton spinning,operations requiring constant speed,0.0,0.09898300468921661,0.5
863,most densely populated,most,0.0,0.09906336665153503,0.5
225,cling to and creep on surfaces,"as a muscular ""foot""",0.0,0.09918895363807678,0.5
502,"""Variations of Snow and Ice in the past and at present on a Global and Regional Scale""",the IPCC from the WWF report,0.0,0.10011395812034607,0.5
239,by store and forward switching,packets,0.0,0.10143237560987473,0.5
593,political support,making peace with Israel,0.0,0.1021939143538475,0.5
596,conspiracy,Westernizing Muslims,0.0,0.10311786085367203,0.5
279,dispensing substandard products,potentially dangerous,0.0,0.10401320457458496,0.5
167,Treaties establishing the European Union,"primary law, secondary law and supplementary law",0.0,0.1040741503238678,0.5
588,Edinburgh Pentlands,former party leader,0.0,0.10480260848999023,0.5
137,Decompression sickness,"bubbles of inert gas, mostly nitrogen and helium, forming in their blood",2.0,0.10498949140310287,0.5
55,Ku band,9.75/10.600 GHz,0.0,0.10796578973531723,0.5
386,expulsion,offer a higher quality of education,0.0,0.1086641401052475,0.5
597,promoted Western/foreign ideas and practices into Islamic societies,secular leanings,0.0,0.10875605791807175,0.5
297,"muggers, arsonists, draft evaders, campaign hecklers, campus militants, anti-war demonstrators, juvenile delinquents and political assassins",civil disobedience,1.0,0.10968631505966187,0.5
85,William the Silent,Pierre L'Oyseleur,0.0,0.10989197343587875,0.5
128,carbon cycle,plant health status,0.0,0.10990351438522339,0.5
40,Hospitality Business/Financial Centre,Downtown Riverside,0.0,0.11032560467720032,0.5
201,One in five,"1,294",0.0,0.1106189489364624,0.5
96,pollution,Advanced Steam movement,0.0,0.11096053570508957,0.5
31,northern,the Tehachapi Mountains,0.0,0.11280007660388947,0.5
283,exaggerating their seriousness,avoiding the unnecessary use of medication that may have side-effects,0.0,0.11367189884185791,0.5
639,World War I,creation of modern Balkan and Middle Eastern states,0.0,0.11383554339408875,0.5
619,the British Empire,Terra nullius,0.0,0.11420664936304092,0.5
115,Air,a substance like wood gains overall weight in burning,0.0,0.11719812452793121,0.5
35,Inland Empire,Temecula and Murrieta,0.0,0.11783041059970856,0.5
662,unwilling to risk large convoys to aid the limited forces it had in New France,significantly increased,0.0,0.1186446100473404,0.5
61,Sky TV bills,claimants,0.0,0.12036004662513733,0.5
114,non-combustible,wood,0.0,0.12094317376613617,0.5
346,coercion,make it more difficult for a system to function,0.0,0.12143312394618988,0.5
507,9–88 cm,0.5–1.4 m,0.0,0.12237285822629929,0.5
75,$8.7 billion,24%,0.0,0.12241965532302856,0.5
267,pressure physical experiments,fluid inclusion data,0.0,0.12253424525260925,0.5
704,vector quantities,dependent upon how strong,0.0,0.12285177409648895,0.5
379,moral reasons to follow this law,whether it would do more harm than good,0.0,0.1233096793293953,0.5
59,25m,36% of households,0.0,0.12414000183343887,0.5
635,the Monroe Doctrine,through policies,0.0,0.12546485662460327,0.5
586,constituency seats,second,0.0,0.1259695589542389,0.5
570,debating chamber,Wednesday afternoons,0.0,0.1262729912996292,0.5
190,"creditor protection, labour rights to participate in work, or the public interest in collecting taxes",Denmark's minimum capital law,0.0,0.1265077292919159,0.5
678,"regain authority over his own people. They had been inclined to support the French, with whom they had long trading relationships",had promised,0.0,0.12702688574790955,0.5
302,Vice President Agnew,Marshall Cohen,0.0,0.12721212208271027,0.5
303,impossible,a maze of semantical problems and grammatical niceties,0.0,0.12769165635108948,0.5
562,Seven Days to the River Rhine,plan for an invasion of Western Europe,0.0,0.1278296709060669,0.5
440,technological changes and globalization,decline of organized labor,0.0,0.12821315228939056,0.5
466,Alpha Phi Omega,Four,0.0,0.12825404107570648,0.5
674,colonel of the Iroquois,He who does great things,0.0,0.12858012318611145,0.5
329,"judged ""wrong"" by an individual conscience",to cause their repeal,0.0,0.12890256941318512,0.5
172,Federica Mogherini,Jean-Claude Juncker,0.0,0.13012053072452545,0.5
528,twin prime conjecture,Polignac's,0.0,0.13063189387321472,0.5
626,taxation,removing its economic foundation,0.0,0.13085803389549255,0.5
401,Gilded Age,Reconstruction,0.0,0.13120773434638977,0.5
573,not a Scottish minister,may be of interest to a particular area such as a member's own constituency,0.0,0.1315140277147293,0.5
521,Solovay-Strassen tests,Miller-Rabin,0.0,0.13214313983917236,0.5
392,government schools formerly reserved for white children,semi-private,1.0,0.13353335857391357,0.5
730,conservation of mechanical energy,the tension force on a load can be multiplied,0.0,0.13419115543365479,0.5
158,USSR's invasion,Afghanistan,0.0,0.1342582404613495,0.5
122,twice,50% more,0.0,0.1343451291322708,0.5
56,no,Third-party channels,0.0,0.13546034693717957,0.5
488,pattern recognition receptors,cells,0.0,0.13585133850574493,0.5
647,former flooded terraces,peat swamps or small ponds,0.0,0.1370428055524826,0.5
36,varied,natural ecosystem,0.0,0.1378834843635559,0.5
207,water flow through the body cavity,κτείς kteis 'comb' and φέρω pherō 'carry',0.0,0.13816219568252563,0.5
715,behind the foot of the mast,straight down,0.0,0.13868887722492218,0.5
478,western,Yuan dynasty,0.0,0.13870453834533691,0.5
567,blueprint,the Convention,0.0,0.13870686292648315,0.5
252,The network was engineered and operated by MCI Telecommunications under a cooperative agreement with the NSF,National Science Foundation,1.0,0.13955903053283691,0.5
300,Marshall Cohen,President Agnew,0.0,0.13978570699691772,0.5
524,The Electronic Frontier Foundation,"$150,000",0.0,0.14047372341156006,0.5
740,nonconservative forces,internal energies of the system,0.0,0.14048564434051514,0.5
402,Spanish moss,kitchen fire,0.0,0.14159834384918213,0.5
427,low wage,competition,0.0,0.14232055842876434,0.5
731,movable pulleys,every string,0.0,0.14331291615962982,0.5
355,does not infringe the rights of others,don't believe in the legitimacy of any government,0.0,0.1434277892112732,0.5
627,assimilation,Full citizenship rights,0.0,0.14408299326896667,0.5
664,much larger conflict between France and Great Britain,in King George's reign,0.0,0.1445903331041336,0.5
558,increased flooding and sedimentation,Bronze Age agriculture,0.0,0.14497220516204834,0.5
275,patient care rounds drug product selection,interdisciplinary approach,0.0,0.14528532326221466,0.5
645,at the right bank of the Vistula,by the eastern border,0.0,0.14605548977851868,0.5
104,water,organic molecules,0.0,0.1461990475654602,0.5
479,Shoushi Li,授時暦,0.0,0.1464972198009491,0.5
577,automatically devolved,not specifically reserved,0.0,0.14665618538856506,0.5
255,100–106 °F,38–41 °C,2.0,0.14719918370246887,0.5
540,Lake Constance,West by the Alter Rhein,0.0,0.14796537160873413,0.5
443,relatively equal,low,0.0,0.1479838788509369,0.5
365,likelihood of repeating,a lack of remorse,0.0,0.14993798732757568,0.5
212,515 million years,66 million years ago,0.0,0.1499621868133545,0.5
717,Schrödinger,Newtonian equations,0.0,0.15018518269062042,0.5
363,defiant speech,allocution,2.0,0.15131156146526337,0.5
182,in Article 5,the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued,0.0,0.15159016847610474,0.5
559,southern,between the modern Baden and Württemberg,0.0,0.15189263224601746,0.5
325,destructive,use of force and violence and refusal to submit to arrest,0.0,0.1523626446723938,0.5
668,200 Troupes de la marine and 30 Indians,Céloron,0.0,0.15243816375732422,0.5
682,Colonel Monckton,British,0.0,0.15335309505462646,0.5
335,trespassing at a nuclear-missile installation,symbolic illegal protests,0.0,0.1537487506866455,0.5
304,specific,civil disobedience,0.0,0.15381905436515808,0.5
722,conservation of momentum,the currently known fundamental forces,0.0,0.15408983826637268,0.5
340,broadcasting,engaging in the forbidden speech,0.0,0.1548418551683426,0.5
213,515 million years,66 million years,0.0,0.15530265867710114,0.5
293,Henry David Thoreau,Gandhi,0.0,0.15603101253509521,0.5
417,less workers are required,"raises the productivity of each worker,",1.0,0.15711796283721924,0.5
481,Chinese physicians were brought along military campaigns by the Mongols,to other parts of the empire,0.0,0.15781629085540771,0.5
385,religious,the usual academic subjects,0.0,0.15917325019836426,0.5
660,disaster; he was defeated in the Battle of the Monongahela,None succeeded,0.0,0.15923747420310974,0.5
621,inferior,irrational and backward,0.0,0.15954279899597168,0.5
618,uncivilized,fully human,0.0,0.16166651248931885,0.5
642,August 1944,the Red Army was nearing the city,0.0,0.16308405995368958,0.5
500,does not faithfully summarize the full WGI report,understates the uncertainty associated with climate models,0.0,0.16338074207305908,0.5
468,Yuan T. Lee,Glenn T. Seaborg,0.0,0.1642242968082428,0.5
224,Cestum veneris,up to 1.5 meters (4.9 ft) long,0.0,0.16575460135936737,0.5
348,padlocking the gates,"illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins",0.0,0.16628870368003845,0.5
327,"cultural traditions, social customs, religious beliefs",revolutionary civil disobedience,0.0,0.16660135984420776,0.5
333,propaganda,just a harassment,0.0,0.1678108423948288,0.5
465,Miller–Urey experiment,Chicago Pile-1,0.0,0.16968151926994324,0.5
634,The British spirit of imperialism,Social Darwinism,0.0,0.17297309637069702,0.5
76,tourism,big,0.0,0.1730496883392334,0.5
271,the pre-Heian Imperial court,Taihō Code,0.0,0.1734643131494522,0.5
60,36%,2.4m customers,0.0,0.17403551936149597,0.5
734,pressure terms,matrix diagonals of the tensor),0.0,0.17600566148757935,0.5
234,survivable communications networks,the concept of distributed adaptive message block switching,0.0,0.17630159854888916,0.5
243,as a means to help the state's educational and economic development,to explore computer networking between three of Michigan's public universities,1.0,0.17659631371498108,0.5
154,Price controls,promote oil exploration,0.0,0.1766257882118225,0.5
394,white,African-American,0.0,0.17675571143627167,0.5
455,environmental degradation,this as well,0.0,0.17685052752494812,0.5
292,nonviolent,political poem,0.0,0.17798590660095215,0.5
615,conquering the other state's lands,political and monetary dominance,1.0,0.178166925907135,0.5
579,in the relevant committee or committees,the whole Parliament,0.0,0.17974638938903809,0.5
663,territory east of the Mississippi to Great Britain,France,0.0,0.18039053678512573,0.5
353,use the arrest as an opportunity,civil disobedience,0.0,0.18121203780174255,0.5
554,Merwede-Oude Maas,North Sea,0.0,0.1827426254749298,0.5
227,all other animals,Bilateria,0.0,0.18291127681732178,0.5
460,1910,Several University of Chicago professors,0.0,0.18530529737472534,0.5
164,Lexus,Acura,0.0,0.18553811311721802,0.5
403,voters approved the plan,governments merged to create the Consolidated City of Jacksonville,0.0,0.18555161356925964,0.5
716,kinetic friction,object started with a non-zero velocity,0.0,0.18570788204669952,0.5
177,"by assuming the task of interpreting the treaties, and accelerating economic and political integration",has the ability to expand and develop the law according to the principles it deems to be appropriate,0.0,0.1859668493270874,0.5
610,ownership of private industries,technological superiority,0.0,0.1859969198703766,0.5
174,a majority,a Commission proposal,0.0,0.18742766976356506,0.5
196,explanations are reasonably well supported,by the available data,0.0,0.1879199743270874,0.5
34,regional tourism groups,AAA Auto Clubs,0.0,0.19004014134407043,0.5
707,respective lines of application,their effects on the motion of the body,0.0,0.19073715806007385,0.5
718,quantized,operators,0.0,0.19235628843307495,0.5
326,help preserve society's tolerance of civil disobedience,rebellion is much more destructive,0.0,0.19270867109298706,0.5
714,Galileo,Aristotle's,0.0,0.1935960054397583,0.5
530,the smallest subfield,Q or the finite field with p elements,0.0,0.19509178400039673,0.5
549,Switzerland,Duisburg,0.0,0.19519610702991486,0.5
404,"""Bold New City of the South""",Consolidated City of Jacksonville,1.0,0.195412278175354,0.5
692,on the ground,heavy bodies to fall,0.0,0.196155846118927,0.5
368,use the proceedings as a forum,win an acquittal and avoid imprisonment,0.0,0.1964062750339508,0.5
738,gradient of potentials,macrophysical considerations that yield forces as arising from a macroscopic statistical average of microstates,0.0,0.1967376172542572,0.5
183,member states,the European Convention on Human Rights,0.0,0.19755898416042328,0.5
377,would do more harm than good,it focuses attention on the threat of punishment and not the moral reasons to follow this law,0.0,0.19773466885089874,0.5
541,parallel to the canalized Rhine,into the lake,0.0,0.19775834679603577,0.5
315,"trade unions, banks, and private universities",non-governmental agencies,1.0,0.19788682460784912,0.5
723,the Moon,the mass () and the radius () of the Earth,0.0,0.19819986820220947,0.5
584,any member of the Scottish Government,ministers in departments that are selected for questioning that sitting day,0.0,0.19821269810199738,0.5
205,phylum of animals that live in marine waters,comb jellies,1.0,0.19899852573871613,0.5
111,storage vessels,fire,0.0,0.1994134783744812,0.5
450,evidence,prevent growth,0.0,0.1994389295578003,0.5
590,its supporters,Scholars and observers,0.0,0.1994529664516449,0.5
636,interventionism,.,0.0,0.19983215630054474,0.5
287,the British,communist governments,0.0,0.20047645270824432,0.5
332,until after the end of the Mexican War,months,0.0,0.20280416309833527,0.5
306,citizen's,head of government,0.0,0.20345641672611237,0.5
82,Prussia,Great Elector Frederick William,0.0,0.20454251766204834,0.5
376,incapacitation,achieving crime control,0.0,0.20513343811035156,0.5
725,ballistic trajectory,path between two space-time events,0.0,0.20633220672607422,0.5
248,use of the name was incorrect all these services were managed by the same people within one department of KPN contributed to the confusion,Dutch PTT Telecom,0.0,0.20633327960968018,0.5
308,refuse to enforce a decision,constitutional impasse,0.0,0.20682254433631897,0.5
261,crust,lithosphere,0.0,0.2070915699005127,0.5
170,Following the Nice Treaty,2004,0.0,0.2071291208267212,0.5
644,452.8 ft,115.7 metres,0.0,0.2079828977584839,0.5
691,Choctaw and the Creek,tribes that did not want to do business with the British,0.0,0.21082034707069397,0.5
117,triplet oxygen,O,1.0,0.2113560140132904,0.5
583,legislative programme for the forthcoming year,a statement,0.0,0.21159756183624268,0.5
476,a period of foreign domination,continuation of the Mongol Empire,0.0,0.21175448596477509,0.5
522,primorial primes,Fermat,0.0,0.21177197992801666,0.5
240,"connection-oriented operations. But X.25 does it at the network layer of the OSI Model. Frame Relay does it at level two, the data link layer",a handshake between the communicating parties before any user packets are transmitted,0.0,0.21223215758800507,0.5
180,Treaty provisions,they are ‘directly applicable in all Member States’,0.0,0.21232351660728455,0.5
68,warmest regions,semi-deserts,0.0,0.21273860335350037,0.5
601,Sharia,an idealized and systematized version of conservative tribal village customs,0.0,0.21306678652763367,0.5
359,tempted to enter the test site,protest,0.0,0.21410542726516724,0.5
50,Sky+,PVR,0.0,0.21435530483722687,0.5
97,injector,condensers,0.0,0.2151278406381607,0.5
367,acquittal and avoid imprisonment,to use the proceedings as a forum,0.0,0.21517032384872437,0.5
208,colloblasts,retractable tentacles fringed with tentilla,2.0,0.21599481999874115,0.5
313,elite politicians,individuals,0.0,0.21809208393096924,0.5
211,66 million years ago,515 million years ago,0.0,0.21935886144638062,0.5
418,rising levels of property income,downward pressure on wages,0.0,0.21954546868801117,0.5
655,Polonez,125p,0.0,0.2211020439863205,0.5
516,the sum of divisors function,relationship of the number to its corresponding value of Euler's totient function,0.0,0.22159355878829956,0.5
361,accept jail penitently,is to switch suddenly to a spirit of subservience,0.0,0.22192732989788055,0.5
520,only three divisions,only for those m that are prime,0.0,0.22279660403728485,0.5
391,Society of St Pius X,Catholic schismatic,0.0,0.22379782795906067,0.5
643,Victory Square,1979,0.0,0.22398874163627625,0.5
73,sevenfold,"76,000 to 540,000",1.0,0.224750354886055,0.5
38,Los Angeles Area,major business,0.0,0.2257143259048462,0.5
686,Major General Louis-Joseph de Montcalm,Lord Loudoun,0.0,0.2257871776819229,0.5
276,all health care settings,drug product selection,0.0,0.2259863317012787,0.5
712,spring reaction force,the force of gravity,0.0,0.22610749304294586,0.5
437,period of compression,decrease in wages,0.0,0.227073073387146,0.5
438,gender inequality in education,low economic growth,0.0,0.22757260501384735,0.5
337,social goal,protests toward public policy,1.0,0.2293758988380432,0.5
683,deportation of the French-speaking Acadian population from the area.,captured Fort Beauséjour,0.0,0.2297636866569519,0.5
517,Euler's totient function,sum of divisors function,0.0,0.2302294224500656,0.5
29,music,major record companies,0.0,0.230311781167984,0.5
711,forces,static equilibrium,0.0,0.23057010769844055,0.5
57,Sky Active,Open,0.0,0.23064517974853516,0.5
672,protect the King's land in the Ohio Valley from the British,"he moved south, he drove off or captured British traders",0.0,0.232036292552948,0.5
162,A decade after the 1973,1981,1.0,0.23254230618476868,0.5
194,Amazonas Basin,Andes Mountains,0.0,0.23277497291564941,0.5
247,A user or host could call a host on a foreign network by including the DNIC of the remote network as part of the destination address,the interconnection of national X.25 networks,0.0,0.2347661852836609,0.5
312,Resign,refusal to pay,0.0,0.2348058819770813,0.5
673,Tanaghrisson,the Mingo,0.0,0.23490551114082336,0.5
575,Scottish Government.,Committees,0.0,0.23557691276073456,0.5
708,orthogonal,uniquely determined,0.0,0.23646408319473267,0.5
571,Gaelic,"Scots, Gaelic, or any other language with the agreement of the Presiding Officer",1.0,0.23670101165771484,0.5
289,former King of Thebes,Oedipus,1.0,0.23718175292015076,0.5
469,David Bevington,John Mearsheimer and Robert Pape,0.0,0.23745860159397125,0.5
229,1885,July 1982 to June 1983,0.0,0.2374722957611084,0.5
523,Fermat primes,Mersenne,0.0,0.2374895215034485,0.5
667,"mustered local militia companies, generally ill trained and available only for short periods, to deal with native threats, but did not have any standing forces.",militia support,0.0,0.23763202130794525,0.5
191,moist broadleaf forest,tropical,1.0,0.23801997303962708,0.5
215,diploblastic,ctenophores,0.0,0.23812399804592133,0.5
259,new magma,igneous,0.0,0.23961199820041656,0.5
470,Yuán Cháo,元朝,0.0,0.23979038000106812,0.5
726,global,in space,0.0,0.2401200532913208,0.5
222,"""zip"" the mouth shut",streamlines the front of the animal,0.0,0.24035874009132385,0.5
446,human capital is neglected,a lower level of economic utility in society,0.0,0.24106931686401367,0.5
341,Threatening government officials,forbidden speech,1.0,0.24125008285045624,0.5
373,not being a civil disobedient,conscientious lawbreakers must be punished,0.0,0.24180418252944946,0.5
606,military force,colonization,1.0,0.24182161688804626,0.5
431,steeper tax,social spending,0.0,0.24211756885051727,0.5
173,at least 55 per cent of the Council members (not votes) representing 65 per cent of the population of the EU,"74 per cent, or 260 of the 352 votes",0.0,0.2429833710193634,0.5
163,power steering,air conditioning,0.0,0.24380528926849365,0.5
24,Los Angeles,Riverside,0.0,0.24427805840969086,0.5
448,a great deal of utility,basic necessities,0.0,0.24512897431850433,0.5
611,seaborne,land,0.0,0.24546700716018677,0.5
26,counties,five most populous in the state,0.0,0.24590802192687988,0.5
732,stress tensor,deformations,0.0,0.24603942036628723,0.5
473,south,the western frontier,0.0,0.2477150857448578,0.5
133,major method,increasingly,0.0,0.24778279662132263,0.5
525,n < p < 2n − 2,A or μ,0.0,0.2479856163263321,0.5
