,answer1,answer2,label,bert_score
639,World War I,creation of modern Balkan and Middle Eastern states,0.0,0.29881933331489563
740,nonconservative forces,internal energies of the system,0.0,0.29920801520347595
641,12th/13th-century nobleman,shortened form of the masculine name of Slavic origin Warcisław,0.0,0.2994978427886963
191,moist broadleaf forest,tropical,1.0,0.2995675504207611
259,new magma,igneous,0.0,0.30073419213294983
79,some of the Huguenots were nobles trying to establish separate centers of power in southern France,political reasons,0.0,0.3008389174938202
278,another customer might overhear about the drugs that they take,homebound,0.0,0.3013305068016052
396,Allston,on a 358-acre (145 ha) campus,0.0,0.3021172881126404
308,refuse to enforce a decision,constitutional impasse,0.0,0.3021974563598633
610,ownership of private industries,technological superiority,0.0,0.3022986650466919
154,Price controls,promote oil exploration,0.0,0.3025113642215729
28,counties,Riverside,0.0,0.30290159583091736
214,cnidarians,Ctenophores,1.0,0.3032459318637848
483,"Besh Baliq, Almaliq, and Samarqand",Bukhara,0.0,0.30334633588790894
202,62 acres,quarter square,1.0,0.30345308780670166
241,"Frame Relay was used to interconnect LANs across wide area networks. However, X.25 and well as Frame Relay have been supplanted",provide connection-oriented operations,0.0,0.30384185910224915
443,relatively equal,low,0.0,0.3041997253894806
683,deportation of the French-speaking Acadian population from the area.,captured Fort Beauséjour,0.0,0.30425918102264404
420,substitute capital equipment,pressure to reduce costs and maximize profits,0.0,0.3045523166656494
597,promoted Western/foreign ideas and practices into Islamic societies,secular leanings,0.0,0.3051217198371887
31,northern,the Tehachapi Mountains,0.0,0.3051382899284363
725,ballistic trajectory,path between two space-time events,0.0,0.3051716685295105
465,Miller–Urey experiment,Chicago Pile-1,0.0,0.3069857060909271
326,help preserve society's tolerance of civil disobedience,rebellion is much more destructive,0.0,0.30703023076057434
676,"Contrecœur led 500 men south from Fort Venango on April 5, 1754",40,0.0,0.3071494996547699
22,modern cryptographic systems,RSA algorithm,1.0,0.30733156204223633
379,moral reasons to follow this law,whether it would do more harm than good,0.0,0.30739814043045044
317,international organizations and foreign governments,a larger challenge to the legal system that permits those decisions to be taken,0.0,0.3078055679798126
221,more or less rounded,egg-shaped,2.0,0.3085452616214752
316,legal system,foreign,0.0,0.30880463123321533
341,Threatening government officials,forbidden speech,1.0,0.30957457423210144
210,planktonic plants,a vital part of marine food chains,1.0,0.3096904158592224
102,dioxygen,diatomic gas,1.0,0.3104843199253082
273,within the dispensary compounding/dispensing medications,communicating with patients,0.0,0.3105277717113495
400,Battle of Cedar Creek,1864,0.0,0.3108557164669037
460,1910,Several University of Chicago professors,0.0,0.31137263774871826
593,political support,making peace with Israel,0.0,0.312127947807312
283,exaggerating their seriousness,avoiding the unnecessary use of medication that may have side-effects,0.0,0.3122451603412628
29,music,major record companies,0.0,0.3127571940422058
489,pH or available iron,balance of microbial populations,0.0,0.31283870339393616
408,2008,Fay,0.0,0.3129615783691406
347,engage in moral dialogue,get their issue onto the table,1.0,0.3129759132862091
555,tear huge areas of land into the sea.,tidal currents,0.0,0.3129998445510864
500,does not faithfully summarize the full WGI report,understates the uncertainty associated with climate models,0.0,0.3130508363246918
234,survivable communications networks,the concept of distributed adaptive message block switching,0.0,0.3130630850791931
85,William the Silent,Pierre L'Oyseleur,0.0,0.3132683336734772
299,utterly debased,everything from bringing a test-case in the federal courts to taking aim at a federal official,0.0,0.3134290874004364
596,conspiracy,Westernizing Muslims,0.0,0.31358975172042847
558,increased flooding and sedimentation,Bronze Age agriculture,0.0,0.3146139979362488
68,warmest regions,semi-deserts,0.0,0.31517428159713745
449,higher aggregate utility,population-wide satisfaction and happiness,0.0,0.3152710199356079
76,tourism,big,0.0,0.31542542576789856
190,"creditor protection, labour rights to participate in work, or the public interest in collecting taxes",Denmark's minimum capital law,0.0,0.31551027297973633
464,Robert Zimmer,Daniel Diermeier,0.0,0.3156440556049347
622,Orientalism,inferior,0.0,0.31592997908592224
236,delivery of these messages by store and forward switching,decentralized network with multiple paths between any two points,0.0,0.3163408041000366
580,Decision Time,After a general debate on the final form of the bill,0.0,0.31640490889549255
739,statistical mechanics,detailed,0.0,0.31724661588668823
291,obey her conscience rather than human law,She gives a stirring speech,0.0,0.3173709511756897
643,Victory Square,1979,0.0,0.31756702065467834
298,ambiguity,debased,0.0,0.3186201751232147
729,residual of the force,nucleons in atomic nuclei,0.0,0.3186376094818115
58,Video On Demand,(HDTV),0.0,0.3193037807941437
653,city,Demographically,0.0,0.31950056552886963
425,Competition amongst workers,high demand,0.0,0.3195967972278595
163,power steering,air conditioning,0.0,0.31968528032302856
96,pollution,Advanced Steam movement,0.0,0.31985360383987427
452,reduction,halve poverty,0.0,0.319921612739563
337,social goal,protests toward public policy,1.0,0.32092347741127014
281,In some rural areas in the United Kingdom,prescribe and dispense prescription-only medicines to their patients from within their practices,0.0,0.3211592435836792
218,"a mouth that can usually be closed by muscles; a pharynx (""throat""); a wider area in the center that acts as a stomach; and a system of internal canals.",the gastrodermis,1.0,0.3215208649635315
180,Treaty provisions,they are ‘directly applicable in all Member States’,0.0,0.3223264813423157
617,geographical societies in Europe,necessary for a state’s survival,0.0,0.3223842978477478
664,much larger conflict between France and Great Britain,in King George's reign,0.0,0.3224032521247864
726,global,in space,0.0,0.32254210114479065
111,storage vessels,fire,0.0,0.3228083848953247
444,greater return of capital,wealth condensation,0.0,0.3228567838668823
611,seaborne,land,0.0,0.32286831736564636
594,assassinated,Islamists came to completely dominate university student unions,0.0,0.3230857849121094
196,explanations are reasonably well supported,by the available data,0.0,0.32334136962890625
581,supplant it.,"reverts to the first Thursday in May, a multiple of four years after 1999",0.0,0.32335522770881653
461,after their second year,early 1950s,0.0,0.32367652654647827
167,Treaties establishing the European Union,"primary law, secondary law and supplementary law",0.0,0.3239113688468933
708,orthogonal,uniquely determined,0.0,0.32401806116104126
237,"a general architecture for a large-scale, distributed, survivable communications network",briefing B-265,0.0,0.32413768768310547
591,a historical fluke,political Islam,0.0,0.32420092821121216
595,gradual,Islamic revolution,0.0,0.32431235909461975
239,by store and forward switching,packets,0.0,0.3252013027667999
369,inform the jury and the public of the political circumstances,plead not guilty,0.0,0.325377494096756
445,larger fortunes,wealth condensation,0.0,0.32581090927124023
401,Gilded Age,Reconstruction,0.0,0.3265095055103302
734,pressure terms,matrix diagonals of the tensor),0.0,0.3267062306404114
267,pressure physical experiments,fluid inclusion data,0.0,0.3272661864757538
702,magnitude,action-reaction,0.0,0.32744672894477844
642,August 1944,the Red Army was nearing the city,0.0,0.3277047276496887
158,USSR's invasion,Afghanistan,0.0,0.3281153440475464
62,a man's presence,mother is wrongly claiming to be living alone,0.0,0.32823947072029114
26,counties,five most populous in the state,0.0,0.3282521069049835
670,"very badly disposed towards the French, and are entirely devoted to the English",what way they could be brought back,0.0,0.32837042212486267
140,Acute oxygen toxicity,seizures,0.0,0.32855942845344543
165,"Lincoln Continental,",Cadillac DeVille,0.0,0.32893896102905273
33,Imperial,1999,0.0,0.32900354266166687
333,propaganda,just a harassment,0.0,0.32903143763542175
268,provide better absolute bounds on the timing and rates of deposition,gain information about past climate,0.0,0.3293166756629944
371,neither conscientious nor of social benefit,any great amount of it would undermine the law,0.0,0.3294776678085327
474,Yangzi River basin,the Song dynasty,0.0,0.3302232325077057
311,not necessarily right,the will of elite politicians,0.0,0.3302653133869171
104,water,organic molecules,0.0,0.33082202076911926
628,800 CE,in late antiquity,0.0,0.3309435248374939
490,adaptive,strong response,0.0,0.3309696614742279
367,acquittal and avoid imprisonment,to use the proceedings as a forum,0.0,0.3311973214149475
394,white,African-American,0.0,0.3316681385040283
36,varied,natural ecosystem,0.0,0.3320408761501312
521,Solovay-Strassen tests,Miller-Rabin,0.0,0.3323155641555786
183,member states,the European Convention on Human Rights,0.0,0.33249059319496155
647,former flooded terraces,peat swamps or small ponds,0.0,0.33261367678642273
78,the southern and central parts of France,about one-eighth,0.0,0.3327825665473938
424,unfair,high levels of inequality,1.0,0.3331843316555023
182,in Article 5,the lawfulness of an action depends on whether it was appropriate and necessary to achieve the objectives legitimately pursued,0.0,0.33346351981163025
459,passed,Several University of Chicago professors,0.0,0.33405593037605286
660,disaster; he was defeated in the Battle of the Monongahela,None succeeded,0.0,0.3341270983219147
716,kinetic friction,object started with a non-zero velocity,0.0,0.33418533205986023
627,assimilation,Full citizenship rights,0.0,0.33435389399528503
64,National Party,Nationals,1.0,0.3344314992427826
170,Following the Nice Treaty,2004,0.0,0.3348614275455475
598,al-Gama'a al-Islamiyya,Islamic Group,1.0,0.33518096804618835
150,shrinking Western demand,economies had been caught between higher oil prices and lower prices for their own export commodities,0.0,0.3353387415409088
671,British colonists would not be safe as long as the French were present,forceful,0.0,0.3355277180671692
684,Petitcodiac in 1755 and at Bloody Creek near Annapolis Royal in 1757,deportation of the French-speaking Acadian population from the area,0.0,0.3357570469379425
586,constituency seats,second,0.0,0.335939884185791
97,injector,condensers,0.0,0.3360828161239624
315,"trade unions, banks, and private universities",non-governmental agencies,1.0,0.336341917514801
681,Shirley and Johnson.,British,0.0,0.33635786175727844
428,expendable nature of the worker,(high supply) competing for a job that few require (low demand),0.0,0.33649471402168274
132,dangerous by-products,the immune system,0.0,0.3365709185600281
450,evidence,prevent growth,0.0,0.3367545008659363
377,would do more harm than good,it focuses attention on the threat of punishment and not the moral reasons to follow this law,0.0,0.33692097663879395
602,a different view,Islam's pivotal turning point as occurring not with the death of Ali,0.0,0.3370056748390198
711,forces,static equilibrium,0.0,0.33762216567993164
626,taxation,removing its economic foundation,0.0,0.33773180842399597
616,theory of races,Social Darwinism,1.0,0.3377823829650879
592,considerable impact,"experience, ideology, and weapons",0.0,0.338479608297348
455,environmental degradation,this as well,0.0,0.3392427861690521
57,Sky Active,Open,0.0,0.33925023674964905
329,"judged ""wrong"" by an individual conscience",to cause their repeal,0.0,0.3394809067249298
606,military force,colonization,1.0,0.3396304249763489
567,blueprint,the Convention,0.0,0.3396376073360443
722,conservation of momentum,the currently known fundamental forces,0.0,0.3403225243091583
488,pattern recognition receptors,cells,0.0,0.34045207500457764
93,water pump,vacuum,0.0,0.3404844105243683
469,David Bevington,John Mearsheimer and Robert Pape,0.0,0.34068313241004944
512,composite number,primes,0.0,0.3408239185810089
348,padlocking the gates,"illegal boycotts, refusals to pay taxes, draft dodging, distributed denial-of-service attacks, and sit-ins",0.0,0.34133538603782654
715,behind the foot of the mast,straight down,0.0,0.3415382504463196
615,conquering the other state's lands,political and monetary dominance,1.0,0.3418847322463989
569,the Parliamentary Bureau,Presiding Officer,0.0,0.34193506836891174
325,destructive,use of force and violence and refusal to submit to arrest,0.0,0.3419520854949951
356,I feel I did the right thing by violating this particular law,proud of it,1.0,0.34218379855155945
349,criminal investigations,grant a consent search,0.0,0.342643678188324
453,residents willing to pay higher market rate for housing,gentrification of older neighbourhoods,1.0,0.34279248118400574
225,cling to and creep on surfaces,"as a muscular ""foot""",0.0,0.3435783386230469
151,distribution and price disruptions,reduced productivity,0.0,0.34369179606437683
80,economic separation,worked as weavers,0.0,0.34373223781585693
560,5th century,Migration period,0.0,0.34489524364471436
519,the Rhind papyrus,Egyptian fraction,0.0,0.34591764211654663
380,Industrial,heavy civil or heavy engineering,0.0,0.3462691605091095
438,gender inequality in education,low economic growth,0.0,0.3472226858139038
604,elites,government,1.0,0.34744036197662354
718,quantized,operators,0.0,0.34761667251586914
446,human capital is neglected,a lower level of economic utility in society,0.0,0.3487801253795624
666,few British troops,not have any standing forces,0.0,0.34922727942466736
340,broadcasting,engaging in the forbidden speech,0.0,0.3495921790599823
385,religious,the usual academic subjects,0.0,0.3500159680843353
585,issues under their jurisdiction,the First Minister,0.0,0.35058480501174927
600,vicious and destructive,civil,0.0,0.35140925645828247
148,until their economic and political objectives were met,In response to American aid to Israel,0.0,0.3521149456501007
634,The British spirit of imperialism,Social Darwinism,0.0,0.3527672588825226
584,any member of the Scottish Government,ministers in departments that are selected for questioning that sitting day,0.0,0.35282981395721436
25,United States,Los Angeles,1.0,0.3528873324394226
575,Scottish Government.,Committees,0.0,0.3532960116863251
60,36%,2.4m customers,0.0,0.3535974621772766
709,static friction,applied force,0.0,0.3536851108074188
330,refuse to sign bail,jail solidarity,0.0,0.3537331223487854
416,reduce costs and maximize profits,substitution of capital equipment for labor,0.0,0.3538353443145752
636,interventionism,.,0.0,0.35429272055625916
185,to enable people to pursue their life goals in any country through free movement,Since its foundation,0.0,0.35454437136650085
556,Mesozoic Era,Triassic Period,0.0,0.35455796122550964
706,Associating forces with vectors,adding the two force magnitudes or subtracting one from the other,0.0,0.35476788878440857
73,sevenfold,"76,000 to 540,000",1.0,0.35492876172065735
109,heat or a spark,oxygen,0.0,0.35522711277008057
562,Seven Days to the River Rhine,plan for an invasion of Western Europe,0.0,0.3553446829319
153,encourage investment,"The system limited the price of ""old oil""",0.0,0.3554512858390808
501,"fuel consumption, industrial production and so on",Greenhouse Gas Inventories,1.0,0.35559359192848206
332,until after the end of the Mexican War,months,0.0,0.35587960481643677
286,Egyptians,India,0.0,0.35642123222351074
233,circuit switching is characterized by a fee per unit of connection time,a method which pre-allocates dedicated network bandwidth specifically for each communication session,0.0,0.35660892724990845
703,standard measurement scale,precise operational definitions,0.0,0.35750672221183777
674,colonel of the Iroquois,He who does great things,0.0,0.35786741971969604
640,wide variety of industries,"FMCG manufacturing, metal processing, steel and electronic manufacturing and food processing",1.0,0.3579157590866089
679,Albany Congress,the opening of hostilities,0.0,0.3591950535774231
662,unwilling to risk large convoys to aid the limited forces it had in New France,significantly increased,0.0,0.3592066168785095
13,mathematical models,branching,0.0,0.35982370376586914
253,merchant ships.,Silk Road,0.0,0.36038991808891296
386,expulsion,offer a higher quality of education,0.0,0.3627699613571167
614,taking physical control of another,a conquest over an area,1.0,0.3633454442024231
583,legislative programme for the forthcoming year,a statement,0.0,0.3636254668235779
250,"role in spreading awareness of, and access to, national networking and was a major milestone on the path to development of the global Internet",not be directly connected to ARPANET,0.0,0.3641054928302765
310,sovereign branches of government,public official,1.0,0.3644545078277588
368,use the proceedings as a forum,win an acquittal and avoid imprisonment,0.0,0.3648061454296112
730,conservation of mechanical energy,the tension force on a load can be multiplied,0.0,0.3649728000164032
462,"Cobb, Shepley, Rutan and Coolidge, Holabird & Roche,",Henry Ives Cobb,1.0,0.3650338649749756
691,Choctaw and the Creek,tribes that did not want to do business with the British,0.0,0.3651931583881378
663,territory east of the Mississippi to Great Britain,France,0.0,0.3657374382019043
133,major method,increasingly,0.0,0.3664361536502838
82,Prussia,Great Elector Frederick William,0.0,0.36684533953666687
738,gradient of potentials,macrophysical considerations that yield forces as arising from a macroscopic statistical average of microstates,0.0,0.36689525842666626
110,compounds of oxygen,"peroxides, chlorates, nitrates, perchlorates, and dichromates",1.0,0.3671875
194,Amazonas Basin,Andes Mountains,0.0,0.36785468459129333
359,tempted to enter the test site,protest,0.0,0.36908388137817383
713,gravity,object's weight,0.0,0.36985793709754944
388,vocational,secondary or post-secondary,0.0,0.3710790276527405
421,productivity,organic composition of capital,0.0,0.3715076744556427
362,plea bargain,plead guilty to one misdemeanor count and receive no jail time,1.0,0.37168318033218384
364,lack of remorse,the judge increased her sentence,0.0,0.37197145819664
559,southern,between the modern Baden and Württemberg,0.0,0.37223243713378906
692,on the ground,heavy bodies to fall,0.0,0.3728739619255066
312,Resign,refusal to pay,0.0,0.3729822039604187
620,irrational and backward,them,0.0,0.37402600049972534
338,criminalized behavior,forbidden speech,0.0,0.3745536506175995
675,France's claim to the region was superior to that of the British,Sieur de La Salle had explored the Ohio Country nearly a century earlier,0.0,0.3751073479652405
256,from the tooth sockets in human skeletons,"mass graves in northern, central and southern Europe",0.0,0.37550222873687744
621,inferior,irrational and backward,0.0,0.37584757804870605
59,25m,36% of households,0.0,0.37628498673439026
440,technological changes and globalization,decline of organized labor,0.0,0.3773821294307709
378,the state,judges,0.0,0.3782350718975067
